title,text,write_by,language,domain,method,LLM_model,label
Il devient avocat pour venger son père d'une expropriation foncière,"Jordan Kinyera avait six ans lorsqu'un procès a été intenté à son père pour le déposséder de ses terres. Jordan Kinyera n'avait que six ans lorsque sa famille a été expulsée de force de sa maison, perdant tout ce qu'elle possédait. Ce jour-là, Jordan a juré qu'il se vengerait et qu'il récupérerait ce qui avait été pris à sa famille. Des années plus tard, Jordan est devenu avocat et a consacré sa vie à la défense de ceux qui, comme son père, avaient été injustement dépossédés de leurs terres. Il a remporté de nombreuses affaires et a aidé d'innombrables familles à récupérer leurs biens. Mais il n'avait jamais oublié le procès qui avait détruit sa famille, et il était déterminé à obtenir justice pour son père. Un jour, Jordan a entendu parler d'une affaire qui ressemblait étrangement à celle de son père. Une famille était expulsée de sa terre par une puissante société foncière. Jordan a immédiatement su qu'il devait aider. Il a pris l'affaire pro bono et s'est battu bec et ongles pour la famille. Le procès a été long et difficile, mais Jordan n'a jamais abandonné. Il a finalement gagné l'affaire et la famille a pu rentrer chez elle. Pour Jordan, c'était plus qu'une victoire juridique. C'était un acte de vengeance contre ceux qui lui avaient fait du tort, à lui et à sa famille. L'histoire de Jordan Kinyera est une histoire d'injustice, de persévérance et de triomphe. C'est l'histoire d'un homme qui n'a jamais oublié les souffrances que sa famille a endurées et qui s'est battu pour obtenir justice pour tous ceux qui ont été victimes d'expropriation foncière.",Ai,French,BBC,Continue,gemini-pro,0
Malawi : l'armée britannique en renfort contre le braconnage,"Au Malawi, l'armée britannique apporte son soutien à la lutte contre le braconnage. Des Rangers malawites écoutent les formateurs britanniques en renfort dans la lutte contre le braconnage. Le prince Harry y assistait au déménagement de 300 éléphants vers la réserve de Nkhotakota. Les troupes britanniques aident à former les Rangers malawites dans le cadre d'un programme visant à lutter contre le braconnage et à protéger la faune. Les Rangers sont formés à des techniques de lutte anti-braconnage, notamment à l'utilisation d'équipements de surveillance et à la conduite de patrouilles. Le braconnage constitue une menace majeure pour la faune du Malawi. Les éléphants, les rhinocéros et les lions sont tous des cibles de braconniers, qui tuent les animaux pour leurs cornes, leurs peaux et leur viande. Le braconnage a un impact dévastateur sur les populations animales et nuit également aux écosystèmes. L'armée britannique fournit également une aide logistique à la lutte contre le braconnage. Les troupes britanniques aident à transporter des fournitures et des équipements dans les parcs nationaux et les réserves du Malawi. Ils aident également à construire des avant-postes et d'autres infrastructures qui permettent aux Rangers de patrouiller plus efficacement. Le soutien de l'armée britannique à la lutte contre le braconnage est vital pour protéger la faune du Malawi. Les troupes britanniques fournissent aux Rangers malawites la formation et les ressources dont ils ont besoin pour lutter contre le braconnage et protéger la faune. En déplacement Le prince Harry était au Malawi pour assister au déplacement de 300 éléphants vers la réserve de Nkhotakota. Le déplacement faisait partie d'un programme visant à réintroduire les éléphants dans la réserve, qui a été vidée de ses éléphants par des braconniers dans les années 1980. Le prince Harry a rencontré des écologistes et des Rangers malawites impliqués dans le programme de réintroduction. Il a également visité une école locale où les enfants apprennent l'importance de la conservation de la faune. Le déplacement des éléphants était une opération complexe, mais elle s'est déroulée sans accroc. Les éléphants ont été transportés dans des camions spécialement conçus, et ils ont été libérés dans la réserve en toute sécurité. Le programme de réintroduction est une étape importante pour la conservation de la faune au Malawi. Les éléphants jouent un rôle crucial dans l'écosystème, et leur présence dans la réserve de Nkhotakota contribuera à restaurer la biodiversité de la région.",Ai,French,BBC,Continue,gemini-pro,0
"Nachinachi Zoulikha-Chafika; ""la fille secrète de Bouteflika"", jugée pour corruption et blanchiment d'argent","La femme d'affaires Nachinachi Zoulikha-Chafika, qui se fait appeler Mme Maya, est accusée d'avoir bâti sa fortune grâce à des affaires publiques lucratives, en partie en utilisant sa relation de longue date supposée avec l'ancien président. Le procès de Mme Maya a débuté dimanche et devrait durer plusieurs jours. Elle est accusée d'avoir blanchi de l'argent par le biais de ses entreprises, ainsi que d'avoir corrompu des fonctionnaires pour obtenir des contrats lucratifs. Les procureurs affirment que Mme Maya a utilisé son influence et ses relations pour amasser une fortune personnelle importante, tout en enrichissant ses proches et ses associés. Ils ont présenté des preuves selon lesquelles elle aurait reçu des pots-de-vin de la part d'entreprises en échange de contrats gouvernementaux. Les avocats de Mme Maya nient les accusations, affirmant qu'elle est victime d'une campagne de diffamation politique. Ils soutiennent que sa richesse provient d'investissements légitimes et que les accusations de corruption sont fausses. Le procès est très attendu en Algérie, où la corruption est un problème répandu. De nombreux Algériens sont impatients de voir Mme Maya rendue responsable de ses actes présumés, tandis que d'autres craignent qu'elle ne soit utilisée comme bouc émissaire politique. Le résultat du procès aura probablement un impact significatif sur la perception de la corruption en Algérie. Si Mme Maya est reconnue coupable, cela enverra un signal fort indiquant que le gouvernement est déterminé à lutter contre la corruption. Cependant, si elle est acquittée, cela pourrait être considéré comme un signe d'impunité pour les élites corrompues. L'affaire Mme Maya est un rappel de l'ampleur de la corruption en Algérie et des défis auxquels le pays est confronté pour éradiquer ce problème. Le procès est une occasion importante de faire rendre des comptes aux personnes responsables de corruption et de promouvoir la transparence et la responsabilité dans la vie publique.",Ai,French,BBC,Continue,gemini-pro,0
Le Burkina enregistre ses premiers cas de Covid-19,"Les deux personnes infectées sont de sexe masculin et âgées de 34 et 28 ans. Elles sont toutes deux revenues du Togo le 9 mars. Elles ont été placées en quarantaine et reçoivent des soins à l'hôpital de Tengandogo à Ouagadougou. Le Burkina Faso est le cinquième pays d'Afrique de l'Ouest à enregistrer des cas de COVID-19, après le Sénégal, le Togo, le Nigeria et le Ghana. Le gouvernement burkinabé a pris plusieurs mesures pour prévenir la propagation du virus, notamment la fermeture des écoles et des universités, l'interdiction des rassemblements publics et l'instauration d'un couvre-feu de 19 heures à 6 heures du matin. Le ministère de la Santé a également mis en place un numéro vert (70 00 84 85) pour permettre aux personnes de signaler tout symptôme suspect. Le COVID-19 est une maladie respiratoire causée par un nouveau coronavirus. Les symptômes les plus courants sont la fièvre, la toux et l'essoufflement. Dans les cas graves, le virus peut entraîner une pneumonie et même la mort. Il n'existe actuellement aucun vaccin ou traitement spécifique contre le COVID-19. La meilleure façon de se protéger contre le virus est de se laver fréquemment les mains, d'éviter les contacts étroits avec les personnes malades et de porter un masque dans les lieux publics. Le gouvernement burkinabé a déclaré qu'il prenait toutes les mesures nécessaires pour contenir la propagation du virus et protéger la population. Il a appelé les citoyens à rester calmes et à suivre les instructions des autorités sanitaires. Traduction en français : Une illustration montrant la structure du nouveau coronavirus publié par l'institut national de santé publique des États-Unis Les deux personnes infectées sont de sexe masculin et âgées de 34 et 28 ans. Elles sont toutes deux revenues du Togo le 9 mars. Elles ont été placées en quarantaine et reçoivent des soins à l'hôpital de Tengandogo à Ouagadougou. Le Burkina Faso est le cinquième pays d'Afrique de l'Ouest à enregistrer des cas de COVID-19, après le Sénégal, le Togo, le Nigeria et le Ghana. Le gouvernement burkinabè a pris plusieurs mesures pour prévenir la propagation du virus, notamment la fermeture des écoles et des universités, l'interdiction des rassemblements publics et l'instauration d'un couvre-feu de 19 heures à 6 heures du matin. Le ministère de la Santé a également mis en place un numéro vert (70 00 84 85) pour permettre aux personnes de signaler tout symptôme suspect. Le COVID-19 est une maladie respiratoire causée par un nouveau coronavirus. Les symptômes les plus courants sont la fièvre, la toux et l'essoufflement. Dans les cas graves, le virus peut entraîner une pneumonie et même la mort. Il n'existe actuellement aucun vaccin ou traitement spécifique contre le COVID-19. La meilleure façon de se protéger contre le virus est de se laver fréquemment les mains, d'éviter les contacts étroits avec les personnes malades et de porter un masque dans les lieux publics. Le gouvernement burkinabè a déclaré qu'il prenait toutes les mesures nécessaires pour contenir la propagation du virus et protéger la population. Il a appelé les citoyens à rester calmes et à suivre les instructions des autorités sanitaires.",Ai,French,BBC,Continue,gemini-pro,0
"Asisat Oshoala, l'anti-princesse du football","Asisat Oshoala sera un atout majeur de la sélection nigériane pendant la Coupe du monde féminine. Ses parents, qui évoluent dans l'industrie de l'or et de la mode, pensaient qu'elle marcherait sur leurs traces. Mais leur fille avait d'autres ambitions : elle voulait jouer au football. Dès son plus jeune âge, Asisat Oshoala se passionne pour le football. Elle joue avec les garçons dans les rues de Lagos, sa ville natale. À l'âge de 17 ans, elle est repérée par un recruteur du FC Robo, un club de première division nigériane. Elle signe son premier contrat professionnel et commence sa carrière. En 2014, Asisat Oshoala rejoint le FC Rivers Angels, l'un des meilleurs clubs du Nigeria. Elle remporte le championnat national et est élue meilleure joueuse de la saison. Ses performances lui valent d'être appelée en sélection nationale. En 2015, Asisat Oshoala participe à la Coupe du monde féminine au Canada. Elle est la capitaine de l'équipe nigériane et marque un but lors du match d'ouverture. Le Nigeria atteint les huitièmes de finale, ce qui constitue un exploit historique pour le pays. Après la Coupe du monde, Asisat Oshoala est transférée au Liverpool FC. Elle devient la première joueuse africaine à évoluer dans le championnat anglais. Elle marque 12 buts en 20 matchs et aide son équipe à remporter le titre de championne. En 2017, Asisat Oshoala rejoint le FC Barcelone. Elle remporte le championnat d'Espagne et est élue meilleure joueuse de la saison. Elle devient la première joueuse africaine à remporter la Ligue des champions féminine. En 2019, Asisat Oshoala participe à la Coupe du monde féminine en France. Elle est la capitaine de l'équipe nigériane et marque un but lors du match d'ouverture. Le Nigeria atteint les huitièmes de finale, ce qui constitue un exploit historique pour le pays. Asisat Oshoala est une joueuse de football exceptionnelle. Elle est rapide, technique et possède un sens du but hors du commun. Elle est également une leader naturelle et un modèle pour les jeunes filles africaines. Elle a inspiré de nombreuses jeunes filles à se lancer dans le football et à poursuivre leurs rêves.",Ai,French,BBC,Continue,gemini-pro,0
Burkina Faso : ouverture du procès du putsch de 2015,"Le général Gilbert Diendéré, l'un des cerveaux présumés du putsch de 2015 au Burkina Faso, est jugé ce jeudi avec une centaine de coaccusés. Ils sont accusés de complicité d'attentat à la sûreté de l'Etat, meurtre et coups et blessures. Les généraux Gilbert Diendéré et Djibril Bassolé et leurs coaccusés comparaissent devant le tribunal militaire de Ouagadougou. Ils sont accusés d'avoir participé à la tentative de coup d'Etat qui avait visé le gouvernement de transition mis en place après la chute de Blaise Compaoré en 2014. Le procès a été ouvert jeudi 27 février 2023. Il s'agit d'un procès très attendu au Burkina Faso, où la tentative de coup d'Etat de 2015 a été un événement majeur. Les victimes et leurs familles attendent des réponses et de la justice. Le général Gilbert Diendéré est considéré comme l'un des principaux responsables de la tentative de coup d'Etat. Il était à l'époque chef d'état-major particulier de l'ancien président Blaise Compaoré. Il est accusé d'avoir été le cerveau de la tentative de coup d'Etat. Le général Djibril Bassolé est également un ancien proche de Blaise Compaoré. Il a été ministre des Affaires étrangères de 2007 à 2014. Il est accusé d'avoir soutenu la tentative de coup d'Etat. Le procès devrait durer plusieurs mois. Il s'agit d'un procès important pour le Burkina Faso, qui tente de tourner la page de la période Compaoré. Le procès devrait permettre de faire la lumière sur les événements de 2015 et de rendre justice aux victimes.",Ai,French,BBC,Continue,gemini-pro,0
"Taux de testostérone : après Semenya, une Kényane défie l'IAAF","Maximila Imali lors des Jeux du Commonwealth 2018 La Kényane âgée de 23 ans estime que la nouvelle règle de l'IAAF sur l'hyperandrogénisme va ""faire tomber les barrières sociales"" et ""encourager les femmes à s'assumer"". L'IAAF a introduit de nouvelles règles en 2019, obligeant les athlètes féminines présentant des différences de développement sexuel (DSD) à faire baisser leur taux de testostérone en dessous d'un certain seuil pour pouvoir concourir dans les épreuves féminines de demi-fond. Cette règle a été vivement critiquée par des athlètes comme Caster Semenya, qui a été contrainte de prendre des médicaments pour réduire son taux de testostérone afin de poursuivre sa carrière. Imali, qui a des niveaux naturels de testostérone plus élevés que la moyenne, estime que la nouvelle règle est discriminatoire et qu'elle va nuire aux athlètes féminines. ""C'est une règle injuste qui va affecter non seulement les athlètes qui présentent des DSD, mais aussi toutes les femmes qui ont des niveaux naturels de testostérone plus élevés"", a-t-elle déclaré. ""Cette règle va créer des barrières sociales et décourager les femmes à s'assumer. Elle va leur faire croire qu'elles ne sont pas assez féminines ou qu'elles ne sont pas assez bonnes pour faire du sport."" Imali a déclaré qu'elle était déterminée à continuer à courir et à défier la règle de l'IAAF. ""Je ne vais pas laisser cette règle m'arrêter. Je vais continuer à courir et je vais continuer à me battre pour les droits de toutes les athlètes féminines"", a-t-elle déclaré. ""Je pense que nous pouvons changer les choses. Nous pouvons montrer au monde que les femmes ont toute leur place dans le sport, quelles que soient leurs différences.""",Ai,French,BBC,Continue,gemini-pro,0
Emmanuel Amuneke devient sélectionneur de la Tanzanie,"Emmanuel Amuneke a joué un rôle clé dans la victoire des Super Eagles à la finale de la Coupe d'Afrique des nations 1994. Emmanuel Amuneke, ex-entraîneur d'Al Khartoum SC, une équipe du championnat d'élite soudanais, va désormais entraîner la Tanzanie, a annoncé mercredi la Fédération tanzanienne de football (TFF). Le Nigérian de 51 ans a signé un contrat de deux ans avec les Taifa Stars, surnom de l'équipe nationale tanzanienne, et succède à l'ancien international français, Kim Poulsen, qui a démissionné en novembre dernier après avoir échoué à qualifier l'équipe pour la Coupe d'Afrique des nations 2023. Amuneke est un ancien attaquant qui a joué pour le Sporting Lisbonne, le FC Barcelone et Everton. Il a également été membre de l'équipe nationale nigériane qui a remporté la Coupe d'Afrique des nations en 1994 et la médaille d'or aux Jeux olympiques d'Atlanta en 1996. Après sa retraite de joueur, Amuneke s'est reconverti en entraîneur et a dirigé plusieurs clubs en Afrique, notamment le Julius Berger FC, le Zamalek SC et le TP Mazembe. Il a également été sélectionneur de la Tanzanie de 2012 à 2015. Sous la direction d'Amuneke, la Tanzanie a connu une période de succès, se qualifiant pour la Coupe d'Afrique des nations 2019 pour la première fois en 39 ans. Cependant, l'équipe a été éliminée en phase de groupes du tournoi. Le nouveau sélectionneur aura pour mission de conduire la Tanzanie à la qualification pour la Coupe d'Afrique des nations 2025, qui se déroulera en Guinée. Les Taifa Stars sont actuellement classés 136e au classement mondial de la FIFA. La nomination d'Amuneke a été accueillie avec enthousiasme par les fans de football tanzaniens, qui espèrent qu'il pourra ramener l'équipe nationale au sommet du football africain.",Ai,French,BBC,Continue,gemini-pro,0
Onze morts dans des violences au Cameroun,"La situation sécuritaire s'est considérablement dégradée dans les régions anglophones du Cameroun. Au cours de cette attaque perpétrée par des individus non identifiés, un sous-préfet et son épouse, ainsi que des éléments des forces de l'ordre et de la population civile ont été tués. Selon des témoins, les assaillants ont ouvert le feu sur un convoi du sous-préfet, qui se rendait à Bamenda, la capitale régionale du Nord-Ouest. Le sous-préfet, son épouse et deux gendarmes ont été tués sur le coup. Les assaillants ont ensuite pris la fuite et ont attaqué un poste de contrôle de la gendarmerie, tuant deux autres gendarmes. Les violences se sont poursuivies dans la ville de Bamenda, où des tirs ont été entendus toute la nuit. Huit autres personnes ont été tuées dans des violences séparées dans la région du Sud-Ouest. Selon des sources locales, des hommes armés ont attaqué un village et tué six personnes. Deux autres personnes ont été tuées dans une attaque similaire dans un autre village. Ces attaques s'inscrivent dans un contexte de violences croissantes dans les régions anglophones du Cameroun. Depuis plusieurs années, ces régions sont secouées par un conflit entre les séparatistes anglophones et les forces de sécurité camerounaises. Le conflit a fait des milliers de morts et de déplacés. Les séparatistes réclament l'indépendance des régions anglophones, qui représentent environ 20 % de la population du Cameroun. Le gouvernement camerounais a déployé des forces supplémentaires dans les régions anglophones pour tenter de rétablir l'ordre. Cependant, les violences se sont poursuivies, et les populations civiles sont prises au piège des combats. Les Nations unies ont condamné les violences et appelé à un cessez-le-feu immédiat. Le Conseil de sécurité des Nations unies a également exprimé sa préoccupation face à la situation et a appelé à une solution pacifique au conflit.",Ai,French,BBC,Continue,gemini-pro,0
Elections législatives en Mauritanie,"Elections législatives en Mauritanie Le président mauritanien, Mohamed Ould Abdel Aziz, a voté dans son bureau habituel à Nouakchott. Après avoir accompli son devoir civique, il s'est félicité du ""caractère apaisé et tout à fait démocratique"" de la campagne en vue du scrutin, selon l'agence mauritanienne d'information (AMI). Forte participation attendue Ces élections législatives, boycottées par une partie de l'opposition, sont les premières organisées depuis la réforme constitutionnelle de 2017 qui a supprimé le Sénat et créé de nouvelles régions administratives. Le taux de participation s'annonce élevé, avec plus de 2,5 millions d'électeurs inscrits sur les listes électorales. Le scrutin se déroule dans un climat calme et serein, sans incidents majeurs signalés. Enjeux politiques importants Ces élections sont cruciales pour le président Aziz, qui cherche à renforcer sa majorité à l'Assemblée nationale. La coalition au pouvoir, l'Union pour la République (UPR), est actuellement majoritaire, mais elle pourrait perdre des sièges face à l'opposition. L'opposition, quant à elle, espère obtenir suffisamment de sièges pour faire barrage au président et empêcher l'adoption de lois qui pourraient remettre en cause les acquis démocratiques du pays. Résultats attendus sous peu Les résultats des élections devraient être annoncés dans les prochains jours. Ils donneront une indication sur l'état de l'opinion publique mauritanienne et sur l'avenir politique du pays.",Ai,French,BBC,Continue,gemini-pro,0
