title,text,write_by,language,domain,method,LLM_model,label
Il devient avocat pour venger son père d'une expropriation foncière,"Jordan Kinyera had been six years old when a lawsuit was filed against his father to deprive him of his lands. Jordan Kinyera wasn't just six years old when his family had their lands taken away. After 18 years spent between school and trying to make ends meet, he returned to find his childhood home no longer in the family. La terre, c'était plus qu'un simple terrain. C'était notre patrimoine, notre histoire, notre identité. The land was more than just a simple plot. It was our heritage, our history, our identity. His father had tended to the land for generations, and Jordan had spent countless hours playing there as a child. To lose it now felt like a personal attack. Mais Jordan refusait de se laisser abattre. Son père avait toujours enseigné à Jordan et à sa sœur la importance de lutter pour ce qu'on croit. Son père had always taught Jordan and his sister the importance of fighting for what one believes in. Jordan knew he had to do something. Il a décidé d'étudier le droit. He decided to study law. Il savait qu'il allait être long et difficile, mais il était déterminé à empêcher d'autres familles de subir le même sort. He knew it would be long and difficult, but he was determined to prevent other families from suffering the same fate. Après des années de dure travail et de nombreuses nuits passées à étudier, Jordan a obtenu son diplôme. After years of hard work and countless nights spent studying, Jordan finally earned his degree. Il avait 34 ans et était maintenant avocat. He was now 34 and a lawyer. Il a commencé à défendre des familles dans des affaires d'expropriation foncière. He began to represent families in land expropriation cases. Il savait tout à fait qu'il ne pouvait pas arrêter tous les dépossessions, mais il pouvait au moins essayer de protéger ceux qu'il pouvait. He knew he couldn't stop all the expropriations, but he could at least try to protect those he could. Jordan a continué à travailler dur pour ses clients, utilisant tous les connaissances qu'il avait acquises pendant ses années d'études. He continued to work hard for his clients, using all the knowledge he had acquired during his years of study. Et chaque victoire qu'il obtenait, chaque famille qu'il pouvait aider, le remplissait de fierté. And each victory he won, each family he could help, filled him with pride. Il devenait de plus en plus clair que le travail d'avocat était ce qu'il devait faire. It was becoming increasingly clear that being a lawyer was what he was meant",Ai,French,BBC,Continue,open-mistral-7b,0
Malawi : l'armée britannique en renfort contre le braconnage,"Des Rangers malawites écoutent attentivement les formateurs britanniques en renfort dans la lutte contre le braconnage. Le prince Harry était également présent lors du déploiement de 300 élephants. Les arbres s'inclinaient sous le poids de la pluie abondante, créant une atmosphère de tranquillité interrompue par les occasionales cris de l'afrique sauvage. Le camp militaire temporaire était établi dans la forêt de Liwonde, à environ 150 kilomètres au sud de Lilongwe, la capitale du Malawi. Les Rangers malawites, habillés de leur tenue camouflée, se tenaient debout, les mains dans leurs poches, attendant les instructions des Britanniques. Leurs visages reflétaient une combinaison de curiosité et de crainte, car ils étaient conscients que la lutte contre le braconnage de l'ivory et des rhinocéros noirs serait une bataille difficile. Les instructeurs britanniques, provenant de l'armée et de l'organisation pour la conservation de la nature, se tenaient debout devant les Rangers malawites. Ils avaient apporté avec eux des équipements modernes, des armes et des gadgets, qui ont suscité l'intérêt des Malawitans. Le prince Harry, placé dans les rangs des observateurs, regardait avec admiration les Britanniques en action. ""Nous sommes ici pour vous aider à protéger vos écosystèmes et vos animaux sauvages,"" a-t-il déclaré en anglais. ""Nous avons de l'expérience et des connaissances que nous pouvons partager avec vous pour que vous soyez plus efficaces dans votre travail."" Les Rangers malawites ont été impressionnés par les mots du prince et se sont mis à l'œuvre avec plus d'ardeur. Les britanniques ont mené des exercices de tir, des séances de planification et des cours sur les tactiques modernes de patrouille et de surveillance. Les Rangers malawites ont appris à utiliser des équipements comme des radios VHF, des lunettes de vision nocturne et des drones pour surveiller les aires de braconnage. Le temps passait rapidement, et les Rangers malawites avaient absorbé beaucoup d'informations. Ils étaient prêts à mettre en application leurs nouvelles compétences dans la forêt. Le prince Harry a salué les Rangers malawites et a remercié les Britanniques pour leur aide. Il a promis de revenir un jour pour voir les progrès que",Ai,French,BBC,Continue,open-mistral-7b,0
"Nachinachi Zoulikha-Chafika; ""la fille secrète de Bouteflika"", jugée pour corruption et blanchiment d'argent","La femme d'affaires Nachinachi Zoulikha-Chafika, qui se fait appeler Mme Maya, est accusée d'avoir bâti sa fortune grâce à des affaires publiques lucratives, en partie en utilisant des moyens douteux, selon les enquêteurs algériens. Ce scandale implique non seulement Mme Maya, mais également des membres éminents du régime actuel, y compris l'ancien président Abdelaziz Bouteflika. Mme Maya, âgée de 48 ans, est une figure influente dans le monde des affaires en Algérie, possédant des intérêts dans de nombreux secteurs économiques, allant des constructions à la banque et au tourisme. Cependant, les enquêteurs affirment que son ascension au sommet de la société algérienne a été facilitée par des relations nombreuses et des pots-de-vin. Selon les informations obtenues par la police algérienne, Mme Maya aurait profité de son statut de fille secrète de M. Bouteflika pour obtenir des contrats lucratifs dans le secteur public. Elle aurait également blanchi des sommes importantes provenant de sources douteuses, comme le trafic d'armes ou le narcotrafic. Mme Maya a été arrêtée mardi dernier à son domicile de la capitale algérienne, Alger, et est actuellement détenue en attente de procès. Selon les sources officielles, elle est accusée de corruption, de blanchiment d'argent et d'abus de confiance. Cependant, les défenseurs de Mme Maya affirment qu'elle est innocent et que tout cela est un complot orchestré par des ennemis politiques qui cherchent à la discréditer. Ils affirment que Mme Maya a acquis sa fortune légitimement et que ses succès dans le monde des affaires sont le résultat de son travail dur et de son intelligence. Cependant, les preuves recueillies par la police algérienne semblent contredire ces assertions. Des emails et des documents ont été découverts montrant des transactions suspectes entre Mme Maya et des officiers publics corrompus. Des témoignages de witness ont également été recueillis, accusant Mme Maya d'avoir versé des pots-de-vin pour obtenir des contrats publics. L'affaire Mme Maya est une bombe qui risque de faire exploser le régime algérien, qui est déjà affligé par une forte instabilité politique et économique. Si des preu",Ai,French,BBC,Continue,open-mistral-7b,0
Le Burkina enregistre ses premiers cas de Covid-19,"Une illustration montrant la structure du nouveau coronavirus publié par l'institut national de santé publique des États-Unis, avec ses projections sphériques de glycoprotéines distinctive, a été présentée récemment aux Burkinabé avec un choc particulier. Deux cas confirmés de Covid-19 liés à ce virus inquiétant ont été enregistrés dans ce pays d'Afrique de l'Ouest. Les deux personnes infectées, qui ont été identifiées par les autorités de santé publique du Burkina Faso, sont des ressortissants burkinabés récemment rentrés du nord de l'Italie, où le virus a commencé à s'étendre rapidement. Les tests de laboratoire effectués sur les échantillons pris à ces patients ont confirmé la présence du Covid-19. Ces nouveaux cas ont immédiatement mis les autorités en alerte, qui ont immédiatement mis en place des mesures drastiques pour contenir la propagation du virus. La frontière terrestre avec le Mali a été fermée, et des contrôles rigoureux ont été mis en place aux points de passage. Les voyageurs provenant de pays touchés par l'épidémie, tels que l'Italie, la France et l'Allemagne, sont depuis interdits d'entrée. Le gouvernement a également annoncé une série de mesures sanitaires et économiques pour répondre à cette crise sanitaire. Les écoles et les universités ont été fermées, et les manifestations et les rassemblements publics ont été interdits. Les personnes atteintes de Covid-19 sont isolées dans des hôpitaux spécialisés, et les contacts directs avec eux sont limités à un minimum. Le ministre de la Santé, Stanley Kontchou, a appelé les Burkinabés à rester calmes et à suivre les instructions des autorités de santé publique. ""Nous sommes prêts à mener une campagne d'information intensive sur les mesures de prévention et de contrôle de la propagation du Covid-19,"" a-t-il déclaré. ""Nous allons travailler en collaboration avec nos partenaires internationaux pour mettre en place des mesures complémentaires pour protéger notre population."" Le Burkina Faso n'est pas le seul pays d'Afrique de l'Ouest à enregistrer des cas de Covid-19. Le Sénégal, le Ghana et la Côte d'Ivoire ont également enregistré des cas, principalement parmi des voyageurs revenant d'Europe. Les autor",Ai,French,BBC,Continue,open-mistral-7b,0
"Asisat Oshoala, l'anti-princesse du football","Asisat Oshoala sera un atout majeur de la sélection nigériane pendant la Coupe du monde féminine. Ses parents, qui évoluent dans l'industrie de l'or dans la ville de Ijebu-Ode, au Nigeria, ont vu leur fille se destiner tôt au football. À l'âge de cinq ans, Asisat commençait déjà à jouer avec les garçons dans les rues de son quartier. Son talent remarquable ne tarda pas à se faire remarquer. Dans les années suivantes, Asisat poursuivit son passion pour le football en rejoignant des équipes de jeunes et en participant à des tournois scolaires. Son père, qui travaillait alors comme mineur d'or, a été un soutien constant dans la carrière de sa fille. Il a quitté l'industrie de l'or pour travailler à plein temps en tant qu'entraîneur de football et a formé Asisat dans les bases techniques du jeu. Asisat a continué à exceller au football, étant nommée meilleure joueuse de l'année de son école et de son état. Elle a également été sélectionnée pour représenter le Nigeria à des compétitions internationales. Son talent a attiré l'attention de scouts de clubs européens, et à l'âge de 17 ans, Asisat a quitté le Nigeria pour rejoindre le club espagnol de Lacobas Ladies. À Lacobas Ladies, Asisat a continué à faire des progrès impressionnants. Elle a été la meilleure buteuse de la ligue espagnole en 2014, et en 2015, elle a rejoint le club anglais de Arsenal Ladies. Au début de sa carrière professionnelle en Angleterre, Asisat a affronté des défis, mais elle a rapidement montré son Potential et sa détermination. Elle a été nommée meilleure joueuse de l'année de la Women's Super League en 2016. Maintenant, Asisat Oshoala fait partie des joueuses clés de la sélection nigériane pour la Coupe du monde féminine. Elle est une menace constante pour les défenses adverses avec sa vitesse et son sens du but. Son équipe espère que son talent et son expérience internationale seront des facteurs clés dans leur campagne pour remporter le titre mondial. En dehors du terrain, Asisat est une ambassadrice passionnée pour le football et l'éducation des jeunes filles au Nigeria. Elle a fondé une fondation, The As",Ai,French,BBC,Continue,open-mistral-7b,0
Burkina Faso : ouverture du procès du putsch de 2015,"Le général Gilbert Diendéré, l'un des cerveaux présumés du putsch de 2015, et son collège Djibril Bassolé, ainsi que leurs 83 coaccusés, doivent répondre du délit d'attentat à la constitution et aux institutions de l'État devant le Tribunal pénal international pour Afrique (TPIA) ce lundi 15 mars 2023 à Ouagadougou, en Burkina Faso. Cette ouverture de procès marque un tournant importante dans l'enquête sur le putsch militaire qui a renversé le président élu, Marc Kéïta, le 16 septembre 2015. Diendéré et Bassolé, comme d'autres officiers supérieurs et membres de la sécurité intérieure, sont accusés d'avoir planifié et mis en œuvre le coup d'État. Diendéré, ancien chef d'état-major des forces armées, jouait un rôle clé dans la préparation du putsch, déclenché par des rumeurs d'intrigues contre le président Kéïta. Le putsch a conduit à des semaines de chaos et de violemments, entraînant des centaines de morts et des milliers de personnes dispersées de leur foyer. Le TPIA, qui a accepté de siéger en tant que juge adjudicataire dans ce cas, a été invité par les autorités burkinabées à assurer une enquête impartiale et indépendante. Le tribunal a également été chargé de poursuivre les auteurs présumés du putsch et d'assurer des poursuites judicieuses et équitables. Lors de la première audience du procès, les avocats des défenseurs ont demandé que les charges retenues contre leurs clients soient précisées, et ils ont affirmé leur intention de défendre leur clients sur la base du droit international. Les avocats des victimes ont également présenté leur demande d'assistance et ont demandé que les preuves soient présentées à l'audience. Le procès est attendu avec impatience par la population burkinabée, qui espère que la justice sera rendue et que les auteurs du putsch seront tenus responsables de leurs actions. Le succès de cette poursuite poursuivie par le TPIA sera un test important pour le tribunal, qui veut prouver sa capacité à assurer la justice dans des cas complexes impliquant des membres haut placés des forces armées. En plus de Diendéré et Bassolé, d'autres personnalités politiques et militaires",Ai,French,BBC,Continue,open-mistral-7b,0
"Taux de testostérone : après Semenya, une Kényane défie l'IAAF","Maximila Imali, la jeune Kenyanne de 23 ans, a fait une grande onde lors des Jeux du Commonwealth 2018. Elle a remporté la médaille d'or du 800 mètres, battant son record personnel avec une impressionnante performance de 1 min 58 s 73. Mais ce n'était pas seulement sa victoire sportive qui a attiré l'attention, c'était sa position ferme vis-à-vis de la nouvelle règle de l'IAAF sur l'hyperandrogénie. Imali a déclaré à la presse après sa victoire : ""Je suis heureuse de mon succès, mais je ne peux pas ignorer la nouvelle règle de l'IAAF. Ce réglement va falloir ""faire tomber les athlètes africains"", et je veux savoir où est l'équité dans tout cela."" L'athlète kényane fait référence à la décision de l'IAAF, l'instance régulatrice mondiale d'athlétisme, de mettre fin à la politique de disqualification des athlètes suspectés d'hyperandrogénie. La nouvelle règle stipule que les athlètes doivent avoir un taux de testostérone naturel inférieur à 5 nanomoles par litre pour être éligibles à concourir dans certaines épreuves féminines. Imali a rejoint Caster Semenya, l'athlète sud-africaine qui a fait l'actualité mondiale en 2019 en se refusant à suivre les prescribptions de l'IAAF concernant sa condition intersexue. Semenya a perdue une longue bataille juridique contre l'IAAF, qui l'a obligée à prendre des hormones suppressives pour réduire ses niveaux de testostérone. Imali a déclaré : ""Caster a fait une grande lutte pour nous, et maintenant c'est notre tour de lutter pour notre droits. Nous ne sommes pas des robots, et nous ne devons pas être traités comme des cas de laboratoire. Nous sommes des athlètes, et nous avons le droit de compétir dans nos propres catégories."" Son attitude courageuse a été saluée par de nombreux supporters. Les activistes des droits des personnes intersexes et des droits des femmes ont exprimé leur soutien à Imali et à Semenya. ""Maximila Imali et Caster Semenya sont des héroines pour nous tous,"" a déclaré Phumlani Ratshoana, un activiste sud-africain des",Ai,French,BBC,Continue,open-mistral-7b,0
Emmanuel Amuneke devient sélectionneur de la Tanzanie,"Emmanuel Amuneke, un ancien international nigérian brillant qui a joué un rôle clé dans la victoire des Super Eagles à la finale de la Coupe d'Afrique des Nations en 1994, a été officiellement nommé sélectionneur de l'équipe de Tanzanie le jeudi dernier. Amuneke, qui a terminé meilleur buteur de la CAN 1994 avec six buts, a annoncé sa retraite du football professionnel en 2007. Depuis ce temps, il a occupé divers rôles dans le football nigérian, y compris entraîneur adjoint des Super Eagles et directeur technique de l'Académie de développement de football de la Fédération nigériane. Cependant, il a récemment montré son intérêt pour une carrière d'entraîneur en chef, et ses bonnes performances dans les fonctions de direction technique ont attiré l'attention de la Fédération tanzanienne de football. L'annonce a été faite par la Fédération tanzanienne de football le lundi dernier, qui a confirmé que Amuneke avait signé un contrat de deux ans avec l'équipe nationale. ""Emmanuel Amuneke a été nommé nouveau sélectionneur de l'équipe nationale de Tanzanie,"" a déclaré un porte-parole de la Fédération tanzanienne de football. ""Son contrat a une durée de deux ans, et nous sommes très heureux de le voir rejoindre notre équipe. Nous sommes sûrs qu'il aportera son expérience et sa connaissance du football africain à l'équipe."" Amuneke a lui-même confirmé son nouveau poste sur son compte Twitter, en disant qu'il était ""heureux et fière"" d'être devenu sélectionneur de l'équipe de Tanzanie. ""Je vais travailler dur pour faire progresser l'équipe de Tanzanie et faire de nous une force à craindre dans le football africain,"" a-t-il tweeté. Amuneke est devenu le deuxième entraîneur étranger à prendre le poste de sélectionneur de l'équipe de Tanzanie depuis la création de la position en 1961. Le premier était Georges Leekens, qui a mené l'équipe à sa première participation à la Coupe du monde en 2004. Amuneke est attendu de prendre ses fonctions à la mi-août, et son premier match comme sélectionneur de l'équipe de Tanzanie sera contre la République centrafricaine le 5 septembre.",Ai,French,BBC,Continue,open-mistral-7b,0
Onze morts dans des violences au Cameroun,"La situation sécuritaire s'est considérablement dégradée dans les régions anglophones du Cameroun. Au cours de cette attaque perpétrée par des individus non identifiés, un sous-prefet ainsi que dix autres personnes ont été tuées. Le samedi 25 janvier, des groupes armés ont lancé des assauts contre des postes de police et des installations gouvernementales dans la région du Sud-Ouest du pays. L'un des principaux objectifs des agresseurs était la localité de Kumba, où ils ont attaqué une caserne de police et tué une douzaine de policiers. Le sous-préfet de la ville, qui était également responsable de la coordination des forces de l'ordre dans la région, a été enlevé par les agresseurs lors de l'attaque. Selon des sources officielles, les agresseurs ont exigé un rançon pour sa libération. La violence a également touché d'autres villes dans la région, notamment Buea et Mamfe, où des manifestations anti-gouvernementales ont abouti à des affrontements entre les manifestants et les forces de l'ordre. Au moins trois personnes ont été tuées dans ces villes. La population civile a également souffert des violences. Des rapports indiquent qu'une école a été incendiée à Kembong, dans la région du Sud-Ouest, et que des familles ont été forcées à fuir leur foyer en raison des combats. Le gouvernement camerounais a annoncé l'état d'urgence dans la région, interdisant les manifestations et ordonnant aux forces de l'ordre d'utiliser la force si nécessaire pour rétablir l'ordre. Les raisons de ces violences restent inc certaines, mais elles sont largement perçues comme étant liées à la demande d'autonomie des populations anglophones du Cameroun, qui ont longtemps critiqué la discrimination et la marginalisation par le gouvernement majoritairement francophone. Des groupes séparatistes ont revendiqué la responsabilité des attaques, mais ce n'est pas clair si ces groupes sont impliqués dans les faits. Le gouvernement a accusé des groupes terroristes d'être derrière les violences, mais ce n'est pas clair si ces groupes ont des liens réels avec les événements qui se sont produits. La communauté internationale a condamné les violences et appelé les parties à dialoguer pour résoudre le conflit. Le secrétaire général de l'ONU, António Guterres, a déploré les",Ai,French,BBC,Continue,open-mistral-7b,0
Elections législatives en Mauritanie,"Le président mauritanien, Mohamed Ould Abdel Aziz, après avoir voté dans son bureau habituel à Nouakchott, s'est félicité du ""caractère apaisé et tout à fait démocratique"" des élections législatives qui se déroulaient ce jour-là. Le calme apparent régnait sur la ville et les villages du pays, malgré des inquiétudes préalables quant à la possibilité de troubles. La Journée électorale a été marquée par une forte participation de la population, avec des longues files d'attente devant les bureaux de vote. Les observateurs internationaux et nationaux ont rapporté que les conditions de vote étaient favorables, avec une distribution équitable des cartes d'identité et de bulletins de vote. La campagne électorale s'est déroulée relativement tranquillement, avec peu de incidents à signaler. Les partis politiques ont eu la possibilité de faire campagne librement et de s'adresser aux électeurs à travers divers médias. Le président Aziz a invité tous les candidats à faire campagne en respectant les règles électorales et en évitant toute provocation. La Mauritanie dispose d'un multipartisme, mais certains partis ont accusé le pouvoir en place d'avoir une avance notable. Cependant, les observateurs ont noté que les conditions de campagne ont été équitablement appliquées à tous les partis. De plus, les résultats provisoires de certains sondages indiquaient une forte probabilité de victoire pour le Rassemblement Présidentiel Mauritanien (RPM), le parti du président Aziz. Le processus électoral a été supervisé par la Commission électorale nationale indépendante (CENI), qui a assuré la neutralité et l'impartialité des opérations électorales. Des équipes d'observateurs internationaux et nationaux ont également suivi le processus, et leurs rapports préliminaires ont été positifs. Le président Aziz a appelé les Mauritaniens à rester calmes et patient après les élections, et à attendre les résultats officiels. Il a également promis de respecter les résultats, quels que soient les circonstances. Bien que certains partis se soient montrés méfiants envers le processus électoral, les observateurs ont souligné que les conditions de vote étaient favorables et que la participation de la population était élevée. Le calme apparent régnait sur la Mauritanie, et les résultats officiels attendus dans les jours suivants. Finalement, les élections législatives en Mauritanie se sont déroul",Ai,French,BBC,Continue,open-mistral-7b,0
