title,text,write_by,language,domain,method,LLM_model,label
1898: el primer motor de Porsche fue eléctrico,"Así estaba el P1 cuando fue encontrado en un garaje de una casa en Austria. El vehículo fue diseñado en 1898 por Ferdinand Porsche. Y ahora, en 2021, ha vuelto a la vida gracias a la labor de un equipo de expertos de Porsche. El P1 es un coche eléctrico con cuatro motores que pueden generar una potencia total de 4 CV, una cifra relativamente modesta para los estándares actuales, pero impresionante para finales del siglo XIX. El vehículo también cuenta con una batería de plomo-ácido que le permite alcanzar una velocidad máxima de unos 35 km/h y una autonomía de unos 100 km. El P1 fue un proyecto pionero para Porsche, que por aquel entonces era un joven ingeniero. El vehículo demostró el potencial de los motores eléctricos y allanó el camino para el desarrollo de los primeros automóviles. El P1 fue restaurado por un equipo de expertos de Porsche y ahora se encuentra en exposición en el Museo Porsche de Stuttgart. El vehículo es un recordatorio de los primeros días de la industria del automóvil y de la innovación de Ferdinand Porsche. El legado del P1 El P1 fue un proyecto pionero que dio forma al futuro de la industria del automóvil. El vehículo demostró el potencial de los motores eléctricos y allanó el camino para el desarrollo de los primeros automóviles. El P1 también influyó en el propio Porsche. El vehículo le inspiró a fundar su propia empresa, Porsche AG, en 1931. La empresa se convirtió en uno de los principales fabricantes de automóviles del mundo y es conocida por sus coches deportivos y de carreras. El P1 es un recordatorio de los primeros días de la industria del automóvil y de la innovación de Ferdinand Porsche. El vehículo es un testimonio de la visión de Porsche y su compromiso con la excelencia.",Ai,Spanish,BBC,Continue,gemini-pro,0
¿Cómo seríamos si pudiésemos vivir bajo el agua?,"¿Te imaginas poder pasar largos ratos bajo el agua sin necesidad de subir a la superficie para respirar? Después de todo, el agua cubre el 71% de nuestro planeta. Y desde que el explorador marino Jacques-Yves Cousteau inventó el primer regulador de buceo en 1943, los humanos hemos podido explorar las profundidades del océano con relativa facilidad. Pero, ¿qué pasaría si pudiéramos vivir bajo el agua de forma permanente? ¿Cómo serían nuestras vidas? En primer lugar, tendríamos que desarrollar nuevas formas de respirar. El aire que respiramos en la superficie está compuesto principalmente de nitrógeno y oxígeno, mientras que el aire bajo el agua está compuesto principalmente de agua y sal. Nuestros pulmones no están diseñados para extraer oxígeno del agua, por lo que tendríamos que desarrollar nuevas formas de extraer oxígeno del aire bajo el agua. Una posibilidad sería utilizar branquias, como los peces. Las branquias son órganos especiales que extraen oxígeno del agua. Sin embargo, las branquias son muy frágiles y no serían capaces de soportar la presión del agua a grandes profundidades. Otra posibilidad sería utilizar un aparato de respiración artificial. Los aparatos de respiración artificial bombean aire a la boca y la nariz, permitiendo a los humanos respirar bajo el agua. Sin embargo, los aparatos de respiración artificial son voluminosos e incómodos, y no serían prácticos para el uso diario. En segundo lugar, tendríamos que desarrollar nuevas formas de movernos. En la superficie, podemos caminar o correr, pero bajo el agua, la resistencia del agua hace que el movimiento sea mucho más difícil. Tendríamos que desarrollar nuevas formas de propulsarnos a través del agua, como aletas o propulsores. En tercer lugar, tendríamos que desarrollar nuevas formas de comunicarnos. En la superficie, podemos hablar y escuchar, pero bajo el agua, el sonido viaja mucho más lento y se distorsiona más fácilmente. Tendríamos que desarrollar nuevas formas de comunicarnos bajo el agua, como el lenguaje de señas o los dispositivos de comunicación por ultrasonidos. En cuarto lugar, tendríamos que desarrollar nuevas formas de construir y vivir. En la superficie, podemos construir casas y edificios con materiales tradicionales, pero bajo el agua, el agua ejerce una presión mucho mayor y es más corrosiva. Tendríamos que desarrollar nuevas formas de construir y vivir bajo el agua, utilizando materiales que puedan soportar la presión y la corrosión. Vivir bajo el agua sería un gran desafío, pero también sería una oportunidad increíble. Tendríamos la oportunidad de explorar un mundo completamente nuevo y de aprender cosas nuevas sobre nosotros mismos y sobre nuestro planeta.",Ai,Spanish,BBC,Continue,gemini-pro,0
"La ""pequeña Pompeya"" que está saliendo a la luz cerca de Lyon, en el sur de Francia","El nivel de conservación de las ruinas ha sorprendido a los arqueólogos. Las declaraciones de Benjamin Clément a la agencia AFP dan testimonio del entusiasmo de los arqueólogos que desde hace meses trabajan en una pequeña localidad del centro-este de Francia: ""Es excepcional ver muros pintados así fuera de Pompeya"". Las excavaciones, iniciadas en 2021 y realizadas en el marco de un proyecto inmobiliario, han sacado a la luz una suntuosa villa galo-romana de 3.000 metros cuadrados que fue habitada entre los siglos I y III. Los mosaicos, muy bien conservados, representan escenas mitológicas y de la vida cotidiana. También se han encontrado frescos que adornan las paredes, así como una piscina y un hipocausto, un sistema de calefacción utilizado en la época romana. Según los arqueólogos, la villa perteneció a una rica familia galo-romana que abrazó la cultura romana mientras mantenía sus tradiciones celtas. La presencia de monedas y cerámicas importadas de todo el Imperio Romano atestigua la riqueza y las relaciones comerciales de sus ocupantes. Los arqueólogos creen que la villa fue destruida por un incendio en el siglo III, lo que contribuyó a su excepcional estado de conservación. Las capas de ceniza y escombros protegieron los restos de los elementos y de los saqueos. ""Es un testimonio único de la vida cotidiana en la Galia romana"", explica Benjamin Clément. ""Nos aporta información valiosa sobre la arquitectura, la decoración y el estilo de vida de la época"". El descubrimiento de esta ""pequeña Pompeya"" ha suscitado un gran interés entre los historiadores y el público. Las excavaciones continuarán en los próximos meses para tratar de desvelar todos los secretos de esta villa excepcional.",Ai,Spanish,BBC,Continue,gemini-pro,0
"Polonia advierte sobre actividad militar rusa ""sin precedentes"" en región del Báltico","Dejó de ser inusual del vuelo de Migs rusos sobre el báltico. (Foto de archivo). El ministro de Defensa, Tomasz Siemoniak, dijo que la mayoría de las acciones se produjeron en el enclave ruso de Kaliningrado, que limita con Polonia y Lituania. ""Hemos observado un número sin precedentes de vuelos militares rusos en el Mar Báltico en los últimos meses"", dijo Siemoniak. ""Esto incluye bombarderos, aviones de reconocimiento y aviones de combate"". Siemoniak dijo que Polonia está monitoreando de cerca la situación y que está trabajando con sus aliados para garantizar la seguridad de la región. ""Estamos tomando todas las medidas necesarias para proteger a Polonia de cualquier amenaza"", dijo. La actividad militar rusa en el Mar Báltico ha aumentado en los últimos años. En 2014, Rusia anexó la península de Crimea de Ucrania y ha apoyado a los separatistas prorrusos en el este de Ucrania. La OTAN ha respondido a la actividad militar rusa incrementando su presencia en la región. La alianza ha desplegado más tropas y aviones en los países bálticos y Polonia, y ha realizado ejercicios militares regulares en la región. La actividad militar rusa en el Mar Báltico es un motivo de preocupación para Polonia y otros países de la región. Polonia teme que Rusia pueda estar planeando algún tipo de acción militar en la región. El gobierno polaco ha dicho que está trabajando con sus aliados para garantizar la seguridad de la región. Polonia es miembro de la OTAN y la alianza ha dicho que está dispuesta a defender a Polonia de cualquier ataque. La actividad militar rusa en el Mar Báltico también es motivo de preocupación para la OTAN. La alianza ha dicho que está monitoreando de cerca la situación y que está dispuesta a tomar todas las medidas necesarias para proteger a sus miembros.",Ai,Spanish,BBC,Continue,gemini-pro,0
"La madriguera de conejo que condujo a una cueva ""de los Caballeros Templarios""","Según una leyenda local, las Cuevas de Caynton, en el condado de Shropshire (oeste de Inglaterra), eran utilizadas por los Caballeros Templarios en el siglo XVII. La estructura ubicada a menos de 5 kilómetros de la ciudad medieval de Bridgnorth, fue redescubierta recientemente por un grupo de espeleólogos locales. El espeleólogo principal, Dave Parker, dijo: ""Estábamos explorando un sistema de cuevas conocido como las 'Cuevas de Conejo' cuando nos encontramos con una abertura estrecha. Decidimos seguirla y nos condujo a una cámara mucho más grande"". Dentro de la cámara, los espeleólogos encontraron evidencia de actividad humana, incluidas tallas en las paredes y cerámica medieval. También encontraron un pozo profundo que creen que puede haber sido utilizado como prisión. ""Es un descubrimiento increíble"", dijo Parker. ""Estas cuevas han estado ocultas durante siglos y es fascinante pensar que los Caballeros Templarios pueden haberlas utilizado como refugio o lugar de reunión"". Los Caballeros Templarios eran una orden religiosa y militar fundada en el siglo XII. Fueron suprimidos por el Papa en 1312, pero sus leyendas y tesoros siguen fascinando a la gente hasta el día de hoy. Los espeleólogos ahora planean realizar más investigaciones en las cuevas para tratar de aprender más sobre la historia de su uso. También esperan abrir las cuevas al público para que otros puedan experimentar este fascinante descubrimiento. Las cuevas de los Caballeros Templarios La leyenda de las cuevas de Caynton como refugio de los Caballeros Templarios se ha transmitido durante siglos. Según la historia, los templarios utilizaron las cuevas para esconderse de la persecución por parte de la Iglesia y para almacenar sus tesoros. No hay evidencia histórica que respalde esta leyenda, pero las cuevas sí contienen algunas características que podrían haberlas hecho atractivas para los templarios. La entrada está oculta y las cámaras son espaciosas y están bien ventiladas. También hay un pozo profundo que podría haber sido utilizado como prisión o escondite. Si bien es posible que los Caballeros Templarios hayan utilizado las cuevas de Caynton, es más probable que las cuevas fueran utilizadas por otros grupos, como contrabandistas o bandidos. Sin embargo, la leyenda de los Caballeros Templarios sigue viva y las cuevas son un recordatorio fascinante del rico pasado de Shropshire.",Ai,Spanish,BBC,Continue,gemini-pro,0
"#StarTrek50: ""Larga vida y prosperidad"", el saludo vulcano de Spock que llegó a Whatsapp","""Star Trek"" es una serie de culto que comenzó a emitirse en la década de 1970. Hace 50 años se transmitía el primer capítulo de lo que se convertiría en un fenómeno de la cultura pop que sigue vigente hasta nuestros días. Uno de los aspectos más icónicos de la serie es el saludo vulcano, un gesto con la mano que representa paz y larga vida. Este saludo, popularizado por el personaje Spock, ha trascendido la pantalla y se ha convertido en un símbolo de la franquicia de ""Star Trek"". En los últimos años, el saludo vulcano ha cobrado nueva vida gracias a las plataformas de mensajería instantánea. En 2017, WhatsApp incorporó el saludo vulcano a su catálogo de emojis, lo que permitió a los usuarios expresar su amor por ""Star Trek"" y su filosofía de paz y prosperidad en sus conversaciones digitales. El saludo vulcano es un reflejo de la cultura y la filosofía de los vulcanos, una raza extraterrestre de ""Star Trek"" conocida por su lógica y su control emocional. El gesto representa el deseo de paz y larga vida, y se realiza extendiendo los dedos medio e índice mientras se separa el pulgar y se encoge el meñique y el anular. La popularidad del saludo vulcano ha llevado a su adopción en diversos ámbitos. Desde su aparición en ""Star Trek"", el gesto ha sido utilizado en películas, programas de televisión, libros y cómics. También ha sido adoptado por organizaciones y grupos de todo el mundo como símbolo de paz y unidad. El saludo vulcano es un testimonio del poder duradero de ""Star Trek"" y su mensaje de esperanza y optimismo. El gesto representa la creencia de que, incluso en un futuro incierto, podemos encontrar paz y prosperidad si trabajamos juntos y abrazamos la lógica y la compasión. En el 50 aniversario de ""Star Trek"", el saludo vulcano sigue siendo un recordatorio de los valores que han hecho que la serie sea tan querida por generaciones de fans. Es un símbolo de paz, larga vida y el poder de la imaginación humana.",Ai,Spanish,BBC,Continue,gemini-pro,0
Nigeria: liberan a 76 de las 110 niñas secuestradas hace un mes por militantes islamistas de Boko Haram,"Las 100 niñas fueron secuestradas el pasado mes de febrero. El Ministro de Información y Cultura de Nigeria, Alhaji Lai Mohammed, señaló que 76 de las 110 menores fueron liberadas en ""un bosque cercano a la localidad de Dapchi"". ""Las negociaciones para la liberación de las otras 34 niñas secuestradas siguen en curso"", dijo Mohammed, en declaraciones recogidas por la Agencia EFE. El funcionario no quiso aclarar si se ha pagado un rescate por las menores liberadas, pero aseguró que ""no hubo ningún intercambio de prisioneros"". Por su parte, el gobernador del estado de Yobe, Ibrahim Gaidam, anunció que la liberación de las niñas tuvo lugar alrededor de las 03:00 horas (hora local) de este miércoles. ""Las niñas han sido transportadas en vehículos de la Policía hasta el palacio del distrito de Dapchi, donde están siendo recibidas por sus padres y familiares en un acto oficial"", dijo Gaidam. El gobernador indicó que todavía no se ha informado a los padres sobre el estado de salud de las niñas, pero aseguró que ""parecen estar bien"". Las niñas fueron secuestradas el pasado 19 de febrero por el grupo yihadista Boko Haram en un ataque a la escuela secundaria femenina de Dapchi, en el estado de Yobe, en el noreste de Nigeria. El secuestro provocó una ola de indignación en Nigeria y en todo el mundo, y llevó al presidente del país, Muhammadu Buhari, a ordenar el cierre inmediato de todas las escuelas en el estado de Yobe. La liberación de las 76 niñas es una buena noticia para Nigeria, que ha estado luchando contra la insurgencia de Boko Haram durante años. El grupo yihadista ha matado a miles de personas y ha desplazado a millones más en el noreste del país. Sin embargo, la liberación de las niñas también plantea interrogantes sobre la estrategia del gobierno nigeriano para combatir a Boko Haram. El gobierno ha sido acusado de ser demasiado blando con el grupo terrorista y de pagar rescates por la liberación de secuestrados. El gobierno nigeriano ha negado estas acusaciones, pero la liberación de las niñas sin un aparente intercambio de prisioneros podría alimentar las sospechas de que el gobierno está negociando con Boko Haram.",Ai,Spanish,BBC,Continue,gemini-pro,0
Expresidente de El Salvador admite haber recibido donaciones millonarias de Taiwán,"Flores reconoce que recibió millones de dólares de Taiwán. En declaraciones ante la comisión especial parlamentaria que investiga el presunto desvío de donaciones del estado asiático, Flores aseguró haber aceptado la ayuda económica para financiar proyectos sociales y obras públicas en El Salvador. ""Recibí dinero de Taiwán, pero nunca con la intención de desviarlo o utilizarlo para fines personales"", afirmó Flores ante los miembros de la comisión investigadora. ""Todo el dinero se destinó a proyectos que beneficiaron al pueblo salvadoreño"". Según Flores, las donaciones de Taiwán ascendieron a un total de 15 millones de dólares, los cuales fueron utilizados para financiar la construcción de escuelas, hospitales y carreteras. También negó haber utilizado el dinero para financiar campañas políticas o enriquecerse personalmente. Sin embargo, la comisión investigadora ha presentado pruebas que contradicen las declaraciones de Flores. Según los documentos obtenidos por la comisión, parte del dinero donado por Taiwán fue depositado en cuentas bancarias personales de Flores y sus colaboradores. Además, la comisión ha encontrado evidencia de que Flores utilizó el dinero para financiar la campaña presidencial de su sucesor, Mauricio Funes, quien también está siendo investigado por corrupción. Ante estas acusaciones, Flores ha mantenido su inocencia y ha asegurado que está dispuesto a colaborar con la investigación para demostrar su inocencia. Sin embargo, la comisión investigadora continúa recopilando pruebas y no descarta imputar cargos contra Flores y otros exfuncionarios involucrados en el presunto desvío de donaciones de Taiwán. Por su parte, el gobierno de Taiwán ha expresado su preocupación por las acusaciones de corrupción y ha pedido a las autoridades salvadoreñas que investiguen a fondo el caso. Taiwán ha sido un importante donante para El Salvador y ha proporcionado ayuda económica al país durante décadas. El escándalo de las donaciones de Taiwán ha generado una gran indignación en El Salvador y ha puesto en entredicho la credibilidad de los políticos del país. La investigación continúa y se espera que la comisión investigadora presente sus conclusiones en los próximos meses.",Ai,Spanish,BBC,Continue,gemini-pro,0
"""Se alquilan jetpacks"": los curiosos carteles del futuro","""Taxi sin conductor. Sea paciente, no toque la bocina. El robot a cargo no va a reaccionar"". Diseño de Fernando Barbella. El director creativo argentino Fernando Barbella, que actualmente reside en Barcelona, ha creado una serie de carteles que reflejan su visión sobre el futuro de las ciudades. En ellos, el artista imagina cómo serán nuestras urbes dentro de unos años, donde los coches voladores y los repartidores con jetpack se habrán convertido en algo cotidiano. ""La idea surgió de la observación de las tendencias actuales, como el auge de la inteligencia artificial, la robótica y los vehículos autónomos"", explica Barbella a la BBC. ""Quería explorar cómo estos avances tecnológicos podrían transformar nuestras ciudades y cómo nos adaptaríamos a ellas"". Uno de los carteles muestra a un hombre volando con un jetpack sobre una ciudad llena de rascacielos. El eslogan dice: ""Se alquilan jetpacks"". Barbella imagina que en el futuro, los jetpacks serán un medio de transporte común para quienes necesiten moverse rápidamente por la ciudad. Otro cartel muestra a un robot repartidor con una caja en la espalda. El eslogan dice: ""Repartidores con jetpack. Entrega en 30 minutos o menos"". Barbella cree que los robots repartidores se utilizarán cada vez más para entregar paquetes y comida a nuestros hogares. Sin embargo, Barbella también reconoce que estos avances tecnológicos también tienen sus inconvenientes. Uno de sus carteles muestra a un hombre atrapado en un atasco de tráfico, rodeado de coches voladores. El eslogan dice: ""El futuro del tráfico: igual que ahora, pero en el aire"". Barbella advierte que si no planificamos adecuadamente el futuro de nuestras ciudades, podríamos enfrentarnos a nuevos problemas, como la congestión del tráfico aéreo. Pese a estos desafíos, Barbella se muestra optimista sobre el futuro de las ciudades. Cree que la tecnología tiene el potencial de mejorar nuestras vidas y hacer nuestras ciudades más eficientes y sostenibles. ""Espero que estos carteles inspiren a la gente a pensar en el futuro y a imaginar cómo podemos crear ciudades mejores para todos"", afirma Barbella. Los carteles de Barbella han sido expuestos en galerías de todo el mundo y han recibido numerosos premios. Su trabajo ha sido elogiado por su creatividad y su capacidad para provocar el debate sobre el futuro de las ciudades.",Ai,Spanish,BBC,Continue,gemini-pro,0
Elecciones en Estados Unidos: los famosos que prometieron emigrar si Donald Trump ganaba la presidencia,"Miley Cyrus dijo que su intención de irse era real. Forman parte de la lista de famosos que prometieron irse de Estados Unidos en caso de que el candidato presidencial republicano, Donald Trump, ganara la carrera a la Casa Blanca. Sin embargo, desde su victoria electoral, pocas celebridades han cumplido sus amenazas. En los meses posteriores a la elección, algunas celebridades han expresado su decepción por la presidencia de Trump. Por ejemplo, el actor Robert De Niro ha sido un crítico abierto de Trump, calificándolo de ""peligroso"" y ""mentalmente inestable"". La cantante Cher también ha sido crítica con Trump, y ha dicho que está ""horrorizada"" por sus políticas. Sin embargo, a pesar de su decepción, la mayoría de las celebridades no han seguido adelante con sus planes de abandonar Estados Unidos. Hay varias razones para esto. En primer lugar, muchas celebridades tienen vínculos estrechos con Estados Unidos, incluidos familiares, amigos y negocios. En segundo lugar, abandonar Estados Unidos sería un gran inconveniente para muchas celebridades, que están acostumbradas a un cierto nivel de vida. En tercer lugar, algunas celebridades pueden creer que pueden ser más eficaces en la lucha contra las políticas de Trump desde dentro de Estados Unidos. Por supuesto, siempre es posible que algunas celebridades aún decidan abandonar Estados Unidos. Sin embargo, por el momento, parece que la mayoría de las celebridades se han contentado con expresar su decepción por la presidencia de Trump en lugar de seguir adelante con sus planes de irse. Aquí tienes una lista de algunas de las celebridades que prometieron irse de Estados Unidos si Trump ganaba la presidencia: Miley Cyrus Cher Robert De Niro Bryan Cranston Barbra Streisand Samuel L. Jackson Lena Dunham Amy Schumer Chelsea Handler Whoopi Goldberg Snoop Dogg Jon Stewart Stephen Colbert Jimmy Kimmel Bill Maher Sarah Silverman",Ai,Spanish,BBC,Continue,gemini-pro,0
