title,text,write_by,language,domain,method,LLM_model,label
1898: el primer motor de Porsche fue eléctrico,"Así estaba el P1 cuando fue encontrado en un garaje de una casa en Austria. El vehículo fue diseñado en 1898 por Ferdinand Porsche. Y además, tal vez sin saberlo, fue el pionero de los motores eléctricos que hoy comienzan a proliferar en la industria del automóvil. Así lo dio a conocer la empresa Porsche al iniciar una muestra sobre los diseños de su famoso fundador, quien es considerado el ingeniero automotriz del siglo XXI y que en su primer diseño –bautizado P1- utilizó un motor eléctrico para impulsar un coche de cuatro ruedas. El carro, construido en 1898, fue encontrado recientemente en un garaje de Austria, donde había estado desde 1902. Actualmente el P1 forma parte de una exposición en la fábrica Porsche en Stuttgart, Alemania. El auto fue diseñado no para su empresa –que fundaría en 1931- sino para la firma Jacob Lohner cuando Porsche tenía apenas 22 años. Final de Quizás también te interese Lea: El Porsche en el que murió Paul Walker El fin de los coches Después de un viaje a Estados Unidos, Ludwig Lohner, el dueño de la firma, llegó convencido que la era de los carruajes impulsados por caballos había terminado y le pidió a su diseñador estrella que pensara algo basado en un motor eléctrico. Entonces Porsche se puso en la tarea. Creó un motor octagonal que era alimentado por baterías eléctricas y con una suspensión en la parte trasera del vehículo. Utilizando una complicada serie de engranajes, el carro podía manejarse utlizando un cambio de 12 velocidades, de las cuales seis eran para ir hacia adelante, cuatro para la reversa y dos para el freno. Después de un serio trabajo, el P1 recorrió las calles de Viena el 26 de junio de 1898, alcanzando una velocidad máxima de 34 kilómetros por hora. Podía viajar 78 kilómetros con una sola carga. El primer vehículo diseñado por Porsche tenía un motor eléctrico que lo ayudaba a alcanzar velocidades cercanas a los 34 kilómetros por hora. En las pistas Como todo prototipo, el P1 participó en algunas pruebas y carreras. La primera sucedió en Berlín, el 28 de septiembre de 1899. La competencia consistía en transportar a cuatro pasajeros durante 38 kilómetros. El P1 ganó con facilidad: llegó a la meta 18 minutos antes que sus rivales. Además, como dato curioso de aquella competición, el P1 se llevó otro premio: el menor consumo de energía. Actualmente, el P1 se puede admirar en una exposición que se realiza en Sturttgart-Zuffenhausen, Alemania. Además de ganarla el P1 se convirtió en el vehículo más eficiente en consumo de energía durante una carrera en 1899. El diseño de Ferdinand Porsche fue realizado para la empresa Jacob Lohner en 1898.",Human,Spanish,BBC,,,1
¿Cómo seríamos si pudiésemos vivir bajo el agua?,"¿Te imaginas poder pasar largos ratos bajo el agua sin necesidad de subir a la superficie para respirar? Después de todo, el agua cubre el 71% de nuestro planeta. Y desde que el explorador marino Jacques-Yves Cousteau inventó en 1943 una escafandra autónoma para respirar bajo el agua durante sus inmersiones, se han hecho numerosos avances tecnológicos que han mejorado nuestra experiencia acuática. Lea: Las insólitas casas que te permiten vivir bajo el mar Cousteau decía que en 50 años, podría haber una raza de hombres capaces de respirar bajo el agua. Pero si hacemos a un lado el buceo, el submarinismo o los hoteles bajo el agua, ¿es posible vivir realmente –o al menos pasar largas estadías– bajo el agua? Final de Quizás también te interese ""Dentro de 50 años una nueva raza de humanos, el Homo aquaticus, vivirá bajo el agua sin necesidad de llevar un suministro de aire"", decía Cousteau. Su visión no se ha hecho realidad. Pero al menos hoy podemos entender cómo tendría que ser nuestro cuerpo para adaptarse a este medio. Cambios Nuestro tamaño, por empezar, debería ser más grande para evitar la pérdida de calor corporal. Necesitaríamos pies y manos palmeadas, es decir, con los dedos ligados entre sí por una membrana para nadar con más fuerza. En fotos: los Moken, los gitanos del mar Las piernas unidas, como las de las míticas sirenas, también nos permitirían impulsarnos mejor en el mar. Los Moken, también conocidos como los gitanos del mar, tienen una capacidad increíble de permanecer mucho tiempo bajo el agua. Un cuerpo elongado y sin mucho relieve haría más fácil el deslizamiento por el agua. Haría falta tener un ritmo cardíaco más pausado y que la sangre fluya sólo hacia los órganos más importantes. También pulmones con una estructura plegable, para evitar el síndrome de descompresión. Y ojos con capacidad de enfocar tanto arriba como abajo del agua. Rasgos Desde cazadores nómadas hasta atletas de competición, algunos humanos tienen habilidades semejantes a la de los animales marinos. ¿Qué características los distinguen? ¿Es posible ver con más nitidez bajo el agua? La mayoría de nosotros vemos con muy poca definición cuando estamos bajo el agua. Esto es porque nuestro iris se abre para lidiar con la falta de luz. Los Moken –un pueblo ancestral austronesio que habita el sudeste asiático– pueden controlar, sin embargo, este reflejo del ojo. Los Moken pueden controlar el movimiento reflejo del iris para ver con nitidez bajo el agua. Ellos pueden cerrar el iris para ver con mayor claridad cuando nadan por debajo de la superficie del agua. Estudios recientes muestran que cualquier niño puede aprender este truco.",Human,Spanish,BBC,,,1
"La ""pequeña Pompeya"" que está saliendo a la luz cerca de Lyon, en el sur de Francia","El nivel de conservación de las ruinas ha sorprendido a los arqueólogos. Las declaraciones de Benjamin Clément a la agencia AFP dan testimonio del entusiasmo de los arqueólogos que desde hace meses trabajan en una pequeña localidad del sureste de Francia. Poco ha poco han ido develando un viejo barrio romano de lujosas villas y vastos espacios públicos, tremendamente bien conservado. ""¡Es una verdadera pequeña Pompeya!"", se entusiasma Clément, quien está a cargo de la expedición arqueológica. Los pobladores abandonaron el lugar escapando del fuego, pero este también ayudo a la preservación de los restos. Efectivamente, todo indica que los pobladores del lugar, ubicado en Vienne, cerca de Lyon, también lo abandonaron precipitadamente hace miles de años escapando del fuego. ""Y fueron esos incendios sucesivos los que permitieron conservar todos los elementos en su lugar, cuando los habitantes huyeron de la catástrofe, convirtiendo el sector en una verdadera Pompeya vienesa"", explica el arqueólogo. Casas, fuentes y mosaicos Vienne, ubicada en las riveras del río Ródano, ya era famosa por albergar un teatro y un templo romano. La ciudad se convirtió en una colonia de Roma aproximadamente en el 47 a.C. y floreció bajo los Césares, pues se encontraba ubicada en el camino que llevaba de Lyon -en ese entonces capital de las Galias- a Arles. La ruinas cubren una extensión de 7.000 metros cuadrados. ""¡Era la autopista A-7 de la antigüedad!"", dice Clément, comparándola con la moderna ""autopista del sol"" que conecta a Lyon con Marsella. Y, efectivamente, las nuevas ruinas fueron descubiertas durante los trabajos preparatorios para la construcción de nuevas casas en el suburbio de Sainte-Colombe, en la ribera derecha del río. Pero también se han encontrado restos del otro costado. Y, según Clément, además del nivel de conservación de las ruinas también sorprende su extensión -más de 7.000 metros cuadrados- así como su diversidad. Las excavaciones empezaron en abril y continuarán hasta diciembre. Muchos de los mosaicos se mantienen prácticamente intactos. Un ejemplo es la lujosa residencia bautizada como ""La casa de los Bacanales"", por un piso de mosaico donde se ve una procesión de bacantes (seguidoras de Baco, el dios del vino) y sátiros (criaturas míticas mitad hombre, mitad chivo). ""Vamos a poder restaurar esa casa del suelo al techo, como en Pompeya o Herculano"", promete Clément. Mientras, en el mosaico de otra casa, conservado casi en su totalidad, se puede ver semidesnuda a Talía, la musa de la comedia, en el momento en que es raptada por Pan, el lujuriosa sátiro semidios de pastores y rebaños. Y también hay un espacioso edificio público -construido sobre un antiguo mercado- con una fuente decorada con una estatua de Hércules. Las excavaciones empezaron en abril y se espera se prolonguen hasta diciembre.",Human,Spanish,BBC,,,1
"Polonia advierte sobre actividad militar rusa ""sin precedentes"" en región del Báltico","Dejó de ser inusual del vuelo de Migs rusos sobre el báltico. (Foto de archivo). El ministro de Defensa, Tomasz Siemoniak, dijo que la mayoría de las acciones se produjeron en aguas y espacio aéreo internacional y que Suecia fue el país más afectado. Los socios de los países bálticos en la OTAN tienen aviones de combate patrullando la zona y monitoreando las actividades de las aeronaves rusas. El conflicto en el este de Ucrania ha elevado las tensiones en la región. Lea también: La inusual actividad de aviones rusos que preocupa a la OTAN Final de Quizás también te interese Siemoniak dijo que Rusia ""no se estaba preparando para atacar"", sino que parecía estar probando las defensas de la OTAN, que ""no ayudan a contruir buenas relaciones basadas en la confianza"". Los tres pequeños estados exsoviéticos en el Báltico -Estonia, Letonia y Lituania- se unieron a la OTAN en 2004. Siemoniak señaló que Rusia parecía estar probando las defensas de la OTAN. En declaraciones a la cadena de noticias polaca TVN24, el ministro de ese país dijo que no había necesidad de poner al ejército polaco en estado de alerta máxima. La OTAN y Ucrania acusan a Rusia de fomentar el conflicto en el este de Ucrania y de suministrar a los rebeldes prorrusos tropas y armas pesadas. Rusia niega las acusaciones, pero admite que ""voluntarios"" rusos están ayudando a los rebeldes. Repunte de actividad Varios incidentes se han reportado esta semana. La fuerza aérea de Finlandia denunció actividad rusa ""inusualmente intensa"" en el Mar Báltico y el Golfo de ese país. El repunte en la actividad se registra luego de que se diera a conocer un estudio realizado por el centro de estudios con sede en Londres, European Leadership Network, que detalla 40 casos en los últimos meses, incluyendo 11 de ""carácter más agresivo e inusualmente provocativo, lo que genera un mayor riesgo de que se intensifique"". En uno de los casos, un avión civil SAS que despegó de Copenhague por poco evitó chocar con un avión de reconocimiento ruso. Al mismo tiempo, Suecia llevó a cabo en octubre la búsqueda masiva de un submarino ruso sospechoso en aguas cercanas a la capital Estocolmo. Después de una cacería de una semana no se encontró el submarino. topcat2",Human,Spanish,BBC,,,1
"La madriguera de conejo que condujo a una cueva ""de los Caballeros Templarios""","Según una leyenda local, las Cuevas de Caynton, en el condado de Shropshire (oeste de Inglaterra), eran utilizadas por los Caballeros Templarios en el siglo XVII. La estructura ubicada a menos de un metro de profundidad parece estar intacta. El propósito original de ese lugar es un misterio, pero Historic England, un organismo que se encarga de preservar los sitios históricos ingleses, ha descrito la cueva como una ""gruta"". Ese organismo cree que esos sitios fueron probablemente construidos a fines del siglo XVIII o inicios del siglo XIX, cientos de años después de que la Orden del Temple se disolviera. Según Historic England, pareciera que las cuevas eran usadas para llevar a cabo ""rituales de magia negra"" por los visitantes. El fotógrafo Michael Scott, de la ciudad inglesa de Birmingham, fue a retratar el lugar después de ver un video de las cuevas en internet. ""Caminé por un potrero para llegar al lugar, pero si no sabes que está ahí, fácilmente pasas al lado sin darte cuenta"", comentó. ""Considerando el tiempo que ha estado ahí, el sitio está en condiciones maravillosas, es como un templo subterráneo"". El sitio tiene una red de pasillos y arcos tallados en piedras areniscas. También hay una fuente. Scott dijo que la cueva era ""bastante estrecha"" y que las personas que miden 1,8 m de altura debenagacharse para poder entrar. Algunas cámaras son tan pequeñas que los que las exploran tienen que entrar prácticamente gateando. ""Tenía que agacharme para entrar y cuando ya estaba adentro, había un silencio absoluto. Vi unas pocas arañas pero nada más. Como estaba lloviendo, la pendiente para llegar a la cueva estaba llena de lodo, pero adentro estaba seca"", añadió. Las cuevas habían sido selladas en 2012 en un intento por mantener alejados a los vándalos y a los practicantes de magia negra. Aunque el rumor de una conexión entre las cuevas y los Templarios parece improbable, según los historiadores, vale la pena recordar cómo era esta orden. ¿Quiénes eran los Caballeros Templarios? Los Templarios eran una orden militar católica fundada en el siglo XII para proteger a los peregrinos que se dirigían a Jerusalén por rutas peligrosas. Sus miembros eran caballeros armados vestidos como monjes, a quienes se les concedían determinados privilegios legales y cuyo estatus era respaldado por la Iglesia. Tenían la reputación de tener mucho dinero y poder. En 1095, el Papa Urbano II le prometió a los templarios de Europa que sus pecados quedarían perdonados si se embarcaban en una cruzada para recuperar Jerusalén en el nombre del cristianismo. Muchos respondieron ""tomando la cruz"", gesto que se tradujo en las pequeñas cruces rojas que cosieron en sus túnicas. .",Human,Spanish,BBC,,,1
"#StarTrek50: ""Larga vida y prosperidad"", el saludo vulcano de Spock que llegó a Whatsapp","""Star trek"" es una serie de culto que comenzó a emitirse en la década de 1970. Hace 50 años se transmitía el primer capítulo de ""Star Trek"": el capitán James Tiberius Kirk descendía en el planeta M-113 junto al doctor Leonard McCoy. Quedaba al mando de la nave interestelar Enterprise el primer oficial Spock, el vulcano que saludaba y se despedía levantando la mano derecha y separando los dedos formando una V. ""Larga vida y prosperidad"" era el significado de aquel gesto que con los años se popularizó a tal nivel que, cinco décadas después, aparece incluso en los emojis de Whatsapp. ¿Saludaste así alguna vez? ¿Cómo celebras el 50 aniversario de la serie de culto ""Star Trek""? Final de Quizás también te interese ¡Participa! BBC Mundo te invita a celebrar el primer medio siglo de vida de ""Star Trek"" compartiendo fotografías tuyas saludando como Spock o con los accesorios que tengas de la serie. Crearemos una galería con las mejores imágenes como un recuerdo de este histórico 50 aniversario. Mientras buscas tus accesorios, te compartimos esta nota publicada en septiembre de 2015, cuando el saludo vulcano llegó a Whatsapp. ___________________________________________________________________________________ ""¡Actualiza tu Whatsapp ahora! No lo vas a creer"", me escribió Clara Berríos desde La Paz. Separar el dedo índice y medio del anular y meñique es, desde hace décadas, reconocido como ""larga vida y prosperidad"", el mensaje que el señor Spock profesaba en la serie de culto ""Star Trek"". El ""homenaje"" a Mr. Spock aparece seis meses después del fallecimiento del actor que le dio vida al ""vulcano"". Leonarad Nimoy falleció el 27 de febrero de 2015. Los emoticones, o ""emojis"", de Whatsapp son una de las características principales que hacen de la aplicación uno de los mensajeros más populares del mundo. El señor Spock fue el personaje más carismático y celebrado de la saga ""StarTrek"" Una vez actualizado mi Whatsapp, confirmé que el saludo ""vulcano"" ahora era parte del grupo de emoticones. Los nuevos ""emojis"" están disponibles para móviles del sistema Android y también para los iPhone. Pasé la noche deseando ""larga vida y prosperidad"" a mis amigos. * Artículo publicado originalmente el 25 de septiembre de 2015.",Human,Spanish,BBC,,,1
Nigeria: liberan a 76 de las 110 niñas secuestradas hace un mes por militantes islamistas de Boko Haram,"Las 100 niñas fueron secuestradas el pasado mes de febrero. El Ministro de Información y Cultura de Nigeria, Alhaji Lai Mohammed, señaló que 76 de las 110 menores fueron liberadas en horas de la madrugada, tras ""esfuerzos detrás de escena"" de las autoridades que llevaron a una ""entrega incondicional"" de las rehenes. Sin embargo, el comunicado oficial no señala el número de niñas que, según reportes informales que circularon desde el secuestro, podrían haber muerto durante el cautiverio. Las autoridades ordenaron poner pausa a las acciones militares en la zona para facilitar la liberación. ""El gobierno tiene claro que la violencia y la confrontación podrían poner en riesgo la vida de las menores, por lo que se ha preferido la opción de la no violencia"", dijo. Las niñas habían sido raptadas por militantes islamistas, que se cree pertenecen a Boko Haram, el 19 de febrero pasado. Kundili Bukar, padre de una de las menores, le dijo a la BBC que en la liberación los extremistas llevaron a las niñas en carros, las hicieron descender y se retiraron de inmediato del lugar. De acuerdo al testimonio de los habitantes de Dapchi, las niñas fueron regresadas en varios vehículos. Los testimonios señalan que las niñas estaban exhaustas y hambrientas. ¿Boko Haram? Un funcionario militar que trabaja en la zona indicó a la agencia de noticias Reuters que ""Boko Haram había traído a las niñas"". Tras la entrada en la escuela de un comando de militantes, originalmente se había dicho que la mayoría de las niñas había logrado escapar y que ninguna había sido secuestrada. Sin embargo, una semana después, las autoridades admitieron que sí estaban en poder de los extremistas. El presidente de Nigeria, Muhammadu Buhari, que llamó a los secuestros ""un desastre nacional"", se disculpó con las familias de las estudiantes. El pasado 12 de marzo, anotó que se realizaban negociaciones para garantizar su liberación. El secuestro masivo inevitablemente fue comparado con un episodio similar ocurrido en Chibok, a unos 270 kilómetros de Dapchi, donde 276 menores fueron tomadas por la fuerza en abril de 2014. El secuestro de Chibok generó condena internacional a gran escala y una gran campaña de reclamo a través de las redes sociales. Algunas de esas niñas aún permanecen en cautiverio. Ahora puedes recibir notificaciones de BBC Mundo. Descarga la nueva versión de nuestra app y actívalas para no perderte nuestro mejor contenido.",Human,Spanish,BBC,,,1
Expresidente de El Salvador admite haber recibido donaciones millonarias de Taiwán,"Flores reconoce que recibió millones de dólares de Taiwán. En declaraciones ante la comisión especial parlamentaria que investiga el presunto desvío de donaciones del estado asiático, Flores aseguró que usó el dinero para atender los problemas de su país y que nunca depositó cheques del gobierno taiwanés en sus cuentas personales. Flores indicó que las donaciones fueron específicamente para atender a las víctimas de un terremoto ocurrido en el año 2001, montó que ascendió a entre US$15 y US$20 millones y que un año después recibió otra ayuda para combatir el narcotráfico, aunque no especificó la cantidad. ""Yo recibí a través de mi mandato apoyo de esta forma directa a mi persona del gobierno de Taiwán en numerosas ocasiones, que sobre lo que dice Funes (...) no sé a qué cheque se refiere"", dijo Flores en referencia a las acusaciones hechas por el actual presidente, Mauricio Funes, que considera que pudo haber una malversación de fondos. Según ha denunciado Funes en varias ocasiones, Flores recibió US$10 millones de Taiwán entre octubre del 2003 y abril del 2004. Final de Quizás también te interese Consultas ""urgentes"" El actual presidente Mauricio Funes llamó a su embajadora en Taiwán para consultas inmediatas. La agencia Reuters indica que según las investigaciones, el dinero habría sido otorgado por el ex mandatario taiwanés Chen Shui-bian, quien fue juzgado y sentenciado en su país a 17 años de prisión por delitos de corrupción. Mientras tanto, el presidente Funes llamó el martes a consultas ""inmediatas"" a su embajadora en Taiwán, Marta Chang de Tsien. Según un comunicado de la cancillería salvadoreña, Taiwán hasta ahora no ha respondido a ""las solicitudes urgentes"" que el gobierno de El Salvador ha hecho sobre el caso. ""Se ha llamado a consultas de carácter urgente este día a la embajadora (...) a fin de recibir instrucciones sobre las dilaciones que el Gobierno taiwanés ha tenido a las reiteradas y urgentes solicitudes de información relacionadas con los fondos donados por dicho Estado entre octubre de 2003 y abril de 2004 a nuestro país"", dijo el comunicado. La cancillería afirma que la embajadora Chang de Tsien debe presentarse ""a la mayor brevedad posible"" y también se ha convocado a la embajadora de Taiwán, Andrea Lee, para exponerle la situación. Esta es la primera vez que un presidente es investigado por supuestos actos de corrupción en El Salvador.",Human,Spanish,BBC,,,1
"""Se alquilan jetpacks"": los curiosos carteles del futuro","""Taxi sin conductor. Sea paciente, no toque la bocina. El robot a cargo no va a reaccionar"". Diseño de Fernando Barbella. El director creativo argentino Fernando Barbella se aproxima desde la ironía a ese futuro próximo en el que los carteles y señales que nos rodean tendrán que hacer referencias a tecnologías que ya ahora son incipientes, como drones, autos sin conductor y lentes de contacto inteligentes. Barbella, que tiene más de 16 años de experiencia en la industria del márketing y la publicidad y recibió varios premios internacionales, hizo este ejercicio de predecir el futuro a través de su proyecto Signs from the Near Future, que emprendió para divertirse. ""A la gente le gusta esto de que le muestren el futuro de una manera muy 'normal'"", le dijo a la BBC. ""Muchas veces utilizo el humor o la ironía para hacer estas imágenes"", dijo Barbella. ""Con ese toque humano se humaniza el tema del futuro"". Final de Quizás también te interese Aquí te presentamos una selección de gráficos de lo que podría llegar en unos años, de acuerdo a la imaginación del diseñador argentino. ""Bolígrafo de láser portátil para curación de heridas. Úsenlo con cuidado"". Diseño de Fernando Barbella. ""Por favor apaque su dispositivo de lentes inteligentes. Prohibido compartir o transmitir información"". Diseño de Fernando Barbella. ""Alquiler de Jetpacks"". ""Vuele bajo su responsabilidad"". Diseño de Fernando Barbella. ""Descuento del 15% en hamburguesas sintéticas"". ""Reserva aquí tu carne impresa"". Diseño de Fernando Barbella. ""Atención, carril solo para autos sin conductor"". ""Mantenga libre el carril de la izquierda para autos sin conductor"". Diseño de Fernando Barbella. ""Alerta del ministerio de Salud. Advertencia sobre exceso de distribución de información. Has sobrepasado tu cuota semanal de distribución social de información"". Diseño de Fernando Barbella. ""Centro de entrenamiento olímpico para atletas fruto de ingeniería genética"". Diseño de Fernando Barbella. ""Vigilancia con drones"". Diseño de Fernando Barbella. ""Los drones son la palabra de moda del momento. Van a reemplazar por ejemplo a las cámaras de seguridad o al policía típico de la esquina del barrio"". ""Pague con su mano. Escáner del patrón de venas en proceso"". Diseño de Fernando Barbella. ""Para mi era interesante intentar mostrar cómo estas tecnologías incipientes van a convivir con nosotros pero sin modificar o cambiar enormemente el diseño de las ciudades"", le dijo a la BBC Fernando Barbella. ""Siempre hay un precio que pagar: ¿Cuánta información queremos compartir con todos estos dispositivos?"", se preguntó el diseñador. ""Para mi es interesante pensar en estos sentimientos encontrados sobre las nuevas tecnologías: sí, vamos a acogerlas pero a la vez, pensándolo bien... ¿cuánta tecnología realmente queremos poner en nuestras vidas?"". Siga la sección de tecnología de BBC Mundo a través de @un_mundo_feliz",Human,Spanish,BBC,,,1
Elecciones en Estados Unidos: los famosos que prometieron emigrar si Donald Trump ganaba la presidencia,"Miley Cyrus dijo que su intención de irse era real. Forman parte de la lista de famosos que prometieron irse de Estados Unidos en caso de que el candidato presidencial republicano, Donald Trump, ganara la carrera a la Casa Blanca. ""Definitivamente me iría. Para mí es falso que eso pueda ocurrir. Le pido a Dios que no pase. Yo no me iría de vacaciones. Sería un exiliado"", dijo por ejemplo Cranston, protagonista de la famosa serie Breaking Bad, durante una entrevista la semana pasada. Y no fue el único que se expresó en términos semejantes. Durante la campaña el actor afroestadounidense Samuel L. Jackson criticó a Trump por hacer una campaña llena de odio y afirmó que emigraría a Suráfrica si el magnate ganaba la presidencia. Pero otros mencionaron destinos un poco más cercanos. La encantadora Canadá La actriz canadiense Neve Campbell, de la serie House of Cards, dijo que en caso de victoria de Trump regresaría a su país, cuya popularidad entre los potenciales emigrantes estadounidenses es enorme. La cantante, actriz y directora Barbra Streisand también lo mencionó como el lugar al que se iría, al igual que el comediante Keegan-Michael Key y la actriz Lena Dunham. Neve Campbell, de House of Cards, dijo que volvería a Canadá. ""Conozco a mucha gente que ha amenazado con hacerlo, pero yo lo haría de verdad. Conozco un lugar encantador en Vancouver"", dijo Dunham, protagonista de la serie Girls de HBO. La comediante Amy Schumer, por su parte, dijo en una entrevista en el programa Newsnight de la BBC que en caso de un triunfo de Trump emigraría a España. ""Mis presentaciones cambiarán porque necesitaré aprender a hablar español porque me iré a España o algún otro sitio. No podría entender un triunfo de Trump. Es algo demasiado loco"", dijo Schumer. Exilio galáctico Para otros famosos, la elección de Trump les obligaría a ir más allá las fronteras terrestres. ""Me mudaré a Júpiter"", prometió en un tuit la actriz y cantante Cher. Cher hizo campaña por Hillary Clinton. Mientras que el exanfitrión del programa ""Daily Show"" Jon Stewart dijo que consideraría la posibilidad de ""tomar un cohete espacial e ir a otro planeta, porque claramente este mundo ha enloquecido"". Algo que, sin embargo, parece difícil de arreglar antes del próximo 20 de enero, cuando empezará la presidencia de Trump. No todos los famosos, sin embargo, se oponen a Trump o creen que marcharse al exilio sea la mejor alternativa. El actor y director Clint Eatswood fue uno de los que celebró la elección del magnate e incluso afirmó por Twitter que Hillary Clinton sólo había ganado el voto popular gracias a los votos de muertos y migrantes indocumentados. ""La revolución ya viene"", trinó por su parte la cantante Katy Perry. ""No te quedes quieto. No llores. ¡Muévete! No somos una nación que va a dejar que el odio nos guíe"", agregó en otro tuit.",Human,Spanish,BBC,,,1
