title,text,write_by,domain,language,method,LLM_model,label
Humbert Ricolfi,"Humbert Jean Joseph Fréderic Ricolfi naît le à Contes (Alpes-Maritimes). Il est le fils de Paul Ricolfi et de Delphine Allardi. Après la guerre, il reprend la place importante qu'il avait au Barreau de Nice, où, dès 1906, il avait participé à la vie sociale en tant qu'avocat des syndicats ouvriers. L'ensemble de ses décorations est présenté au musée de la Légion d'honneur.",Human,Wikipedia,French,,,1
Breuillet (Charente-Maritime),"La ville est le cadre depuis 2010 d’un festival de musique country, le Seaside Country’s US Days, organisé au début du mois de septembre par l’association Seaside Country Danse. S’étendant sur deux jours, il s’articule autour de la culture américaine au sens large, avec des expositions de voitures anciennes, de motos ou de trikes. Plusieurs concerts rythment le festival, avec des artistes venus des deux côtés de l’océan (États-Unis, Canada, France, etc.).",Human,Wikipedia,French,,,1
Carnaval de Guadeloupe,"Vaval (diminutif créole de Carnaval) est le roi du carnaval. Il symbolise et incarne tous les problèmes de l'année écoulée. Il défile le dimanche gras. Il meurt le mercredi des cendres devant la foule qui chante « ""vaval, vaval, vaval ka kité nou, malgré lavi la rèd, vaval ka kité nou"" ». Il est représenté par un bwabwa (marionnette) représentant un personnage souvent connu. L’incinération de Vaval est le symbole de la purification des âmes.",Human,Wikipedia,French,,,1
Alimentation,"Les troubles du comportement ou des conduites alimentaires (TCA) se définissent par une relation « anormale » à l'alimentation. Ces troubles sont variés et peuvent altérer plus ou moins fortement la santé physique et mentale d'un individu touché. Ils touchent en moyenne plus de femmes que d'hommes à travers le monde et apparaissent souvent à l'adolescence. Les exemples les plus courants de TCA sont la boulimie, l'anorexie, ou encore l'hyperphagie. D'autres troubles comme l'orthorexie sont encore peu connus à l'heure actuelle.",Human,Wikipedia,French,,,1
Vitry-sur-Seine,"À la fin du , Vitry-sur-Seine est divisée en deux paroisses, celle de Saint-Gervais-et-Saint-Protais et celle de Saint-Germain. Le village compte alors entre deux et trois mille habitants. Le château de Vitry appartient à Jacques-Marie de Vougny, ancien mousquetaire du roi. Comparativement au reste de la France, Vitry-sur-Seine jouit d'une situation favorisée grâce aux pépinières installées sur le territoire de la commune, et de nombreux riches bourgeois parisiens y viennent en villégiature.",Human,Wikipedia,French,,,1
George Everest,"Il est en grande partie responsable de la triangulation des Indes, entamée cependant par William Lambton en 1806, une tâche qui dura plusieurs décennies. L’Everest fut étudié, en 1852, sous son successeur Andrew Waugh et c'est alors qu'après calcul de la hauteur de son sommet, il fut établi comme la plus haute montagne du monde, grâce aux méthodes utilisées par Sir George Everest. Il est renommé, en 1865, en l'honneur de Sir George Everest.",Human,Wikipedia,French,,,1
Les Avanchets,"En matière de transport individuel, la cité connaît depuis plusieurs années d'importants problèmes de stationnement (il n'y a que 150 places publiques pour 5 500 résidents en plus des places en sous-sol et des places réservées aux commerces et écoles). Pour remédier à ce problème, le conseil municipal de Vernier a décidé (à la suite d'une pétition) de faire passer les places de parc publiques en zone bleue. Cette décision est entrée en vigueur en mai 2013.",Human,Wikipedia,French,,,1
Lenk im Simmental,"La commune de La Lenk est dotée d'un exécutif, le Conseil communal (""Gemeinderat""). Les sept membres de cet organe sont élus selon un mode de scrutin majoritaire. Le législatif est une Assemblée communale (""Gemeindeversammlung"") à laquelle l'ensemble des citoyens de la commune peuvent participer. Pendant la législature 2021-2025, le Conseil communal est composé de trois membres de l'Union démocratique du centre, trois membres du Parti libéral-radical et un indépendant.",Human,Wikipedia,French,,,1
Thrombocyte,"Ce sont les plus petits éléments figurés du sang. Les thrombocytes ne sont pas des cellules à proprement parler ; il s'agit de fragments cellulaires formés à partir d'un précurseur plurinucléé, le mégacaryocyte, présent dans la moelle osseuse. La formation des plaquettes se fait par « pincement » de la membrane du mégacaryocyte en périphérie, partitionnant complètement des fragments de cytoplasmes qui intègrent ensuite le compartiment sanguin. Les thrombocytes sont ainsi dépourvus de noyaux (anucléés) mais, à l'opposé des érythrocytes, conservent leurs organites (notamment des mitochondries).",Human,Wikipedia,French,,,1
Bene Gesserit,"Une Sœur est en mesure de déterminer dans quelle direction va le cours des pensées de son interlocuteur, de connaître son état d'esprit réel (ce qu'il « pense » réellement), s'il cherche à lui dissimuler quelque chose ou à l'orienter sur une fausse piste, s'il est nerveux (et tente de le cacher), ou encore s'il va user de violence contre elle.",Human,Wikipedia,French,,,1
Tux-zillertal,"Elle appartient au rameau pie rouge des montagnes. Elle est directement issue de la race suisse hérens. Cette dernière a été répandue dans tout l'arc alpin pour son aptitude aux combats de reines. Elle a connu son heure de gloire au et a même été exportée en Russie pour y améliorer les races locales. Les effectifs actuels sont faibles et elle bénéficie même d'un programme de protection. En 1996, l'effectif était de et .",Human,Wikipedia,French,,,1
Adolfo Pérez Esquivel,"En 1997, il a lancé l'« Appel des prix Nobel de la paix pour les enfants du monde », adressé aux Nations unies, qui ont déclaré l’année 2000 « Année internationale de la culture de la paix » et qui ont déclaré la première décennie du nouveau millénaire « Décennie internationale de la promotion d'une culture de la non-violence et de la paix au profit des enfants du monde ».",Human,Wikipedia,French,,,1
Queensland Reds,"Après avoir emmené une sélection d'une Queensland en tournée au Japon, ils terminèrent en seconde position de l'unique édition de l'Australian Provincial Championship, laissant augurer d'un prometteur Super 14 2007. Malheureusement, cette saison fut la pire de l'histoire de la franchise, qui termina dernière avec la cuillère de bois. Leur défaite face aux futurs champions, les Bulls, reste la plus importante, le club s'étant incliné 92 à 3.",Human,Wikipedia,French,,,1
Transport ferroviaire en France,"Dans le cadre du développement du réseau TGV, le réseau ferroviaire français a vu depuis une trentaine d'années la naissance d'un réseau de lignes à grande vitesse (LGV) spécialement conçues pour la circulation des trains à grande vitesse. Le TGV a en effet pour originalité par rapport à son aîné japonais le Shinkansen de pouvoir circuler à la fois sur des lignes dédiées et sur des lignes préexistantes partagées avec des services ferroviaires classiques.",Human,Wikipedia,French,,,1
Dafydd ab Owain Gwynedd,"Dafydd était le fils d'Owain Gwynedd et de Cristin verch Goronwy. Comme Owain et Cristin étaient cousins au premier degré, leur mariage ne fut pas accepté par l'Église et cette dernière considérait Dafydd comme un enfant illégitime. En 1157, Henri II d'Angleterre envahit le Gwynedd et Dafydd se trouva impliqué dans l'escarmouche près de Basingwerk qui faillit coûter la vie à Henri II. En 1165, Dafydd s'installa dans la vallée de Clwyd et pilla Tegeingl.",Human,Wikipedia,French,,,1
Âge d'or des comics,"La situation politique et l'influence des Églises empêchent cependant parfois l'importation des comics. C'est le cas en Allemagne, en Italie et en Espagne, dont les gouvernements sont antiaméricains, et en Belgique et aux Pays-Bas où l'Église catholique voit d'un mauvais œil ces magazines qui paraissent violents et trop sexualisés. La guerre interdit ensuite le commerce des comics, et il faut attendre la Libération pour que les soldats américains amènent avec eux les comics. En France, la publication de ceux-ci est rapidement interrompue après l'instauration en 1949 d'un organisme de censure qui empêche la publication de nombreuses séries.",Human,Wikipedia,French,,,1
Oprah Winfrey,"En 1998, Oprah Winfrey a lancé Oprah's Angel Network, une organisation caritative aidant des personnes dans le besoin à travers le monde. En conséquence, Oprah's Angel Network entretient des projets charitables à travers le monde et fournit des subventions aux organisations à but non lucratif qui partagent cette vision. Jusqu'ici, Oprah's Angel Network a rassemblé plus de 51 millions de dollars (dont 1 million a été donné par Jon Bon Jovi). Oprah Winfrey couvre personnellement tous les coûts administratifs liés à la charité, c'est-à-dire 100 % de tous les fonds rassemblés pour les programmes de charité.",Human,Wikipedia,French,,,1
District de Xuanhua,"Xuanhua se trouve à l'extrémité nord des Yanshan, une chaîne de montagnes peu élevée bordant la grande plaine de la Chine du Nord, dans la zone de transition vers le plateau de la Mongolie intérieure. Le district est arrosé par le et est exposé à un climat continental semi-aride avec des hivers secs et froids et des pluies estivales. Le centre de la ville se trouve à 630 m d'altitude.",Human,Wikipedia,French,,,1
Utilité (économie),"On construit donc ainsi une fonction mathématique ""U"", allant de l'espace des biens dans formula_9, telle que formula_10 implique que le panier ""A"" est préféré au panier ""B"". On peut ainsi construire des courbes d'indifférence regroupant les paniers qui laissent indifférent le consommateur lorsqu'il les compare deux à deux. Du fait de la ""complétude"" et de la ""transitivité"", ces courbes peuvent alors être classées selon un ordre total.",Human,Wikipedia,French,,,1
CSKA Moscou (basket-ball),"Dans les années 1970, le CSKA remporte quatre titres de champion d'Europe, dont ceux de 1969 et 1971 sous la direction d'Aleksandr Gomelsky, et est battu deux fois en finale en 1970 et 1973. À cette époque, l'équipe s'appuie sur le talent de Sergei Belov, qui remporte trois titres de meilleur joueur lors de ces finales. Gomelsky reste entraîneur du club pendant 22 ans puis occupe le poste de président jusqu'à son décès en 2005.",Human,Wikipedia,French,,,1
Front populaire (France),"L'assemblée élue lors des élections de mai 1936 demeurera en place jusqu'au début de la Seconde Guerre mondiale, malgré l'arrestation de 49 députés communistes en septembre 1939, et se séparera le 10 juillet 1940. Toutefois, la fin du Front populaire arriva en avril 1938 lorsque le radical Édouard Daladier succéda à la présidence du Conseil au socialiste Léon Blum, qui démissionna à la suite de son échec dans l'obtention de moyens lui permettant de mettre en place une politique de grandes réformes financières.",Human,Wikipedia,French,,,1
