title,text,write_by,domain,language,method,LLM_model,label
"Montgomery County, Pennsylvania","Montgomery County, located in the southeastern part of Pennsylvania, is known for its vibrant communities and rich history. The county, which has a total population of approximately 610,000, is home to numerous attractions, including the historic Valley Forge National Historical Park. The median income for a household in the county was $60,829, and for a family was $72,183 (these figures had risen to $73,701 and $86",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Economy of Cambodia,"Cambodia's emerging democracy has received strong international support since the end of the civil war in 1991. Under the mandate of the United Nations Transitional Authority in Cambodia (UNTAC), $1.72 billion (1.72 G$) was spent between 1992 and 1993 to restore peace and stability, rebuild infrastructure, and promote economic development. The World Bank and the Asian Development Bank played significant roles in this reconstruction process. The economy, largely ag",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Antiques Roadshow,"PBS also airs the original BBC programme, though it is called ""Antiques Roadshow UK"" to differentiate it from the PBS version. Values of antiques and collectibles are determined through appraisals by a team of experts, who provide insights into the history and background of each item. While some pieces may hold significant monetary value, others may possess sentimental worth that cannot be measured in dollars. Both versions of the show feature participants bringing in their treasured items for appraisal, but the",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Superman Returns,"Peta Wilson adds star power to ""Superman Returns"" as NASA spokeswoman Bobbie-Faye. Her character plays a pivotal role in helping Superman (Brandon Routh) readjust to life on Earth. Meanwhile, a nostalgic surprise awaits fans of the original 1950s television series ""Adventures of Superman."" Jack Larson, who brought Jimmy Olsen to life, makes a cameo appearance as a bartender. This delightful homage connects the past with",Ai,Wikipedia,English,Continue,open-mistral-7b,0
PlayStation Portable,"The PSP uses one 333 MHz MIPS32 R4000-based CPU, a GPU with 2 MB onboard VRAM running at 166 MHz, and includes 32 MB main RAM and 4 MB embedded DRAM in total. The hardware was originally designed to play PlayStation games and media files, but has since been hacked to run homebrew applications and a wide variety of other software. The PSP features a 4.1 inch 16",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Prudential plc,"In October 2004, Prudential launched a new subsidiary, PruHealth, as a joint venture with Discovery Holdings of South Africa. This venture marked Prudential's entry into the private medical insurance market. PruHealth leverages Discovery's innovative Vitality program, which incentivizes policyholders to adopt healthier lifestyles in exchange for rewards and discounts. The partnership allows Prudential to offer comprehensive health cover and wellness solutions, expanding its product portfolio and catering",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Milton Caniff,"Caniff was one of the founders of the National Cartoonists Society and served two terms as its President, in 1948 and 1949. He also received the Society's first Cartoonist of the Year Award in 1947 for work published in his popular comic strip, ""Steve Canyon."" Milton Caniff's career in comic art began in the 1930s with the creation of the successful strip ""Terry and the Pirates."" Throughout his ill",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Pacific Solution,"By redefining the area of Australian territory that could be landed upon and then legitimately used for claims of asylum (the migration zone), and by removing any intercepted people to third countries for processing, the Australian government aimed to deter people from attempting dangerous sea voyages to reach its shores. This approach, known as the Pacific Solution, was implemented in the late 1990s and early 2000s, with the aim of reducing the number of asylum seekers arriving by boat. Process",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Second Triumvirate,"Despite the agreement, conflicts continued between the Second Triumvirate members, Octavian (later known as Augustus) and Sextus Pompey. Octavian accused Sextus of continuing to raid Italian towns, defying the settlement. In the following year, Octavian attempted to take Sicily by force, believing Sextus was amassing an army there. He assembled a large fleet and sailed for Sicily, engaging Sextus' forces in two naval battles near the coasts of Naples",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Wiltshire Wildlife Trust,"Since its inception in 1967, Wiltshire Wildlife Trust has been dedicated to the protection and preservation of Wiltshire's natural environment. For its 30th anniversary, in 1992, the trust formally changed its name to Wiltshire Wildlife Trust. In 1994, the trust employed its first otter habitat project officer, marking a significant milestone in its conservation efforts. This initiative aimed to conserve and enhance habitats for otters, which were then",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Turbofan,"Engine cores are shrinking as they are operating at higher pressure ratios and becoming more efficient. However, this trend results in smaller cores compared to the fan, increasing bypass ratios. Blade tip clearances are harder to maintain at the exit of the turbofan engine due to the high velocity of the exhaust gases and the small size of the core. To address this challenge, engineers use computational fluid dynamics simulations to optimize blade shape and positioning, and implement advanced materials with high-temperature resistance. Additionally,",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Alexander Mackenzie (politician),"He entered the House of Commons of Canada in 1867, representing the Lambton, Ontario, riding. There was no cohesive national political party system in place, and Mackenzie aligned himself with the Liberal-Conservative Party under John A. Macdonald's leadership. Mackenzie served as a cabinet minister in Macdonald's governments between 1873 and 1878, holding portfolios including Postmaster General and Minister of Militia and Defence. During this",Ai,Wikipedia,English,Continue,open-mistral-7b,0
"Pound, Wisconsin","The median income for a household in the village of Pound, Wisconsin was $32,692, and the median income for a family was $40,938. Males had a median income of $32,964 compared to $30,333 for females. The village's economy is primarily driven by manufacturing, with significant contributions from the paper industry and local businesses. The Village of Pound is home to several parks, including the Pound River Park, which offers fishing, pic",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Pittsburgh International Airport,"Pittsburgh International Airport, located in Pittsburgh, Pennsylvania, has seen significant growth in the low-cost airline sector. The airport, which serves the Greater Pittsburgh area, has been successful in attracting ultra low-cost airlines to the region. Allegiant Air commenced service in February 2015 and has been expanding its operations since then. The airline offers flights to various destinations, making travel more affordable for many residents. In addition to Allegiant, Frontier Airlines also operates out of Pittsburgh International Airport, providing",Ai,Wikipedia,English,Continue,open-mistral-7b,0
National Basketball League (Australia),"The top four teams at the end of the National Basketball League (NBL) regular season in Australia advance to the Finals. The team finishing in the first and second positions at the completion of the regular season receives a double-bye, progressing directly to the semi-finals. The third and fourth-placed teams face off in the first semi-final series. The winner advances to play the second-placed team in the grand final series, while the loser plays the winner of the first semi-final series in the",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Mu (lost continent),"It is true that continental drift and seafloor spreading can change the shape and position of continents and occasionally break a continent into two or more pieces. One such theory suggests the existence of a lost continent named Mu, located in the Pacific Ocean around 100,000 years ago. According to this hypothesis, Mu was home to an advanced civilization with a high level of technological and cultural development. However, the exact location and evidence of this continent's existence remain debated among scholars. Some theories suggest that Mu may have",Ai,Wikipedia,English,Continue,open-mistral-7b,0
"Point Judith, Rhode Island","Point Judith was named in the seventeenth century after Judith Thatcher, a passenger on a small vessel with her father when it ran aground on the point and was almost wrecked. Allegedly, Judith rendered invaluable assistance in saving the ship and its crew through her quick thinking and bravery. After the incident, the location became known as Point Judith in her honor. Today, Point Judith is a bustling fishing village located in the southeastern corner of Narragansett Bay",Ai,Wikipedia,English,Continue,open-mistral-7b,0
Yom Kippur War,"On the Syrian front, skirmishes and artillery exchanges continued taking place, with both sides accusing each other of violating the ceasefire. Meanwhile, in the Sinai Peninsula, Egyptian forces renewed their attacks against Israeli positions. however, the situation began to change as shuttle diplomacy by Henry Kissinger, the US Secretary of State, gained momentum. Kissinger's efforts resulted in a series of meetings and negotiations between Israeli Prime Minister Golda Meir and Egyptian President Anwar Sadat.",Ai,Wikipedia,English,Continue,open-mistral-7b,0
