title,text,write_by,domain,language,method,LLM_model,label
Elbasan,"Elbasan is a historic city in central Albania, located at the foot of the Qemal Stafa Mountains. Founded in the 12th century, Elbasan has a rich cultural heritage, with numerous Ottoman-era buildings and ancient ruins. The city is known for its beautiful stone-paved old bazaar, the Sebil mosque, and the Elbasan Castle, which offers panoramic views of the surrounding valley. Elbasan is also home to several museums, including the Museum of Medieval Arts and the Ethnographic",Ai,Wikipedia,English,Topic,open-mistral-7b,0
Manson Family,"The Manson Family was a notorious group of criminals led by Charles Manson from 1967 to 1969. Based in California, they gained infamy for their involvement in a series of violent crimes, most notably the Tate-LaBianca murders in August 1969. Manson and several of his followers, including Susan Atkins, Patricia Krenwinkel, Leslie Van Houten, and Bobby Beausoleil, were convicted of these crimes. The group's members, mostly young women,",Ai,Wikipedia,English,Topic,open-mistral-7b,0
RYB color model,"The RGB (Red, Green, Blue) color model is an additive color system widely used in digital art and design, as well as in television and computer screens. In this model, all colors are created by combining various proportions of red, green, and blue light. Each color can be represented as a unique combination of RGB values, ranging from 0 to 255. When these values are applied to a pixel, they illuminate the screen with the corresponding color, creating a vast spectrum of hues. The RGB color model allows for precise color control and is",Ai,Wikipedia,English,Topic,open-mistral-7b,0
Comcast,"Comcast Corporation is a leading telecommunications company based in Philadelphia, Pennsylvania. It provides various services including cable television, internet, telephone, and home security. Founded in 1963 as a cable television provider, Comcast has expanded its offerings and become one of the largest ISPs in the United States. As of 2021, it serves over 22 million cable subscribers and more than 53 million internet customers. Comcast also owns NBCUniversal, making it a significant player in media and entertainment industries. With a strong focus on innovation",Ai,Wikipedia,English,Topic,open-mistral-7b,0
Field (mathematics),"In mathematics, a field is a set on which addition, subtraction, multiplication, and division are defined and behave as the corresponding operations on real numbers. The elements of a field are called scalars, and the set of all fields forms a category. The most familiar example of a field is the set of real numbers, R, with the standard addition, subtraction, multiplication, and division. Other important examples include the complex numbers, Q (the field of rational numbers), and the p-adic numbers. Fields play a central role in many areas of mathemat",Ai,Wikipedia,English,Topic,open-mistral-7b,0
History of Laos,"Laos, land-locked country located in Southeast Asia, has a rich and complex history. Its earliest known civilization, Ban Chiang, dates back to 4500 BCE, making it one of the oldest in the region. The Lao people emerged as a distinct entity around the 13th century, when the Lan Xang Kingdom was established. This period marked the beginning of Lao cultural and political hegemony, which lasted until the late 18th century. The 19th century saw Laos become a French protectorate.",Ai,Wikipedia,English,Topic,open-mistral-7b,0
Semi-detached,"Semi-detached houses are residential structures designed to share common walls with only one adjacent property. Each unit has its own entrance, living space, and garden, providing a sense of privacy and individuality. Originally popular in the UK during the interwar period due to affordability, they have since spread to other regions. The layout allows for cost-effective construction, efficient use of space, and a sense of community. Semi-detached homes are often found in suburban neighborhoods and can range from simple to grand designs, catering to various budgets and lifestyles.",Ai,Wikipedia,English,Topic,open-mistral-7b,0
Victorian Legislative Council,"The Victorian Legislative Council is the upper house of the Parliament of Victoria, Australia. Established in 1856, it is one of the oldest continuously operating legislative councils in the world. The council consists of 40 members, each representing a multi-member electorate. Members are elected using the proportional representation system, with elections held every four years. Its main role is to review and revise legislation passed by the lower house, the Legislative Assembly. The council also has the power to initiate legislation on certain matters, and can scrutinize",Ai,Wikipedia,English,Topic,open-mistral-7b,0
Fresco,"Fresco is an ancient Italian painting technique where pigments are applied to damp plaster, allowing the colors to become an integral part of the wall or ceiling. This technique, popular during the Renaissance period, creates vibrant and long-lasting artwork. The term ""fresco"" comes from the Italian word for ""fresh,"" reflecting the use of fresh plaster. Artists carefully prepared the plaster, applying it in thin layers and working quickly to apply the pigments before the plaster dried. The resulting art is characterized by its rich colors and lifelike details",Ai,Wikipedia,English,Topic,open-mistral-7b,0
Hematopoietic stem cell transplantation,"Hematopoietic stem cell transplantation (HSCT), also known as bone marrow transplantation, is a medical procedure in which stem cells are infused intravenously to replace destroyed or diseased bone marrow. The donor cells originate from a healthy donor, often a sibling, or an unrelated matched donor from a registry. HSCT is used to treat various blood disorders, such as leukemia, lymphoma, and aplastic anemia, as well as genetic conditions like Fanconi anem",Ai,Wikipedia,English,Topic,open-mistral-7b,0
