title,text,write_by,domain,language,method,LLM_model,label
Bataille de Balaklava,"Le 25 octobre 1854, la bataille de Balaklava, une des plus famouses du conflit de Crimée, a eu lieu près de la mer Noire. Cette bataille opposait l'armée britannique, commandée par le lord Raglan, à l'armée russe, menée par le général Ménjikov. Le point d'orgue de la bataille fut l'attaque des Chasseurs Légers de l'Armée Impériale Britannique, également appelés les ""Chasseurs de la Light Brigade"", contre les batteries russes situées à Balaklava. Malgré leur br",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Calendrier hébraïque,"Le calendrier hébraïque, aussi connu sous le nom de calendrier hébraïco-lunaire ou calendrier juif traditionnel, est un système de dates basé sur la Lune et le Soleil, utilisé dans la tradition juive depuis l'Antiquité. Il comporte 12 mois lunaires, chaque mois commençant avec la première visibilité de la Lune après la pleine Lune du mois précédent. En moyenne, chaque année comprend 11 mois de 29 jours et un mois de 30 jours. Un cycle de 19 ans, connu sous le nom de Choul",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Armes de destruction massive en Iran,"Dans le contexte international, l'aspect des armes de destruction massive (ADM) en Iran suscite une grande inquiétude. Depuis les révélations sur le programme nucléaire secrètement mené par le régime iranien dans les années 2000, des soupçons persistent quant à l'intention de ce pays de développer des armes nucléaires. En outre, des preuves solides suggestent que l'Iran a également recherché des technologies de missiles balistiques capables de porter des armes nucléaires. Bien que le régime iranien n'ait jamais",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Compagnie du Levant,"Dans la première moitié du XXe siècle, la Compagnie du Levant était une importante entreprise maritime française basée à Marseille. Fondée en 1912, elle spécialisée dans le transport de marchandises et de passagers entre la Méditerranée et le Proche-Orient. Le navire le plus célèbre de cette compagnie était le SS Normandie, lancé en 1912 et qui détenait le record de vitesse à la mer jusqu'en 1937. La Compagnie du Levant a également exploité un service régulier vers l'Amérique du Sud jusqu",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Islam,"Islam, religions monothéiste née dans l'Arabie sauvage au VIIe siècle, est fondée par le Prophète Mahomet. Avec le Coran, sa révélation divine, et la Sunna, la pratique de Mahomet et de son entourage, l'Islam constitue une des grandes religions du monde. La profession de foi musulmane, la Shahada, affirme que Dieu est unique (Allah) et que Mahomet est son dernier et dernier messager. L'Islam promeut l'équité, la justice et la fraternité entre les humains. Il impose cinq principes de",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Serveur racine du DNS,"Un serveur racine du DNS (Domain Name System) est un serveur informatique qui prend en charge la résolution des noms de domaines en adresses IP. Il forme la base de l'arborescence hierarchique du DNS, chaque serveur racine étant responsable d'une partie spécifique de la chaîne de domaine. Par exemple, il existe des serveurs racines pour les domaines de premier niveau géographiques (.fr, .us, .uk, etc.) et des serveurs racines spéciaux tels que .root. Chaque requête de résolution de nom de domaine part de ces serveurs racines et",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Macro-définition,"Dans le domaine de l'économie et de la statistique, la macro-définition désigne l'analyse des agrégats économiques globaux tels que le Produit Intérieur Brut (PIB), le PIB par habitant, les prix, les revenus et le taux de chômage d'un pays ou d'une région. Ce type d'analyse est opposé à la microéconomie qui se penche sur les comportements individuels et les décisions des agents économiques. La macroéconomie utilise des outils statistiques pour mesurer les tendances et les fluctuations économiques globales, ce",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Tableau périodique des éléments,"Le tableau périodique des éléments, connu en anglais sous le nom de Periodic Table, est un outil essentiel pour la compréhension de la structure et de la classification des éléments chimiques. Découvert au XIXe siècle par Dmitri Mendeleïev et Henry Moseley, ce tableau organise les éléments en fonction de leur comportement périodique des propriétés physico-chimiques, telles que leur atmosphère électronique, leur rayon atomique et leur nombre de masse atomique. Les éléments sont classés en six classes principales : les alcalins, les alcalino",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Prestation compensatoire en droit français,"Dans le droit français, la prestation compensatoire est une modalité de réparation des dommages subis par une personne physique ou morale. C'est une obligation juridique pour le débiteur de restituer un montant d'argent ou d'autre forme de réparation équivalente, en raison d'un préjudice causé volontairement ou par negligence. La prestation compensatoire peut être exigée dans diverses situations, telles que les dommages corporels, matériels, financiers ou moraux. Le montant de la prestation est généralement déterminé en fonction de la",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Sains-en-Amiénois,"Sains-en-Amiénois est une petite ville et une commune française, située dans le département de la Somme en région Hauts-de-France. Avec une population de plus de 2 000 habitants, elle est le chef-lieu du canton homonyme. Sains-en-Amiénois est situé à équidistance de Péronne et Amiens, deux villes historiques de la région. La ville est famille pour son patrimoine architectural remarquable, notamment son église paroissiale Saint-Léger, édifiée au XIIe siècle, et son château, construit au XV",Ai,Wikipedia,French,Topic,open-mistral-7b,0
Capitaine Lahuche,"Capitaine Lahuche, un héros maritime français du XVIIe siècle, est connu pour son courage et son intrépide exploration de la mer d'Arabie. Né en Normandie en 1628, Lahuche s'engage dans la Marine royale française à une jeune âge. Son talent exceptionnel pour la navigation et sa connaissance profounde des mers orientales attirent rapidement l'attention du roi Louis XIV. En 1665, Capitaine Lahuche est envoyé à la tête d'une expédition pour explorer les côtes de l'Afrique orientale et établ",Ai,Wikipedia,French,Topic,open-mistral-7b,0
