title,text,write_by,domain,language,method,LLM_model,label
Bataille de Balaklava,"La crête sur laquelle serpente la route de Woronzov est fortifiée par cinq redoutes, espacées d’environ . Une sixième est disposée un peu à l’écart au sud-est, sur la colline de Canrobert, de sorte à prévenir le débordement du dispositif par l’est. Les travaux sont toutefois encore en cours au moment de la bataille et les deux redoutes les plus à l’ouest ne sont pas terminées.",Human,Wikipedia,French,,,1
Calendrier hébraïque,"L'idée est de faire le calcul valeur par valeur, puis de regrouper les quantités trop grandes dans les unités supérieures. Quand on a halaqim, on les remplace par une heure, quand on a 24 heures, on les remplace par 1 jour, et quand on a 7 jours, on les remplace par une semaine. C'est le système des retenues de nos additions et multiplications usuelles, mais la limite pour déclencher une retenue n'est pas 10.",Human,Wikipedia,French,,,1
Armes de destruction massive en Iran,"On pense que l'Iran possède une réserve de 25 à 100 missiles Shahab-3 qui ont une portée de , pouvant être dotés d'explosifs conventionnels puissants, de têtes chimiques, biologiques, à dispersion rayonnante, et potentiellement de têtes nucléaires. On pense qu'un Shahab-4 avec une portée de et une charge de est en cours d'élaboration. L'Iran a déclaré que le Shahab-3 est le dernier de ses missiles militaires et qu'il développe le Shahab-4 pour lancer des satellites de surveillance et de communication. On pense aussi qu'un , missile balistique intercontinental, est en cours d'élaboration.",Human,Wikipedia,French,,,1
Compagnie du Levant,"À la mort de Louis XIV, en 1715, de nombreuses manufactures se développèrent dans la région de Carcassonne. Or, les compagnies européennes fondées au ont dans l'ensemble négligé la Méditerranée, où sévissait la piraterie, mais la Compagnie du Levant a contribué au développement des ports de Sète, créé à la même époque, et de Marseille, plus ancien mais bénéficiant d'une zone franche sous Colbert alors qu'il était auparavant mal vu en raison de nombreuses révoltes de la population protestante.",Human,Wikipedia,French,,,1
Islam,"La """" () est la méthode prescrite par la loi islamique concernant l'abattage de tous les animaux à l'exception des animaux marins. Il doit être réalisé en invoquant le nom d'Allah, en disant : « Bismillah Allahi al-Rahman al-Rahim» (""Au nom de Dieu le très miséricordieux le tout miséricordieux""). Le sacrificateur doit appartenir à la catégorie des ""gens du Livre"". Mais les savants musulmans restent en désaccord sur la licéité de la viande cacher et la conception souple du halal a tendance à être marginalisée.",Human,Wikipedia,French,,,1
Serveur racine du DNS,"Contrairement à la croyance populaire, il n'y a plus de nos jours physiquement et uniquement treize serveurs racine du , mais plutôt treize « identités de serveur » dont les noms sont de la forme lettre"".root-servers.net où lettre"" est une lettre comprise entre A et M. Cependant, ces « identités » (ou ) ayant chacune une seule adresse assignée, sont communément référées comme étant les « serveurs racines ».",Human,Wikipedia,French,,,1
Macro-définition,"Parallèlement aux langages de programmation, l'utilisation de macros est au cœur de certains systèmes de composition de texte. TeX est ainsi constitué de primitives complétées par de nombreuses macros, et LaTeX est entièrement constitué d'un jeux de macros au-dessus de TeX, destiné à en simplifier l'utilisation. Le système de documentation groff, utilisé dans les environnements Linux repose en grande partie sur l'utilisation de macros. Les utilisés par mediawiki sont des macros.",Human,Wikipedia,French,,,1
Tableau périodique des éléments,"On ignore jusqu'à combien de protons et d'électrons un même atome peut contenir. La limite d'observabilité pratique est généralement estimée à au plus , dans la mesure où l'existence des atomes superlourds se heurte à la limite de stabilité des noyaux . Cela place la fin du tableau périodique peu après l'une des valeurs proposées pour le dernier îlot de stabilité, centré dans ce cas autour de .",Human,Wikipedia,French,,,1
Prestation compensatoire en droit français,"Juridiquement, elle ne doit pas être confondue avec la pension alimentaire, qui n'a pas le même rôle. Cependant, si elle est versée sous forme de rente, elle sera déductible des revenus de celui qui la verse, suivant le même régime qu'une pension alimentaire. Dans le cas d'une prestation compensatoire sous forme de capital mais dont les versements sont mensualisés, la déduction sur les revenus ne s'opère que s'il y a plus de .",Human,Wikipedia,French,,,1
Sains-en-Amiénois,"Début 1900, la Roseraie appartient à sa fille, Jeanne Vagniez-Renon, sœur de Marie-Louise Vagniez-Renon (1884-1944) qui épousera André Bouctot (1882-1972), rentier rouennais, le . André Bouctot construit une luxueuse résidence principale à Amiens, rue des Otages, avec l’architecte Duthoit : l’hôtel Bouctôt-Vagniez. Aujourd’hui, cet hôtel, qui abritait la chambre régionale de commerce et d’industrie d’Amiens, a été revendu à la Compagnie de Phalsbourg qui prévoit de les transformer en un hôtel de luxe.",Human,Wikipedia,French,,,1
