title,text,write_by,domain,language,method,LLM_model,label
Elbasan,"Elbasan is a city in central Albania, the capital of Elbasan County. It is the largest city in the country by population, with over 127,732 inhabitants. Elbasan lies in a valley surrounded by mountains, at the confluence of the Shkumbin and Seman rivers. The city has been inhabited since the early Iron Age and has been ruled by various empires and kingdoms throughout its history. Today, Elbasan is a major industrial and cultural center, with a diverse population and a thriving economy.",Ai,Wikipedia,English,Topic,gemini-pro,0
Manson Family,"The Manson Family was a cult led by Charles Manson, an American criminal and musician. The cult was active in California from the mid- to late-1960s and committed a series of gruesome murders in the summer of 1969. Manson's followers believed in a coming race war that they would incite by committing violent crimes. Manson was convicted of multiple murders and sentenced to death, but his sentence was later commuted to life in prison. He died in 2017 at the age of 83.",Ai,Wikipedia,English,Topic,gemini-pro,0
RYB color model,"The RYB color model (Red-Yellow-Blue) is a traditional color model used in art and design. It is based on the three primary colors: red, yellow, and blue. These colors are considered to be pure and cannot be created by mixing other colors. By mixing these primary colors, secondary colors are created: green (yellow and blue), orange (red and yellow), and violet (red and blue). Tertiary colors are created by mixing a primary and a secondary color, resulting in six additional colors. The RYB color model is often used in painting, drawing, and other artistic endeavors because it is simple and easy to understand.",Ai,Wikipedia,English,Topic,gemini-pro,0
Comcast,Error in processing response,Ai,Wikipedia,English,Topic,gemini-pro,0
Field (mathematics),"Field In mathematics, a field is a set on which two operations, addition and multiplication, are defined and combined in such a way that the operations behave as expected from real numbers. This means that the operations are associative, commutative, and distributive, and that there exist additive and multiplicative identities and inverses for all elements in the set, except for the additive identity. Fields are widely used in mathematics, including abstract algebra, number theory, algebraic geometry, and mathematical analysis. Examples of fields include the rational numbers, real numbers, and complex numbers.",Ai,Wikipedia,English,Topic,gemini-pro,0
History of Laos,"Laos's recorded history begins in the 14th century with the founding of the Lao kingdom of Lan Xang. Lan Xang was ruled by a series of powerful kings who expanded the kingdom's territory and influence. In the 16th century, Lan Xang was divided into three smaller kingdoms: Luang Prabang, Vientiane, and Champasak. These kingdoms were frequently at war with each other and with their neighbors. In the 19th century, Laos became a French protectorate. Laos gained independence in 1953, but the country has been plagued by civil war and political instability since then.",Ai,Wikipedia,English,Topic,gemini-pro,0
Semi-detached,"Semi-detached is a type of building that is attached to another building on one side, usually by a shared wall. Semi-detached houses are common in many countries, and they often have two or more stories. The main advantage of a semi-detached house is that it is more affordable than a detached house, while still providing the benefits of homeownership. Semi-detached houses are also often built in pairs, which can create a sense of community.",Ai,Wikipedia,English,Topic,gemini-pro,0
Victorian Legislative Council,"The Victorian Legislative Council was the upper house of the Parliament of Victoria, Australia, from 1856 to 1951. It was created by the Victorian Constitution of 1855 and modelled on the House of Lords in the United Kingdom. The Council was composed of 40 members, who were originally elected for 10-year terms. In 1913, the term was reduced to six years. The Council was abolished in 1951 after a referendum.",Ai,Wikipedia,English,Topic,gemini-pro,0
Fresco,Error in processing response,Ai,Wikipedia,English,Topic,gemini-pro,0
Hematopoietic stem cell transplantation,"Hematopoietic stem cell transplantation (HSCT), also known as bone marrow transplantation, is a medical procedure that replaces damaged or diseased bone marrow with healthy stem cells. These stem cells can come from the patient's own body (autologous transplant) or from a donor (allogeneic transplant). HSCT is used to treat a variety of diseases, including leukemia, lymphoma, sickle cell disease, and severe aplastic anemia. The procedure involves collecting stem cells from the donor or the patient's own body, then infusing them into the recipient's bloodstream. The stem cells travel to the bone marrow and begin to produce new, healthy blood cells.",Ai,Wikipedia,English,Topic,gemini-pro,0
