title,text,write_by,domain,language,method,LLM_model,label
"Montgomery County, Pennsylvania","The median income for a household in the county was $60,829, and for a family was $72,183 (these figures had risen to $73,701 and $89,219, respectively, as of a 2007 estimate). Males had a median income of $48,698 versus $35,089 for females. The per capita income for the county was $30,898. About 2.80% of families and 4.40% of the population were below the poverty line, including 4.60% of those under age 18 and 5.10% of those age 65 or over.",Human,Wikipedia,English,,,1
Economy of Cambodia,"Cambodia's emerging democracy has received strong international support. Under the mandate of the United Nations Transitional Authority in Cambodia (UNTAC), $1.72 billion (1.72 G$) was spent in an effort to bring basic security, stability and democratic rule to the country. Various news and media reports suggest that since 1993 the country has been the recipient of some US$10 billion in foreign aid.",Human,Wikipedia,English,,,1
Antiques Roadshow,"PBS also airs the original BBC programme, though it is called ""Antiques Roadshow UK"" to differentiate it from the PBS version. Values of items in United States dollars are often superimposed over the [[pound sterling]] values given in the original broadcast.Fiona Bruce together with individual ""Antiques Roadshow"" appraisers investigate the history of significant items, uncovering the stories that form the history of family heirlooms and finding out about their origin and authenticity.",Human,Wikipedia,English,,,1
Superman Returns,"Peta Wilson appears as NASA spokeswoman Bobbie-Faye. Jack Larson, who portrayed Jimmy Olsen in the 1950s television series ""Adventures of Superman"", makes a cameo appearance as a bartender. Noel Neill—who portrayed Lois Lane in the television series and the film serials ""Superman"" (1948) and ""Atom Man vs. Superman"" (1950)—appears as Luthor's elderly wife Gertrude Vanderworth. Richard Branson cameos as the engineer aboard the space shuttle. Another of Luthor's henchmen (Riley) is played by former Australian Rugby League player Ian Roberts.",Human,Wikipedia,English,,,1
PlayStation Portable,"The PSP uses one 333 MHz MIPS32 R4000-based CPU, a GPU with 2 MB onboard VRAM running at 166 MHz, and includes 32 MB main RAM and 4 MB embedded DRAM in total. The hardware was originally forced to run more slowly than it was capable of and most games ran at 222 MHz. However, with firmware update 3.50 on May 31, 2007, Sony removed this limit and allowed new games to run at a full 333 MHz.",Human,Wikipedia,English,,,1
Prudential plc,"In October 2004, Prudential launched a new subsidiary, PruHealth, a joint venture with Discovery Holdings of South Africa selling private medical insurance to the UK market. In April 2008, Prudential outsourced its back office functions to Capita: about 3,000 jobs were transferred (1,000 in Stirling, 750 in Reading and 1,250 in Mumbai). This significant outsourcing deal, worth an estimated £722m over a 15-year contract, built on Prudential's existing relationship with Capita who took over its Belfast operation in 2006 along with approximately 450 employees in a smaller operational restructure.",Human,Wikipedia,English,,,1
Milton Caniff,"Caniff was one of the founders of the National Cartoonists Society and served two terms as its President, 1948 and 1949. He also received the Society's first Cartoonist of the Year Award in 1947 for work published during 1946, which included both ""Steve Canyon"" and ""Terry and the Pirates"" as well. Caniff would be named Cartoonist of the Year again, receiving the accompanying trophy, the Reuben, in 1972 for 1971, again for ""Steve Canyon"".",Human,Wikipedia,English,,,1
Pacific Solution,"By redefining the area of Australian territory that could be landed upon and then legitimately used for claims of asylum (the migration zone), and by removing any intercepted people to third countries for processing, the aim was to deter future asylum seekers from making the dangerous journey by boat, once they knew that their trip would probably not end with a legitimate claim for asylum in Australia.",Human,Wikipedia,English,,,1
Second Triumvirate,"Despite the agreement, conflicts continued. Octavian accused Sextus of continuing to raid Italian towns. In the following year Octavian attempted to take Sicily by force. He was defeated twice in naval battles off Messina. He then arranged a meeting with Antony, who was planning to attack Parthia and needed troops. Antony agreed to deliver ships for the attack on Sextus in exchange for troops to fight the Parthians. Octavian also secured the support of Lepidus, planning a simultaneous joint attack on Sicily.",Human,Wikipedia,English,,,1
Wiltshire Wildlife Trust,"For its 30th anniversary, in 1992, the trust formally changed its name to Wiltshire Wildlife Trust. In 1994, the trust employed its first otter habitat project officer; at that time, there were no known otters in the county. In 2012, Wiltshire Wildlife Trust featured three reserves in the ""Royal Society of Wildlife Trusts's Guide to Otters"", a testament to the success of the project.",Human,Wikipedia,English,,,1
