title,text,write_by,domain,language,method,LLM_model,label
Elbasan,"Other orthodox churches in the Elbasan District include the Mameli church (built in the 17th century), the Saint Nicholas church () in Shelcan (built in 1554), the Saint Nicholas church in Valesh (built in 1604), the Saints Cosmas and Damian church in Sterstan (built in the 18th century), the Saint Michael () church in Shalës (built in the 17th century), the Saint Mary church in Dragot (built in the 18th century), the Saint Nicholas church of Elbasan (17th century), and the Elbasan Saint Athanasius church of Elbasan (built in 1554).",Human,Wikipedia,English,,,1
Manson Family,"Midway through the penalty phase, Manson shaved his head and trimmed his beard to a fork; he told the press, ""I am the Devil, and the Devil always has a bald head."" In what the prosecution regarded as belated recognition on their part that imitation of Manson only proved his domination, the female defendants refrained from shaving their heads until the jurors retired to weigh the state's request for the death penalty.",Human,Wikipedia,English,,,1
RYB color model,"Painters have long used more than three RYB primary colors in their palettes, and at one point considered red, yellow, blue and green to be the ""four"" primaries. Red, yellow, blue and green are still widely considered the four psychological primary colors, though red, yellow and blue are sometimes listed as the ""three"" psychological primaries, with black and white occasionally added as a fourth and fifth.",Human,Wikipedia,English,,,1
Comcast,"In August 2006, Comcast and Time Warner dissolved a 50/50 partnership that controlled the systems in the Houston, Southwest Texas, San Antonio, and Kansas City markets under the Time Warner brand. After the dissolution, Comcast obtained the Houston system, and Time Warner retained the others. On January 1, 2007, Comcast officially took control of the Houston system, but continued to operate under the Time Warner Cable brand until June 19, 2007.",Human,Wikipedia,English,,,1
Field (mathematics),"A pivotal notion in the study of field extensions are algebraic elements. An element is ""algebraic"" over if it is a root of a polynomial with coefficients in , that is, if it satisfies a polynomial equation with in , and .  For example, the imaginary unit in is algebraic over , and even over , since it satisfies the equation A field extension in which every element of is algebraic over is called an algebraic extension. Any finite extension is necessarily algebraic, as can be deduced from the above multiplicativity formula.",Human,Wikipedia,English,,,1
History of Laos,"By the 1860s the first French explorers were pushing north charting the path of the Mekong River, with hope of a navigable waterway to southern China. Among the early French explorers was an expedition led by Francis Garnier, who was killed during an expedition by Haw rebels in Tonkin. The French would increasingly conduct military campaigns against the Haw in both Laos and Vietnam (Tonkin) until the 1880s.",Human,Wikipedia,English,,,1
Semi-detached,"In Birmingham, Wolverhampton and the Potteries there was a tradition dating from the 1790s of artisans saving through mutuals and Friendly Societies. In the 1840s, the permanent building society model was adopted. The Woolwich Equitable was founded in 1847, the Leeds Permanent in 1848 and Bradford Equitable in 1851. Artisans could invest and then borrow a sum for a mortgage on their own property.",Human,Wikipedia,English,,,1
Victorian Legislative Council,"The new Constitution came into effect in 1856. It created a bicameral Parliament of Victoria, with the Legislative Assembly being the lower house and the Council being the upper house. The Council consisted of 30 members, with 5 members being elected from each of the 6 provinces. The Parliament of Victoria first met on 21 November 1856 at the almost completed main sections of Parliament House. James Frederick Palmer was elected first President of the Council.",Human,Wikipedia,English,,,1
Fresco,"In a wall-sized fresco, there may be ten to twenty or even more ""giornate"", or separate areas of plaster. After five centuries, the ""giornate"", which were originally nearly invisible, have sometimes become visible, and in many large-scale frescoes, these divisions may be seen from the ground. Additionally, the border between giornate was often covered by an ""a secco"" painting, which has since fallen off.",Human,Wikipedia,English,,,1
Hematopoietic stem cell transplantation,"Severe liver injury can result from hepatic veno-occlusive disease (VOD). Elevated levels of bilirubin, hepatomegaly and fluid retention are clinical hallmarks of this condition. There is now a greater appreciation of the generalized cellular injury and obstruction in hepatic vein sinuses, and hepatic VOD has lately been referred to as sinusoidal obstruction syndrome (SOS). Severe cases of SOS are associated with a high mortality rate. Anticoagulants or defibrotide may be effective in reducing the severity of VOD but may also increase bleeding complications. Ursodiol has been shown to help prevent VOD, presumably by facilitating the flow of bile.",Human,Wikipedia,English,,,1
