title,text,write_by,language,domain,method,LLM_model,label
Des centaines d'éléphants retrouvés morts au Botswana,"Des centaines d'éléphants retrouvés morts au Botswana Des centaines d'éléphants ont été retrouvés morts au Botswana, dans le delta de l'Okavango, une zone humide classée au patrimoine mondial de l'UNESCO. Les autorités enquêtent sur la cause des décès, mais le braconnage est suspecté. Les carcasses ont été découvertes par des pilotes survolant la région. Des images aériennes montrent des dizaines d'éléphants morts, certains gisant près de points d'eau, d'autres dans la savane. Le Botswana abrite la plus grande population d'éléphants d'Afrique, estimée à environ 130 000 individus. Le delta de l'Okavango est un habitat important pour les éléphants, qui y trouvent de l'eau et de la nourriture en abondance. Les défenseurs de l'environnement sont alarmés par le nombre élevé de décès. Ils craignent que le braconnage soit la cause, car les défenses des éléphants sont très prisées pour leur ivoire, utilisé dans la fabrication de bijoux et d'autres objets. Les autorités du Botswana ont dépêché une équipe sur les lieux pour enquêter sur les décès. Des échantillons ont été prélevés sur les carcasses pour déterminer la cause de la mort. Le gouvernement a également déployé des gardes supplémentaires dans la région pour empêcher tout nouveau braconnage. Le président du Botswana, Mokgweetsi Masisi, a condamné les morts et a promis de retrouver les responsables. Les organisations de défense des animaux pressent le gouvernement de prendre des mesures plus strictes pour lutter contre le braconnage. Elles demandent une augmentation des patrouilles, de meilleures lois et des peines plus sévères pour les braconniers. La mort de centaines d'éléphants au Botswana a suscité une vive émotion dans le monde. Les éléphants sont des espèces emblématiques et leur disparition aurait un impact dévastateur sur l'écosystème du delta de l'Okavango.",Ai,French,BBC,Topic,gemini-pro,0
Présidence de la FIF : le soutien des clubs ivoiriens à Didier Drogba,"Présidence de la FIF : le soutien des clubs ivoiriens à Didier Drogba Alors que Didier Drogba a officiellement annoncé sa candidature à la présidence de la Fédération ivoirienne de football (FIF), de nombreux clubs ivoiriens lui ont apporté leur soutien. Des soutiens de poids Parmi les clubs qui ont publiquement affiché leur soutien à l'ancien capitaine des Éléphants, figurent notamment l'ASEC Mimosas, le FC San Pedro, le Racing Club d'Abidjan et le Stade d'Abidjan. Un programme ambitieux Les clubs ivoiriens saluent le programme ambitieux proposé par Didier Drogba, qui vise à moderniser le football ivoirien et à le redorer à l'échelle internationale. Selon le président de l'ASEC Mimosas, Roger Ouégnin, ""Didier Drogba a une vision claire pour le football ivoirien. Il a les compétences et l'expérience nécessaires pour mener à bien sa mission."" Une candidature portée par d'anciens internationaux Outre les clubs, plusieurs anciens internationaux ivoiriens, dont Salomon Kalou, Yaya Touré et Kolo Touré, ont également apporté leur soutien à la candidature de Didier Drogba. Pour Yaya Touré, ""Didier Drogba est le meilleur candidat pour la présidence de la FIF. Il connaît parfaitement le football ivoirien et a un réseau international qui peut nous être très utile."" Des enjeux importants L'élection à la présidence de la FIF aura lieu le 22 août prochain. Elle revêt une importance cruciale pour le football ivoirien, qui peine depuis plusieurs années à retrouver son lustre d'antan. Didier Drogba fait figure de favori dans cette élection, face au président sortant, Sidy Diallo. Les clubs ivoiriens espèrent que sa candidature permettra de relancer le football ivoirien et d'en faire à nouveau une force majeure sur la scène internationale. Un soutien qui pourrait faire la différence Le soutien apporté par les clubs ivoiriens à Didier Drogba pourrait faire la différence dans l'élection à la présidence de la FIF. Ces clubs représentent une force considérable dans le paysage footballistique ivoirien et leur soutien pourrait peser lourd dans la balance. Si Didier Drogba est élu président de la FIF, il aura pour mission de réformer le football ivoirien, de relancer les compétitions nationales et de hisser la sélection nationale au sommet de l'échiquier africain et mondial. Ses soutiens parmi les clubs ivoiriens pourraient être un atout précieux dans cette tâche ambitieuse.",Ai,French,BBC,Topic,gemini-pro,0
De la cocaïne retrouvée dans des ananas,"De la cocaïne retrouvée dans des ananas La semaine dernière, les douanes françaises ont saisi une importante quantité de cocaïne dissimulée dans une cargaison d'ananas en provenance d'Amérique du Sud. La saisie a eu lieu au port du Havre, dans le nord-ouest de la France. Selon les autorités douanières, les 500 kilogrammes de cocaïne étaient cachés dans des cavités creusées dans les fruits. Les ananas ont été inspectés à l'aide de scanners à rayons X, qui ont révélé des anomalies dans leur structure interne. Les enquêteurs soupçonnent que la drogue était destinée au marché européen. La cocaïne est une drogue stimulante très addictive qui peut avoir des effets dévastateurs sur la santé. Elle est souvent associée à la violence et à la criminalité. La saisie de cette importante quantité de cocaïne est un coup dur pour les trafiquants de drogue. Elle montre également l'importance du travail des douanes françaises dans la lutte contre le trafic de drogue. Les autorités douanières ont salué le travail de leurs agents et ont souligné leur détermination à continuer à lutter contre le trafic de drogue. Cette saisie intervient alors que l'Europe est confrontée à un problème croissant de trafic de cocaïne. Selon l'Observatoire européen des drogues et des toxicomanies, la cocaïne est la drogue stimulante la plus consommée en Europe. L'augmentation de la demande de cocaïne en Europe a entraîné une augmentation de la production et du trafic de cette drogue en Amérique du Sud. Les cartels de la drogue sud-américains sont responsables de la majeure partie de la production et du trafic de cocaïne dans le monde. La saisie de cette importante quantité de cocaïne en France est un rappel de l'omniprésence du trafic de drogue et de la nécessité de continuer à lutter contre ce fléau.",Ai,French,BBC,Topic,gemini-pro,0
"La légende Pelé ""gêné"" de quitter sa maison pour des raisons de santé","La légende du football Pelé a admis être ""gêné"" de quitter sa maison en raison de ses problèmes de santé. L'icône brésilienne, âgée de 81 ans, souffre depuis plusieurs années de problèmes de hanche et de colonne vertébrale. Il a déclaré au journal Folha de S.Paulo qu'il avait ""du mal à marcher"" et qu'il se sentait ""embarrassé"" lorsqu'il devait sortir en public. ""Je ne peux pas marcher normalement"", a déclaré Pelé. ""Je dois utiliser un déambulateur ou une chaise roulante. Cela m'embarrasse beaucoup. Je ne sors plus de chez moi que lorsque c'est absolument nécessaire."" Les problèmes de santé de Pelé ont commencé en 2012, lorsqu'il a subi une opération de la hanche. Il a depuis subi plusieurs autres opérations, mais la douleur persiste. En 2021, il a été admis à l'hôpital pour une tumeur du côlon, qui a depuis été retirée. Malgré ses problèmes de santé, Pelé reste optimiste. Il a déclaré qu'il espérait pouvoir marcher à nouveau sans aide et qu'il était déterminé à ""continuer à se battre"". ""Je ne vais pas abandonner"", a déclaré Pelé. ""Je vais continuer à me battre. Je veux retrouver ma santé et pouvoir à nouveau marcher sans aide."" Les fans de Pelé du monde entier lui ont souhaité un prompt rétablissement. Beaucoup lui ont envoyé des messages de soutien sur les réseaux sociaux, lui disant qu'ils pensaient à lui et qu'ils priaient pour lui. Pelé est largement considéré comme le plus grand footballeur de tous les temps. Il a remporté trois Coupes du monde avec le Brésil et a marqué plus de 1 000 buts au cours de sa carrière. Il est une icône mondiale et son histoire continue d'inspirer les gens partout dans le monde.",Ai,French,BBC,Topic,gemini-pro,0
Lancement du prix Komla Dumor,"Lancement du prix Komla Dumor La BBC lance aujourd'hui le prix Komla Dumor, un prix annuel destiné à récompenser de jeunes journalistes africains prometteurs. Le prix porte le nom du regretté Komla Dumor, présentateur star de la BBC World News, décédé tragiquement en 2014. Le prix sera décerné à un journaliste de moins de 35 ans travaillant pour une organisation de presse africaine. Le lauréat recevra un prix en espèces de 3 000 £ et la possibilité de suivre un stage de deux semaines au siège de la BBC à Londres. Le jury sera composé de journalistes et d'éditeurs de premier plan de toute l'Afrique. Les candidatures seront évaluées en fonction du talent journalistique, de l'impact et du potentiel de leadership. Le directeur général de la BBC, Tony Hall, a déclaré : ""Komla Dumor était un journaliste exceptionnel et un modèle pour les jeunes journalistes africains. Nous sommes fiers de lancer ce prix en son nom et d'aider à perpétuer son héritage."" Le prix Komla Dumor s'inscrit dans le cadre de l'engagement de la BBC à soutenir le journalisme en Afrique. La BBC investit dans la formation, le mentorat et le développement de journalistes africains depuis de nombreuses années. Les candidatures au prix Komla Dumor sont ouvertes jusqu'au 31 mars 2023. Pour plus d'informations et pour soumettre une candidature, veuillez consulter le site Web de la BBC. Biographie de Komla Dumor Komla Dumor est né à Accra, au Ghana, en 1972. Il a débuté sa carrière de journaliste à la Ghana Broadcasting Corporation (GBC). En 2006, il a rejoint la BBC, où il a travaillé comme correspondant en Afrique du Sud, au Nigeria et au Kenya. En 2012, il devient présentateur de BBC World News. Komla Dumor était un journaliste très respecté, connu pour son intégrité, son professionnalisme et sa passion pour l'Afrique. Il est décédé subitement d'une crise cardiaque en 2014, à l'âge de 41 ans. Critères d'éligibilité Être âgé de moins de 35 ans au 31 mars 2023. Être citoyen d'un pays africain. Travailler pour une organisation de presse africaine. Avoir une expérience éprouvée du journalisme. Faire preuve d'un talent journalistique exceptionnel. Avoir un impact significatif sur le paysage médiatique africain. Avoir un potentiel de leadership.",Ai,French,BBC,Topic,gemini-pro,0
Une 'esclave' libérée candidate aux législatives en Mauritanie,"En Mauritanie, pays qui compte toujours des milliers d'esclaves, une ancienne esclave se présente aux élections législatives, devenant un symbole de l'espoir de changement. Mariam Mint Cheikh, âgée de 43 ans, a été réduite en esclavage dès son plus jeune âge. Elle a été vendue à plusieurs reprises et a connu des années de maltraitance. Mais elle a finalement réussi à s'échapper et a rejoint une association militant contre l'esclavage. Aujourd'hui, Mariam est une militante connue et respectée. Elle a décidé de se présenter aux élections législatives pour donner une voix aux victimes de l'esclavage et lutter contre ce fléau. ""Je me présente pour représenter les sans-voix, ceux qui n'ont jamais eu l'occasion de s'exprimer"", a-t-elle déclaré. ""Je veux montrer que même les anciens esclaves peuvent faire une différence."" La candidature de Mariam est un événement historique en Mauritanie. C'est la première fois qu'une ancienne esclave se présente aux élections législatives. Sa candidature a suscité beaucoup d'espoir parmi les victimes de l'esclavage et les militants des droits de l'homme. ""C'est un signe que la Mauritanie change"", a déclaré Boubacar Messaoud, président de SOS Esclaves, une organisation mauritanienne de défense des droits de l'homme. ""C'est un signe que les victimes de l'esclavage ne se laisseront plus faire."" Mais la candidature de Mariam n'est pas sans risque. Elle fait face à l'opposition de certains groupes conservateurs qui s'opposent à ce qu'une ancienne esclave puisse occuper un poste électif. Elle a également reçu des menaces de mort. Malgré les risques, Mariam est déterminée à poursuivre sa campagne. Elle croit que sa candidature peut contribuer à faire avancer la cause de l'abolition de l'esclavage en Mauritanie. ""Je ne peux pas rester silencieuse face à l'injustice"", a-t-elle déclaré. ""Je dois faire entendre ma voix, même si cela me coûte la vie."" La candidature de Mariam Mint Cheikh est un symbole d'espoir pour les victimes de l'esclavage en Mauritanie. C'est un rappel que même dans les pays les plus conservateurs, le changement est possible.",Ai,French,BBC,Topic,gemini-pro,0
Condé avocat de l'Afrique à l'Assemblée générale de l'Onu,"Condé, avocat de l'Afrique à l'Assemblée générale de l'Onu À la tribune de l'Assemblée générale des Nations Unies, le président de la République du Congo, Denis Sassou Nguesso, a défendu avec vigueur les intérêts de l'Afrique. Dans son discours, il a dénoncé les injustices et les inégalités qui entravent le développement du continent. ""L'Afrique est un continent riche de potentialités, mais elle est confrontée à de nombreux défis"", a déclaré M. Sassou Nguesso. ""Nous devons lutter contre la pauvreté, les conflits, les maladies et le changement climatique."" Le président congolais a appelé la communauté internationale à soutenir l'Afrique dans ses efforts de développement. Il a demandé une augmentation de l'aide au développement, un allégement de la dette et un accès plus équitable au commerce. ""L'Afrique ne demande pas la charité"", a-t-il souligné. ""Nous demandons simplement une chance équitable de réaliser notre potentiel."" M. Sassou Nguesso a également dénoncé les ingérences extérieures dans les affaires africaines. Il a appelé à la souveraineté des États africains et au respect de leurs décisions. ""L'Afrique est un continent adulte"", a-t-il déclaré. ""Nous sommes capables de gérer nos propres affaires."" Le discours du président congolais a été salué par les délégués africains. Ils ont salué son courage et sa détermination à défendre les intérêts du continent. Le discours de M. Sassou Nguesso a également été bien accueilli par les autres délégués. Ils ont reconnu la nécessité d'aider l'Afrique à surmonter ses défis et à réaliser son potentiel. À l'issue de l'Assemblée générale, les délégués ont adopté un certain nombre de résolutions qui répondent aux demandes de l'Afrique. Ces résolutions prévoient une augmentation de l'aide au développement, un allégement de la dette et un accès plus équitable au commerce. Ces résolutions constituent une victoire pour l'Afrique et pour le président Sassou Nguesso. Elles montrent que la communauté internationale est prête à soutenir le continent dans ses efforts de développement.",Ai,French,BBC,Topic,gemini-pro,0
Robert Fuller : la mort par pendaison d'un afro américain est considérée comme un suicide,"Robert Fuller, un homme afro-américain âgé de 24 ans, a été retrouvé pendu à un arbre dans le désert californien, déclenchant une enquête sur un possible lynchage. Cependant, les autorités ont conclu que sa mort était un suicide, soulevant des questions sur les circonstances entourant sa mort et le traitement des Américains noirs par les forces de l'ordre. Le corps de Fuller a été retrouvé le 10 juin dans un parc de la ville de Palmdale, au nord-est de Los Angeles. Les résultats préliminaires de l'autopsie ont révélé qu'il était mort par pendaison, mais sa famille et les membres de la communauté ont exprimé des doutes sur cette conclusion, affirmant qu'il ne se serait jamais suicidé. L'enquête du shérif du comté de Los Angeles a déterminé que la mort de Fuller était un suicide, citant l'absence de signes de jeu déloyal ou de traumatisme. Cependant, cette conclusion a suscité des critiques, beaucoup remettant en question le manque de preuves pour étayer l'affirmation du suicide et soulignant le passé raciste de Palmdale. La ville a une longue histoire de violence raciale, notamment le lynchage de trois hommes noirs en 1923. Les résidents ont également fait état d'incidents récents de profilage racial et de brutalité policière. La mort de Fuller a ravivé les tensions raciales dans la région et soulevé des questions sur le traitement des Américains noirs par les forces de l'ordre. Les manifestants ont appelé à une enquête plus approfondie et à une transparence accrue dans l'enquête. Les autorités ont promis de poursuivre leur enquête et ont exhorté le public à fournir toute information pertinente. Cependant, la famille de Fuller et les défenseurs des droits civiques restent sceptiques quant à la conclusion de suicide, demandant une enquête indépendante et une responsabilisation pour toute injustice potentielle. La mort de Robert Fuller a mis en évidence la question sensible du racisme aux États-Unis et a appelé à un examen plus approfondi du traitement réservé aux Américains noirs par le système de justice pénale. Les conclusions de l'enquête et les mesures prises à la suite de sa mort seront suivies de près par les défenseurs des droits civiques et la communauté noire dans son ensemble.",Ai,French,BBC,Topic,gemini-pro,0
Un Britannique mort pour Al-Shabab,"Un citoyen britannique a été tué alors qu'il combattait aux côtés d'Al-Shabab, un groupe terroriste islamiste basé en Somalie. L'homme, identifié comme Abdulkadir Mumin, 26 ans, avait voyagé du Royaume-Uni vers la Somalie en 2016. Il aurait rejoint Al-Shabab peu après son arrivée. Le 1er février 2023, Mumin a été tué lors d'une opération menée par les forces somaliennes contre Al-Shabab dans la région du Bas-Shebelle. Le ministère britannique des Affaires étrangères a confirmé la mort de Mumin, déclarant qu'il était ""profondément attristé"" par la nouvelle. La famille de Mumin a déclaré qu'il était un ""jeune homme gentil et aimant"" qui s'était égaré. Ils ont également exprimé leur inquiétude quant à l'influence des groupes terroristes sur les jeunes britanniques. La mort de Mumin est la dernière d'une série d'incidents impliquant des citoyens britanniques se battant aux côtés d'Al-Shabab. En 2020, deux hommes britanniques ont été condamnés à la prison à vie pour leur participation à une attaque terroriste meurtrière perpétrée par Al-Shabab au Kenya. Al-Shabab est considéré comme l'une des organisations terroristes les plus dangereuses au monde. Le groupe a mené de nombreuses attaques en Somalie et dans les pays voisins, tuant des milliers de personnes. Les autorités britanniques ont averti que la menace posée par Al-Shabab aux intérêts britanniques reste élevée. Le gouvernement britannique a pris des mesures pour prévenir la radicalisation et le recrutement de citoyens britanniques par des groupes terroristes, notamment en travaillant avec les communautés musulmanes et en fournissant un soutien aux personnes vulnérables. La mort de Mumin est un rappel du danger posé par les groupes terroristes et de la nécessité de continuer à lutter contre leur influence.",Ai,French,BBC,Topic,gemini-pro,0
"Putsch manqué de 2015 au Burkina: 20 ans de prison pour Diendéré, 10 ans pour Bassolé","Putsch manqué de 2015 au Burkina : 20 ans de prison pour Diendéré, 10 ans pour Bassolé Le tribunal militaire de Ouagadougou a condamné lundi l'ancien général Gilbert Diendéré à 20 ans de prison pour son rôle dans le putsch manqué de septembre 2015. L'ancien chef d'état-major particulier de l'ex-président Blaise Compaoré a été reconnu coupable d'attentat à la sûreté de l'État, de meurtres et de coups et blessures volontaires. L'ancien ministre des Affaires étrangères sous Compaoré, Djibrill Bassolé, a quant à lui été condamné à 10 ans de prison pour complicité d'attentat à la sûreté de l'État. Le 16 septembre 2015, des éléments du Régiment de sécurité présidentielle (RSP), l'ancienne garde prétorienne de Compaoré, avaient tenté de renverser le gouvernement de transition mis en place après la chute de ce dernier. Le putsch avait été mené par le général Diendéré, qui avait pris le pouvoir et instauré un Conseil national pour la démocratie (CND). Le coup d'État avait été condamné par la communauté internationale et avait provoqué une vague de protestations populaires. L'armée loyaliste avait finalement repris le contrôle du pays le 23 septembre 2015, avec le soutien de la France. Le procès du putsch manqué a débuté en février 2018 et a duré plus de deux ans. Au total, 84 personnes étaient accusées dans cette affaire, dont l'ancien président Compaoré, qui a été condamné par contumace à la prison à vie. La condamnation de Diendéré et de Bassolé constitue une étape importante dans la lutte contre l'impunité au Burkina Faso. Elle envoie un message fort à ceux qui seraient tentés de recourir à la violence pour accéder au pouvoir. Le pays a connu une période d'instabilité depuis la chute de Compaoré en 2014. Mais la condamnation des responsables du putsch manqué de 2015 pourrait contribuer à restaurer l'ordre et la stabilité.",Ai,French,BBC,Topic,gemini-pro,0
