title,text,write_by,language,domain,method,LLM_model,label
Il devient avocat pour venger son père d'une expropriation foncière,"Jordan Kinyera avait six ans lorsqu'un procès a été intenté à son père pour le déposséder de ses terres. Jordan Kinyera n'avait que six ans lorsque sa famille s'est vu retirer ses terres. Après 18 ans passés entre l'école et l'université, où il a fait ses études de droit, M. Kinyera devient avocat. Il prend en main l'affaire qui était pendante devant la justice pendant deux décennies et intente un procès à ceux-là qui avaient dépossédé son père des terres de la famille. Lundi, la Haute Cour de l'Ouganda a rendu un jugement définitif en faveur des Kinyera. Lire aussi : Le jeune avocat a déclaré à la BBC que la perte des terres avait changé sa vie. ""C'est plus tard que j'ai eu l'ambition de devenir avocat, mais surtout en raison des événements dont j'ai été témoin, des frustrations vécues par ma famille pendant le procès et de la façon dont cela nous a affectés"", a-t-il expliqué. Son père a été poursuivi en justice par des voisins en 1996. Lire aussi : ""Mon père était à la retraite. Il n'avait pas beaucoup de ressources. Il ne gagnait rien à l'époque. Il était désespéré. Il y a quelque chose qui vous prive de votre humanité devant une situation comme celle-là, quand vous n'êtes pas capable de faire quelque chose. C'est ce qui m'a le plus motivé"", raconte Jordan Kinyera. ""Je suis heureux pour mon père, qui n'a pas planté une seule graine, ni posé une seule brique pendant 23 ans"", se souvient-il, ajoutant que l'exploitation des terres récupérées reviendra aux plus jeunes de la famille, son père étant maintenant âgé de 82 ans. Les litiges fonciers sont tellement fréquents en Ouganda qu'une unité a été spécialement mise en place au sein de la Haute Cour pour les trancher.",Human,French,BBC,,,1
Malawi : l'armée britannique en renfort contre le braconnage,"Des Rangers malawites écoutent les formateurs britanniques en renfort dans la lutte contre le braconnage Le prince Harry y assistait au déménagement de 300 éléphants vers la réserve de Nkhotakota, moins visée par les contrebandiers. La faune du parc situé dans le centre du pays est décimée par les braconniers qui s'en prennent aux éléphants et aux rhinocéros. Opération de pistage des braconniers Les soldats britanniques ""enseignent leurs techniques militaires aux rangers pour qu'ils l'adaptent à la protection de la faune"", explique Bright Kumchedwa, le directeur des parcs et de la faune du Malawi. Selon lui, ""leurs conseils sont très utiles à l'entraînement de nos hommes"". Le colonel Michael Geldard (en béret vert) suit les opérations A la tête de la petite équipe d'instructeurs venue de Londres, le colonel Michael Geldard résume la lutte anti-contrebande à un ""dangereux jeu du chat et de la souris"". ""Nous sommes ici pour apprendre aux rangers à se protéger des animaux sauvages, pas forcément à tirer sur les contrebandiers"", tient à préciser l'officier, attaché militaire britannique pour plusieurs pays de la région. De lourdes peines de prison Il a tenu à préciser qu'ils entrainent les rangers ""à pister les braconniers"". ""En 2015, ce parc était la proie des trafiquants (...). Heureusement, la situation est aujourd'hui sous contrôle"", assure M. Kumchedwa. Il se réjouit de la baisse de la mortalité des rhinocéros dont un seul cas a été déploré dans le parc au cours des deux dernières années. Lire aussi: Au moins, 130 contrebandiers ont été arrêtés pendant la même période, condamnés pour la plupart à des peines d'au moins six ans de prison. Le gouvernement du Malawi a encore renforcé son arsenal l'an dernier en inscrivant dans la loi des peines maximales de trente ans de réclusion pour les trafiquants.",Human,French,BBC,,,1
"Nachinachi Zoulikha-Chafika; ""la fille secrète de Bouteflika"", jugée pour corruption et blanchiment d'argent","La femme d'affaires Nachinachi Zoulikha-Chafika, qui se fait appeler Mme Maya, est accusée d'avoir bâti sa fortune grâce à des affaires publiques lucratives, en partie en utilisant sa relation de longue date supposée avec l'ancien président. Elle aurait été aidée par des gouverneurs, des ministres et d'autres hauts fonctionnaires, dont certains sont jugés en même temps qu'elle. Les journaux locaux affirment qu'en réalité, son défunt père était un compagnon de guerre de M. Bouteflika. On l'accuse d'avoir utilisé cette relation pour entrer en contact avec le président peu après son élection et lui demander de l'aider à obtenir l'autorisation de construire un parc à thème. Des années plus tard, et de nombreux accords plus tard, les rumeurs ont atteint leur paroxysme lorsqu'elle aurait demandé au gouverneur de la ville d'Oran de l'aider à mettre en place un nouveau supermarché. Ce dernier était ami avec le frère de M. Bouteflika, Saïd, et appelait Mme Zoulikha-Chafika, la nièce de Saïd. Le frère de l'ancien président avait nié cette relation et ouvert une enquête. Lorsqu'elle a été arrêtée en 2019, les enquêteurs ont saisi de l'argent liquide d'une valeur de près d'un million d'euros en monnaie algérienne, 270 000 euros et 30 000 dollars, ainsi que 17 kg de bijoux, en plus de divers faux documents de voyage - tous cachés dans les murs de sa résidence bien sécurisée. Mme Zoulikha-Chafika nie tout méfait et affirme que Saïd l'a piégée. L'ancien président a été contraint à la démission après des manifestations de masse en avril 2019. Il vit dans une résidence médicale à l'ouest d'Alger, sous la garde de sa sœur Fatma-Zohra.",Human,French,BBC,,,1
Le Burkina enregistre ses premiers cas de Covid-19,"Une illustration montrant la structure du nouveau coronavirus publié par l'institut national de santé publique des États-Unis Les deux personnes infectées sont de nationalité Burkinabè . Il s'agit d'un homme de 73 ans et de sa femme de 57 ans rentrés d'un séjour en France depuis le 24 février dernier. Selon la ministre de la santé, Claudine Lougué, les deux personnes contaminées ont séjourné à Mulhouse en France le 24 février dernier et c'est lundi que le couple a été diagnostiqué positif au coronavirus. Un troisième passager du même vol et des proches du couple contaminé ont été mis en observation. La ministre de la santé du Burkina Faso, Claudine Lougué, lors d'une rencontre avec son homologue turc à Ankara, le 20 janvier 2020. Les personnes soupçonnées avoir été en contact eux, celles qui ont travaillé avec eux ou les ont conduit à l'hôpital sont toutes en observation. ""Lorsque le couple a été suspecté, les personnes avec lesquelles il a été en contact ont été recherchées et mises en observation. Maintenant que les résultats sont positifs, on va les chercher pour les mettre en isolement hospitalier, pour ceux déjà qui présentent des signes afin de faire le prélèvements"" a expliqué la ministre. En réponse à ceux qui pensaient que l'homme noir résistait naturellement au virus, Claudine Lougué précise que les cas sont ""des Burkinabè, nés Burkinabè et de teint noir"". Lire aussi: Elle assure que le pays s'est donné les moyens de faire face à la maladie, soulignant que les analyses de laboratoire se font sur place. La troisième personne a été repérée grâce au dispositif de surveillance à l'aéroport. Des habitants se tiennent devant l'hôpital universitaire Yalgado Ouedraog à Ouagadougou le 12 septembre 2019. La ministre de la santé soutient que tous ceux qui ont voyagé dans l'avion sont aussi connus et promet qu'ils seront tous confinés pour circonscrire la propagation.",Human,French,BBC,,,1
"Asisat Oshoala, l'anti-princesse du football","Asisat Oshoala sera un atout majeur de la sélection nigériane pendant la Coupe du monde féminine. Ses parents, qui évoluent dans l'industrie de l'or et de la mode, pensaient qu'elle marcherait sur leurs traces et étaient opposés à sa carrière de footballeuse professionnelle. La bonne élève les a chagrinés quand elle a décidé d'abandonner l'école pour se consacrer au football. Très tôt, elle préférait jouer au ballon rond avec les garçons plutôt que de parler vêtements et maquillage avec les filles de son âge. Lire aussi : Une première académie de football féminin au Cameroun La mère de Pogba, ambassadrice du football féminin ""Je viens d'un milieu difficile où vous n'avez pas le droit de suivre vos rêves, où vous ne pouvez pas dire librement à vos parents que vous voulez jouer au football. Car nous avons cette mentalité que les femmes ne devraient pas poursuivre une carrière sportive"", déclare-t-elle dans l'émission Sports This Morning. Sa carrière florissante a conduit de plus en plus de Nigérians à s'intéresser au football féminin et à aller voir les matches. ""Quand j'ai eu la chance de pouvoir faire ce que j'aimais faire, j'ai fait en sorte d'utiliser cette chance au mieux. Comme mes parents ont finalement donné leur accord, j'ai le sentiment que ce serait une déception pour moi si je ne donnais pas le meilleur de moi-même en permanence"", explique la championne d'Afrique avec les Super Falcons du Nigeria. Asisat Oshoala a su convaincre son club, le FC Barcelone, après une période de prêt concluante. Asisat Oshoala essaye maintenant de changer les mentalités. Elle a ouvert un service de sport-études dédié au football au Nigeria, où les enfants peuvent aller aux entrainements après l'école et sont suivis par un coach professionnel. L'attaquante nigériane a signé un contrat de trois ans avec l'équipe féminine de Barcelone après avoir initialement été prêtée au club espagnol par son homologue chinois de Dalian Quanjian jusqu'à la fin de la saison. La jeune femme a impressionné par ses bonnes performances. Au cours de son prêt de quatre mois, elle a aidé le FC Barcelone à atteindre la finale de la Ligue des champions féminine de l'Uefa et a marqué huit buts en 11 matches. Lire aussi : Megan Rapinoe: ""La Fifa s'en fout du football féminin"" Janine Van Wyk vise la Coupe du Monde de football féminineOshoala, 24 ans, avait rejoint Quanjian en février 2017, après avoir quitté les Arsenal Ladies, un club anglais. Elle est la première footballeuse africaine à rejoindre la Super Ligue féminine de la FA, la Fédération anglaise de football.""Superzee"" ou ""Seedorf"" - comme on la surnomme - a remporté sa troisième Coupe d'Afrique des nations féminine de la Fifa avec les Super Falcons au Ghana, l'an dernier, inscrivant trois buts et permettant au Nigeria de remporter son neuvième titre. Asisat Oshoala a remporté le prix de la meilleure footballeuse de l'année de la BBC en 2015. Elle a également été désignée Footballeuse africaine de l'année en 2014, 2016 et 2017.",Human,French,BBC,,,1
Burkina Faso : ouverture du procès du putsch de 2015,"Le général Gilbert Diendéré, l'un des cerveaux présumés du putsch de 2015 Les généraux Gilbert Diendéré et Djibril Bassolé et leurs 83 coaccusés doivent répondre du délit d'attentat à la sûreté de l'Etat, meurtres, blessures volontaires et destruction de biens. Les généraux Diendéré et Bassolé sont considérés comme les cerveaux présumés du coup. Le général Djibril Bassolé sera jugé pour ""trahison"" en raison d'une conversation téléphonique compromettante qu'il a eue avec Guillaume Soro, le président de l'Assemblée nationale ivoirienne. L'affaire sera jugée par la Chambre de jugement du tribunal militaire, délocalisée pour la circonstance à la salle des banquets de Ouaga 2000, un quartier huppé situé dans le sud de Ouagadougou. Les accusés risquent tous de ""lourdes peines"" au terme de ce procès censé durer plusieurs mois, selon des sources judiciaires. Des Burkinabè réclament justice pour les victimes des violences consécutives au putsch de 2015. Le 16 septembre 2015, des soldats du Régiment de sécurité présidentielle (RSP) avaient tenté de renverser le gouvernement de transition mis en place après la chute du président Blaise Compaoré. Le RSP assurait la sécurité de M. Compaoré, qui a été écarté du pouvoir le 31 octobre 2014 par un soulèvement populaire, après 27 ans de règne. Des services de la justice militaire sont installés dans un quartier huppé de Ouagadougou pour la tenue du procès. Djibrill Bassolé, ancien ministre des Affaires étrangères de Blaise Compaoré, est poursuivi pour ""trahison"" sur la base de l'enregistrement d'une conversation téléphonique qu'il aurait eue avec le président de l'Assemblée nationale ivoirienne, Guillaume Soro. Dans la conversation, M. Soro semble affirmer son soutien au putsch de septembre 2015. Quatorze personnes ont été tuées et environ 200 autres blessées dans des violences consécutives au putsch manqué.",Human,French,BBC,,,1
"Taux de testostérone : après Semenya, une Kényane défie l'IAAF","Maximila Imali lors des Jeux du Commonwealth 2018 La Kényane âgée de 23 ans estime que la nouvelle règle de l'IAAF sur l'hyperandrogénisme va ""faire tomber les athlètes africains"". ""Où est l'équité dans tout cela alors que d'autres disciplines sportives admettent des athlètes [hyperandrogéniques] comme nous ?"" proteste Imali dans le quotidien kényan ""The Daily Nation"". Lire aussi : Caster Semenya perd son recours contre l'IAAF Caster Semenya accuse l'IAAF d'""ouvrir de vieilles blessures"" Détentrice des records du 100 m et du 400 m dans son pays, elle est l'une des trois athlètes kényanes concernées par la nouvelle règle de l'IAAF. Ces dernières n'ont pas choisi de naître comme elles sont sur le plan androgénique, a-t-elle dit. Son plaidoyer soutient celui de la championne olympique sud-africaine Caster Semenya, qui a perdu son procès contre l'IAAF, devant le Tribunal arbitral du sport (TAS). Le TAS a rejeté, le 1er mai, le recours déposé par Caster Semenya contre l'IAAF pour la règle sur l'hyperandrogénisme. L'organe chargé de l'athlétisme mondial oblige certaines athlètes, à partir du mercredi 8 mai 2019, à prendre des médicaments pour limiter leur niveau de testostérone. Semenya, âgée de 28 ans, juge ce règlement ""injuste"". ""Je vais courir naturellement, comme je suis née"", soutient-elle. Les autres athlètes kényanes concernées par la règle sur l'hyperandrogénisme sont Margaret Nyairera, médaillée de bronze olympique au 800 m, et Evangeline Makena, spécialiste du 400 m. Des tests effectués dans un hôpital de Nairobi, la capitale du Kenya, révèlent que les trois athlètes kényanes ont des taux trop élevés de testostérone, rapporte ""The Daily Nation"", citant un organisme spécialisé, Athletics Kenya. Lire aussi : Caster Semenya remporte le 800 m de la Ligue de diamant Caster Semenya confirme bien être une femme L'Association médicale mondiale (AMM) a mis en garde contre les conséquences éthiques du nouveau règlement de l'IAAF. Elle a demandé aux médecins de ne pas aider à l'appliquer. ""Nous pensons qu'il est extrêmement grave que les réglementations sportives internationales demandent aux médecins de prescrire des médicaments - des médicaments à action hormonale - aux sportifs afin de réduire les conditions normales dans leur corps"", a déclaré dimanche le vice-président du conseil de l'AMM, Frank Ulrich Montgomery, cité par le journal français L'Equipe.",Human,French,BBC,,,1
Emmanuel Amuneke devient sélectionneur de la Tanzanie,"Emmanuel Amuneke a joué un rôle clé dans la victoire des Super Eagles à la finale de la Coupe d'Afrique des nations 1994. Emmanuel Amuneke, ex-entraîneur d'Al Khartoum SC, une équipe du championnat d'élite soudanais, va disputer son premier match avec les Tanzaniens en septembre prochain, contre l'Ouganda, dans le cadre des éliminatoires de la CAN 2019. ""Je suis heureux de (…) travailler dur pour que nous puissions réaliser beaucoup de choses ensemble"", a-t-il dit aux médias tanzaniens. L'entraîneur nigérian âgé de 47 ans remplace le Tanzanien Salum Mayanga, qui dirigeait les Taifa Stars depuis 2017. Lire aussi:Aliou Cissé déçu de la manière dont le Sénégal est éliminé Wallace Karia, le président de la Fédération tanzanienne de football, a déclaré à la BBC qu'Amuneke est également chargé de superviser les équipes tanzaniennes des moins de 17 ans (U17) et des moins de 20 ans (U20). ""Nous sommes heureux d'avoir Amuneke, qui a joué au sommet et a beaucoup d'expérience en tant qu'entraîneur"", a-t-il ajouté. Entraîneur adjoint du Nigeria, l'ancien footballeur a remporté le trophée de la Coupe du monde des U17 en 2013, aux Emirats Arabes Unis. Lire aussi: ""Une équipe africaine sera championne du monde"" Deux ans plus tard, Amuneke a remporté, avec le Nigeria, le cinquième titre de champion du monde des U17, au Chili. Il a été entraîneur des Flying Eagles, l'équipe des U20 du Nigeria. Emmanuel Amuneke a joué un rôle clé dans la victoire des Super Eagles à la finale de la Coupe d'Afrique des nations 1994, en Tunisie, en marquant deux buts, face à la Zambie. Il a également participé à la Coupe du monde 1994, marquant des buts mémorables contre la Bulgarie et l'Italie. Amuneke a permis au Nigeria d'être le premier pays africain à remporter la médaille d'or olympique, lors des Jeux d'Atlanta en 1996. Il a joué pour le Zamalek d'Egypte, le FC Barcelone et le Sporting Club. Sélectionneur du pays ou étranger ?",Human,French,BBC,,,1
Onze morts dans des violences au Cameroun,"La situation sécuritaire s'est considérablement dégradée dans les régions anglophones du Cameroun Au cours de cette attaque perpétrée par des individus non identifiés, un sous-préfet a également été enlevé. Jusqu'à ce lundi, les autorités camerounaises sont toujours sans nouvelles du sous-préfet de Menchum valley, enlevé par des inconnus samedi dernier. A lire aussi : L'ONU dénonce la violation des droits humains au Cameroun Des sources sécuritaires ont affirmé à la BBC que Derek Nwanjo Lokombe ""est parti dans les environs de Bafut, et à son retour dans sa circonscription administrative, il a été enlevé"". C'est dans cette même zone de la région du Nord-ouest, plus précisément à Esu, que des affrontements sanglants entre hommes armés et forces de l'ordre ont fait 10 morts, dont quatre gendarmes et six assaillants. À Buea dans le sud-ouest anglophone du pays, l'adjoint au commissaire de la sécurité publique de la ville a été assassiné par des individus armés dimanche. A lire aussi : Regain de violence à Buéa au Cameroun La situation sécuritaire s'est considérablement dégradée dans les régions anglophones du Cameroun depuis l'annonce de la présidentielle du 7 octobre prochain. Des affrontements armés se sont multipliés dans cette partie du Cameroun rendant plusieurs localités inaccessibles. Les populations sont dans la crainte, ce qui entraine un ralentissement de l'activité socio-économique. A lire aussi : Paul Biya annonce sa candidature Cette situation tendue pousse de nombreuses personnes qui doivent se rendre dans la zone anglophone du Cameroun à avoir recourt à une escorte. Dans la ville de Bamenda, de nombreuses familles accueillent des proches fuyant les combats entre les séparatistes et les forces armées du Cameroun. La sécurité qui se dégrade de plus en plus, pourrait perturber la tenue du scrutin du 7 octobre dans les régions anglophones du Cameroun, selon des analystes. A lire aussi : Un soldat tué dans une région anglophone du Cameroun Le président Paul Biya, 85 ans dont 35 au pouvoir, s'est déclaré candidat à un septième mandat consécutif.",Human,French,BBC,,,1
Elections législatives en Mauritanie,"Le président mauritanien, Mohamed Ould Abdel Aziz Après avoir voté dans son bureau habituel à Nouakchott, le président Aziz s'est félicité du ""caractère apaisé et tout à fait démocratique"" de la campagne en vue de du scrutin, selon l'Agence France-Presse. Les premiers résultats sont attendus en début de semaine prochaine. Contrairement aux élections législatives de 2013, l'opposition a cette fois décidé de participer au scrutin. A lire aussi : Une ancienne 'esclave' aux législatives A lire aussi : Mauritanie: le nouvel ""ouguiya"" en circulation Quatre-vingt dix-huit partis politiques prennent part au premier tour des législatives. En cas de second tour, celui-ci se tiendra le 15 septembre. Les élections ont lieu dans un contexte où opposants et ONG dénoncent régulièrement des atteintes aux droits de l'homme. L'opposant Mohamed Ould Ghadda, un ancien sénateur, inculpé pour ""corruption"", a fait l'objet vendredi d'une mesure de remise en liberté après plus d'un an de détention provisoire. A lire aussi : Mauritanie: nouveau drapeau et nouvel hymne A lire aussi : Mauritanie : procès en appel du blogueur condamné à mort A lire aussi : Mauritanie : mobilisation contre la constitution La Mauritanie est dirigée par un ancien général, Mohamed Ould Abdel Aziz, arrivé au pouvoir par un coup d'Etat en 2008, avant d'être élu en 2009 et réélu en 2014. Bien qu'il se soit engagé à maintes reprises à ne pas tenter de modifier la limitation à deux du nombre de mandats présidentiels, le chef de l'Etat n'est pas parvenu à apaiser les soupçons de l'opposition.",Human,French,BBC,,,1
