title,text,write_by,language,domain,method,LLM_model,label
Des centaines d'éléphants retrouvés morts au Botswana,"Le Dr Niall McCann a déclaré que ses collègues du pays d'Afrique australe avaient repéré plus de 350 carcasses d'éléphants dans le delta de l'Okavango depuis le début du mois de mai. Personne ne sait pourquoi les animaux meurent, et les résultats des analyses de laboratoire sur les échantillons ne seront pas disponibles avant plusieurs semaines, selon le gouvernement. A lire aussi sur BBC Afrique: Le Botswana abrite un tiers de la population africaine d'éléphants en déclin. Attention : Certaines personnes peuvent trouver les images suivantes émouvantes Le Dr McCann, de l'organisation caritative britannique National Park Rescue, a déclaré à la BBC que les écologistes locaux avaient alerté le gouvernement début mai, après avoir effectué un vol au-dessus du delta. ""Ils en ont repéré 169 au cours d'un vol de trois heures"", a-t-il déclaré. ""Pouvoir voir et compter autant en trois heures de vol était extraordinaire. ""Un mois plus tard, des enquêtes complémentaires ont identifié beaucoup plus de carcasses, portant le total à plus de 350."" ""C'est totalement sans précédent en termes de nombre d'éléphants morts en un seul événement sans rapport avec la sécheresse"", a-t-il ajouté. En mai dernier, le gouvernement du Botswana a exclu le braconnage comme raison, notant que les défenses n'avaient pas été enlevées, selon Phys.org. Il y a d'autres éléments qui indiquent autre chose que le braconnage. ""Ce sont seulement les éléphants qui meurent et rien d'autre"", a déclaré le Dr McCann. ""Si c'était du cyanure utilisé par les braconniers, vous vous attendriez à voir d'autres morts."" Le Dr McCann a également exclu provisoirement l'empoisonnement naturel à l'anthrax, qui a tué au moins 100 éléphants au Bostwana l'année dernière. Mais ils n'ont pu exclure ni l'empoisonnement ni la maladie. La façon dont les animaux meurent - beaucoup tombe sur le visage - et l'observation d'autres éléphants qui tournent en rond indiquent que quelque chose aurait attaqué leur système neurologique, a déclaré le Dr McCann. Quoi qu'il en soit, sans en connaître la source, il est impossible d'exclure la possibilité qu'une maladie se propage dans la population humaine, surtout si la cause se trouve dans les sources d'eau ou dans le sol. Le Dr McCann évoque la pandémie de Covid-19, qui aurait débuté chez les animaux. ""Oui, c'est un désastre pour la conservation - mais cela pourrait aussi être une crise de santé publique"", a-t-il déclaré. Le Dr Cyril Taolo, directeur par intérim du département de la faune et des parcs nationaux du Botswana, a déclaré au Guardian qu'ils avaient jusqu'à présent confirmé qu'au moins 280 éléphants étaient morts, et qu'ils étaient en train de confirmer le reste. Cependant, ils ne savent pas ce qui a causé la mort des animaux. ""Nous avons envoyé des échantillons pour des tests et nous attendons les résultats dans les deux semaines à venir"", a-t-il déclaré.",Human,French,BBC,,,1
Présidence de la FIF : le soutien des clubs ivoiriens à Didier Drogba,"Didier Drogba veut redorer l'image du football ivoirien L'ancien attaquant de Chelsea est pressenti pour diriger la FIF (Fédération ivoirien de football). Au terme de la rencontre, il n'a pas souhaité s'exprimer devant la presse mais les patrons des clubs ont indiqué leur satisfaction ; celle d'avoir écouté un homme qui propose un projet clair pour le football ivoirien. ""Il nous a fait part de sa vision. Nous sommes là pour le même objectif, la passion du foot"", a expliqué Laurent Boli, président de l'AFAD (Académie de foot Amadou Diallo de Djékanou). ""Il nous a fait part de sa vision. Nous sommes là pour le même objectif, la passion du foot"" a-t-il ajouté. ""Didier Drogba a présenté son programme avec beaucoup de maturité et d'humilité, ce qui, je dois l'avouer, est très attrayant et prometteur"", a déclaré Anzouan Kouakou, président du Séraphin FC. L'ancien capitaine de la Côte d'Ivoire âgé de 41 ans a mis fin à sa carrière de footballeur professionnel depuis bientôt un an. Mais à peine les crampons raccrochés qu'il a été sollicité en juillet par le président de la Confédération africaine de football (CAF) Ahmad Ahmad dont il est aujourd'hui un collaborateur. Il a annoncé en septembre son intention de se présenter à la présidence de la FIF dans le but de redorer l'image du football ivoirien. ""Je veux qu'on repense le football avec une vision nationale pour (le) développer"", avait déclaré M. Drogba en septembre à la BBC. ""Les moyens sont là, il y a le talent, il y a le potentiel, il est sous-exploité"", avait assuré la légende de Chelsea. A lire aussi Didier Drogba vise la présidence de la FIF Eto'o et Drogba à la CAF Selon les observateurs et analystes africains, le football ivoirien est dans l'impasse depuis le sacre de la Côte d'Ivoire à la Coupe d'Afrique des nations 2015. Les résultats sont depuis décevants. Les Eléphants ont été éliminés de l'édition 2019 de la CAN dès les quarts de finale par l'Algérie qui remportera l'édition. Ils avaient été sortis dès le premier tour à la CAN-2017 et n'étaient pas parvenus à se qualifier pour le Mondial-2018, après avoir participé aux trois précédentes éditions (2006, 2010, 2014). Bien qu'il multiplie les contacts et les rencontres avec les acteurs du football ivoirien, Didier Drogba ne s'est pas encore déclaré officiellement candidat. La date limite officielle à laquelle les candidatures doivent être déposées pour être validé est légalement fixée au mois de décembre. L'intention de Didier Drogba de diriger la FIF suscite bien entendu différente analyse. Si certains présidents de club et admirateurs estiment qu'il a le potentiel pour diriger le football ivoirien, certaines voix soutiennent qu'il n'a pas l'expérience nécessaire, estimant qu'il existe une différence entre le stade de football et la Fédération qui exige d'autres aptitudes.",Human,French,BBC,,,1
De la cocaïne retrouvée dans des ananas,"Les trafiquants ont vidé les ananas avant de les remplir de cocaïne La police espagnole a saisi 67 kilos de cocaïne cachés dans des ananas en provenance du Costa Rica. La prise a été réalisée sur le principal marché de fruits et légumes de Madrid, la capitale espagnole. La cargaison d'ananas provenant du Costa Rica avait été débarquée à Setubal, au Portugal, puis transportée par voie terrestre jusqu'à Madrid. Le mode opératoire des trafiquants était plutôt ingénieux. Les ananas étaient ont été vidé de leur pulpe puis rempli de cylindre compacts de cocaïnes. A lire aussi : Des maillots de la Colombie imprégnés de cocaïne saisis A lire aussi : Paraguay : le chef d'un cartel de drogue arrêté A lire aussi : Australie : saisie record de 1,2 tonne d'ecstasy Chaque cylindre pèse entre 800 grammes et un kilo et a été recouverts d'un enrobé de cire ou de paraffine jaunâtre pour camoufler l'odeur de la drogue. Ces dernières années, les forces de l'ordre ont retrouvé de la cocaïne dans des implants mammaires, des perruques, des fauteuils roulants ou du plâtre couvrant une jambe cassée. Les trafiquants de drogue utilisent régulièrement des méthodes insolites pour introduire leur marchandise en Espagne, première porte d'entrée en Europe de la cocaïne sud-américaine et du haschich marocain. L'entreprise chargée de l'importation des fruits était surveillée par la police après plusieurs opérations contre l'importation de drogue dans des cargaisons d'ananas. Sept personnes ont été arrêtées, trois à Madrid et quatre à Barcelone dans le cadre de l'enquête ouverte suite à cette saisie.",Human,French,BBC,,,1
"La légende Pelé ""gêné"" de quitter sa maison pour des raisons de santé","Pelé a des problèmes de hanche depuis un certain temps Le triple vainqueur de la Coupe du monde, largement considéré comme le plus grand joueur de tous les temps, a été hospitalisé l'année dernière pour une infection urinaire. Pelé, 79 ans, a des problèmes à la hanche depuis un certain temps et a maintenant besoin d'un cadre pour marcher. Le monde l'a vu, lors de ses récentes apparitions publiques, en fauteuil roulant. ""Il est très moutonnier, reclus"", a déclaré son fils Edinho à TV Globo. Lire aussi: Au cours de ses 21 ans de carrière, Pelé a marqué un total record mondial de 1 281 buts en 1 363 apparitions, dont 77 buts en 91 apparitions pour le Brésil. Le 9 avril 2019, le grand footballeur brésilien Edson Arantes do Nascimento, connu sous le nom de Pelé, arrive à l'aéroport international de Guarulhos, à quelque 25 km de Sao Paulo, au Brésil. Son état de santé a été préoccupant ces dernières années. L'ancien attaquant vedette du Brésil a subi une opération de la prostate en 2015 après avoir été hospitalisé pour la deuxième fois en six mois. ""Imaginez, c'est le roi, il a toujours été une figure si imposante et aujourd'hui il ne peut pas marcher correctement"", a expliqué Edinho. Lire aussi: Pelé : ""le Brésil est favori pour le Mondial"" Le roi Pelé hospitalisé à Paris ""Il est gêné, il ne veut pas sortir, être vu, ou faire pratiquement tout ce qui implique de quitter la maison. Il est assez fragile. Il a subi une prothèse de la hanche et n'a pas bénéficié d'une rééducation adéquate ou idéale. Il a donc ce problème de mobilité et cela a déclenché une sorte de dépression"", a expliqué le fils du ""Roi"". Le mois de juin prochain marquera le 50ème anniversaire du dernier titre de Coupe du monde de Pelé, remporté au Mexique avec ce que beaucoup considèrent comme la meilleure équipe de tous les temps.",Human,French,BBC,,,1
Lancement du prix Komla Dumor,"C'est Blantyre la capitale du Malawi qui a accueilli le lancement de la troisième édition du prix 2017 BBC World News Komla Dumor. Ce prix vise à identifier et à former les jeunes journalistes du continent afin qu'ils continuent l'héritage du journaliste ghanéen parti à la fleur de l'âge.. C'est Blantyre la capitale du Malawi qui a accueilli le lancement de la troisième édition du prix 2017 BBC World News Komla Dumor. Le présentateur de Network Africa, Focus on Africa et Africa Business Report est mort prématurément en 2014 à 41 ans, une disparition durement ressentie par toute la famille BBC. Komla Dumor a débuté sa carrière à Joy FM au Ghana avant de rejoindre la BBC. Il était connu sur le continent à travers les programmes qu'il animait avec un talent exceptionnel. Journalisme vigoureux et ambitieux, Komla Dumor avait aussi conquis les téléspectateurs par sa chaleur son sens de l'humour et son humilité. La journaliste nigériane Didi Akinyelure, vainqueur du prix Komla Dumor en 2016, a effectué le déplacement à Blantyre pour la cérémonie de lancement de cette année. ""un honneur"" ""Être invité à porter les chaussures de Komla Dumor est un honneur. Il a fait son métier de journaliste avec sérieux , une grande intelligence et avec du charme. Je suis un journaliste économique et et nous avons tendance à compliquer les choses. Donc de lui, j'ai appris à parler avec simplicité , j'ai appris à être moi-même devant mon public . Autre chose, j'ai appris de lui comment parler aux gens , comment les toucher , les 'inspirer tant de gens et de pouvoir raconter des histoires sur mon continent à un public mondial, ce qui est immense"", a-t-elle déclaré. Le prix BBC Komla Dumor est ouvert aux journalistes du continent capables de s'exprimer en anglais. Il comprend une collaboration de trois mois avec la BBC à Londres, et un voyage en Afrique pour produire un reportage. Les demandes sont ouvertes et les candidats ont jusqu'au 15 mars. Tous les détails relatifs au concours sur bbc.com/komladumor.",Human,French,BBC,,,1
Une 'esclave' libérée candidate aux législatives en Mauritanie,"Une manifestation anti-esclavagiste en Mauritanie Habi Mint Rabah, aujourd'hui militante de l'initiative pour le résurgence du mouvement abolitionniste, a été libérée en 2008. ""Je suis devenue esclave à l'âge de 5 ans. Chaque jour, je devais m'occuper du troupeau. Chaque nuit, j'étais violée par mon maître. J'ai toujours cru, sans vraiment comprendre, que c'était normal"", avait-elle précisé, peu après sa libération. LIRE AUSSI: Réduite en esclavage avec son frère Habi Mint Rabah a été sauvée grâce à son frère Bilal Ould Rabah, qui avait réussi à se libérer. Dans sa fuite, il avait alerté les organisations de défense des droits de l'homme et le mouvement IRA, dont la mobilisation a abouti à la libération de sa sœur, réduite en esclavage pendant plus de trente-cinq années . La candidature de l'ancienne ""esclave"" a été rendue possible grâce à l'alliance signée le 30 mai dernier, entre l'IRA et le parti Sawab. « C'est une victime de l'esclavage qu'on a libérée. Elle est dans nos rangs, militante, et c'est elle qui va porter la contradiction au groupe dominant esclavagiste, dans le futur Parlement mauritanien », a précisé Biram Dah Abeid, le président du mouvement IRA. A ECOUTER: Biram Ould Abeid dénonce l'esclavage en Afrique Ce sera la première fois que le mouvement anti-esclavagiste prendra part à des élections législatives en Mauritanie. L'aile politique de IRA, n'a toujours pas été reconnu officiellement par les autorités. En Mauritanie, l'esclavage a été officiellement aboli en 1981. En 2007, sous la pression internationale, le pays a adopté une loi qui criminalise l'esclavage et les pratiques esclavagistes.",Human,French,BBC,,,1
Condé avocat de l'Afrique à l'Assemblée générale de l'Onu,"Selon le président de l'UA, ""le développement durable, de la justice et de la bonne gouvernance"" permettront à l'Afrique de se hisser ""au rang des plus grands sur la scène internationale"". S'adressant à ses homologues, le chef de l'Etat guinéen a tout d'abord rappelé l'éveil de l'Afrique ""jadis subjuguée, corvéable et malléable à dessein, et marginalisée"". Alpha Condé a également évoqué un continent africain déterminé à s'affranchir de son passé et ""à prendre son destin en main avec la ferme détermination d'être l'acteur principal de son développement et de jouer pleinement son rôle dans la gestion des affaires internationales"". Selon le président de l'UA, ""le développement durable, de la justice et de la bonne gouvernance"" permettront à l'Afrique de se hisser ""au rang des plus grands sur la scène internationale"". Un message plutôt optimiste face à ce qui constitue, malheureusement, une triste réalité pour beaucoup de migrants, de déplacés, de personnes vivant dans la pauvreté, l'adversité ou les conflits. Alpha Condé considère que le ""retard de l'Afrique n'est pas une fatalité"" et que le continent le plus dynamique au cours de cette dernière décennie continuera de croître. LIRE AUSSI Guinée: Condé limoge trois ministres Un remaniement crée la polémique en Guinée Résidence de Condé: vers un nouveau procès Réparer une injustice Les travaux ont officiellement commencé ce mardi à New York, le siège de l'institution. Alpha Condé a saisi cette opportunité pour souligner le rôle que selon lui le conseil de sécurité de l'ONU devrait jouer en matière de paix et sécurité dans le monde. ""Le Conseil de Sécurité des Nations Unies qui a la responsabilité première du maintien de la paix et de la sécurité dans le monde ne reflète plus les réalités actuelles"", a déclaré le Président guinéen. ""Comment comprendre que l'Afrique qui constitue la troisième puissance démographique du monde ne soit pas représentée à un niveau approprié au niveau de ce conseil de sécurité alors que 70% des questions débattues concerne l'Afrique ?"", a-t-il relevé soulignant qu'il « est temps de réparer cette injustice ». Un exercice diplomatique Selon le président de l'UA, ""le développement durable, de la justice et de la bonne gouvernance"" permettront à l'Afrique de se hisser ""au rang des plus grands sur la scène internationale"". Les travaux ont officiellement commencé ce mardi à New York, le siège de l'institution. Cette 72ème session connaît la participation d'une centaine de Chefs d'Etat et de gouvernement du monde entier, dont de nombreux Africains réunis autour d'un thème central : ""Priorité à l'être humain : paix et vie décente pour tous sur une planète préservée""",Human,French,BBC,,,1
Robert Fuller : la mort par pendaison d'un afro américain est considérée comme un suicide,"La famille de Robert Fuller était sceptique quant à la conclusion initiale du suicide comme cause du décès Robert Fuller, 24 ans, avait des antécédents de maladie mentale et s'est suicidé, ont déclaré les responsables de Palmdale, en Californie. Un examen post-mortem avait permis de conclure à un suicide, mais la famille de M. Fuller a rejeté cette hypothèse, ce qui a déclenché une enquête plus approfondie. Sa mort le mois dernier est survenue au milieu des protestations ayant suivi la mort de George Floyd. Selon le Los Angeles Times, M. Fuller avait assisté à une manifestation de Black Lives Matter la veille de sa mort. Qu'est-ce que le colorisme – ‘la fille du racisme’ ? Le décès survenu le 10 juin dans la ville de Palmdale, située en plein désert, à environ 96 km au nord de Los Angeles, a ébranlé la communauté noire de la vallée de l'antilope. Certains ont dit craindre qu'il ne s'agisse d'un lynchage, d'un meurtre commis par une foule sans procès ni jugement. Aux États-Unis, des milliers d'Afro-Américains ont été lynchés par des foules de Blancs, souvent par pendaison ou torture, aux XIXe et XXe siècles. Au milieu de l'insatisfaction après que les autorités locales aient conclu au suicide, il a été annoncé le mois dernier que la division des droits civils du FBI allait examiner les enquêtes sur les décès de M. Fuller et d'un autre afro américain dans des circonstances similaires dans le sud de la Californie. La famille de M. Fuller l'a décrit comme quelqu'un qui aimait la musique et les jeux vidéo, et a insisté sur le fait qu'il ne se serait pas suicidé. Les milliers de manifestants qui se sont rassemblés le week-end suivant la mort de M. Fuller ont demandé une enquête approfondie. Black Lives Matter: Qu'est-ce que le ‘privilège blanc’? Jeudi, le commandant du bureau du shérif de Los Angeles, Chris Marks, a déclaré lors d'une conférence de presse que M. Fuller s'était rendu dans un hôpital de Californie en février 2019 et qu'il avait entendu des voix lui disant de se suicider. Il a également déclaré que M. Fuller avait été traité dans un hôpital du Nevada en novembre dernier pour des pensées suicidaires. ""Le médecin légiste a publié son rapport final d'autopsie et l'a remis au département du shérif, et a jugé que cette affaire était un suicide"", a déclaré le Cmdt Marks. L'enquête n'a trouvé aucune preuve d'acte criminel, a-t-il ajouté. L'autre cas qui a attiré l'attention du public est celui de Malcolm Harsch, 37 ans, qui a été retrouvé pendu à un arbre dans un campement de sans-abri à Victorville, à 80 km à l'est de Palmdale, le 31 mai. Sa famille a déclaré avoir examiné le site et la vidéo de surveillance, et en avoir conclu que sa mort était un suicide. More on the US protests",Human,French,BBC,,,1
Un Britannique mort pour Al-Shabab,"Thomas Evans disait croire qu'il irait au paradis pour s'être converti à l'islam, selon sa mère. Agé de 25 ans, il combattait aux côtés des membres du groupe islamiste au sein duquel il était connu sous le nom d’Abdul Hakim, après s’être reconverti à l’islam, selon Karen Allen de la BBC. Le Britannique a trouvé la mort dans l’attaque d’une base de l'armée kényane perpétrée par les Shebab, à la frontière entre le Kenya et la Somalie. Les forces de sécurité kényanes déclarent qu’il était l'adjoint du commandant d’une unité shebab ayant participé à l’attaque. Il avait tenté de se rendre au Kenya deux fois, avant de rejoindre les islamistes d'Al-Shabab en Somalie. Evans avait été arrêté par la police de Londres, lorsqu'il tentait de se rendre au Kenya, en 2011. Thomas Evans était originaire de Buckinghamshire, dans le sud-est de l’Angleterre. ""Nous sommes en train de vaincre"" Christipo Mutali, un agent de la police kényane, a déclaré à la BBC avoir été témoin de l’attaque durant laquelle le Britannique a été tué en même temps que 10 autres Shebab. ""Il filmait l’attaque et lançait des messages : ‘Allons-y’, ‘Nous sommes en train de vaincre’, ‘Tirons, nous sommes en train de vaincre’"", a rapporté Mutali. En 2011, il avait été arrêté par la police londonienne lorsqu’il tentait d’embarquer dans un avion à destination du Kenya. Quelques mois plus tard, Evans se rendit en Egypte pour apprendre l’arabe, d’après ce qu’il a expliqué à sa famille. Sa mère, Sally, a déclaré à la BBC que ""le monde s’était effondré"" pour elle, lorsqu’elle a appris la mort de Thomas Evans.",Human,French,BBC,,,1
"Putsch manqué de 2015 au Burkina: 20 ans de prison pour Diendéré, 10 ans pour Bassolé","En attendant, parties civiles et défense espère chacune que le tribunal la suivra dans sa plaidoirie. Gilbert Diendéré, ancien bras droit de l'ex-président Blaise Compaoré, a été reconnu coupable d'""atteinte à la sûreté de l'Etat"" et de ""meurtre"", et condamné à 20 de prison ferme, selon le verdict lu par le tribunal. Djibrill Bassolé Bassolé, ancien ministre des Affaires étrangères, a été reconnu coupable de ""trahison"" et condamné à 10 ans d'emprisonnement. La dizaine de militaires membres du commando qui avait arrêté les membres du gouvernement de transition pendant ce coup de force raté ont aussi été condamnés : 19 ans de prison pour l'adjudant-chef Éloi Badiel, considéré comme le chef des opérations du putsch, 17 ans pour l'adjudant-chef Nébie, dit ""Rambo"", qui avait reconnu avoir mené le groupe, et 15 ans pour les autres. Le lieutenant-colonel Mamadou Bamba, qui avait lu à la télévision le communiqué des putschistes, a été condamné à 10 ans de prison dont cinq avec sursis. Lire aussi: Les avocats de Gilbert Diendéré demandent l'acquittement Diendéré ""commanditaire"" du coup d'Etat au Burkina Faso Le général Gilbert Diendéré ""Nous savons aujourd'hui la vérité des faits, il serait tout à fait décevant si la vérité du juge n'est pas conforme à la vérité des faits'', a déclaré à la BBC Maitre Guy Hervé Kam, un avocat des parties civiles, le 26 août. Lire aussi: Au Burkina, Diendéré déchargé par un accusé Burkina Faso: le procès du pustch de 2015 suspendu Maitre Olivier Yalkouni, l'un des avocats du général Gilbert Diendéré, a soutenu qu'il y avait eu beaucoup de violations de droit dans la procédure. ""Nous avons, malgré tout, tenu à donner notre position. Nous pensons, quand même, que le tribunal nous a entendu'' a-t-il conclu.",Human,French,BBC,,,1
