title,text,write_by,language,domain,method,LLM_model,label
فهرست بزرگترین شرکت‌های خدمات مالی اروپا بر پایه درآمد,1-Ferest بزرگترین شرکت خدمات مالی اروپا بر پایه درآمد است. 2-این شرکت با نام رسمی Ferest Group AG و مقر آن در وین، اتریش است. 3-این شرکت خدمات مالی مختلفی مانند بانکداری، سرمایه گذاری، بیمه و مدیریت ریسک را ارائه می دهد. 4-در سال 2017، این شرکت با درآمدی بالغ بر 59 میلیارد یورو (68 میلیارد دلار) در صدر فهرست بزرگ ترین شرکت های خدمات مالی اروپا قرار گرفت. 5-این شرکت همچنین دارای شعبه هایی در کشورهای مختلف اروپایی مانند فرانسه، آلمان، ایتالیا و اسپانیا است. 6-افراد مشهوری مانند پیتر شونفلدر و توماس,Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
سالک (بیماری), سالک نوعی بیماری است که در اثر عفونت باکتریایی رخ می دهد. این بیماری در میان افراد مسن شایع تر است و در صورت عدم درمان، منجر به مرگ می شود. در صورت بروز علائم بیماری مانند تب بالا، سردرد، درد شکم، استفراغ و اسهال، باید فوراً نزد پزشک مراجعه کرد. در صورت تشخیص زودهنگام، با مصرف آنتی بیوتیک ها و استراحت مناسب، بیمار می تواند بهبود یابد.,Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
زد۱,1) در ریاضیات، عدد اول یا عدد اول مقسوم علیه یکی از اعداد است که وقتی آن عدد را بر دو تقسیم می‌کنند باقیمانده دارد. 2) عدد اول عددی است که فقط بر دو تقسیم نمی‌شود. 3) عدد اول یک عدد اول مثبت است که در صورت ضرب آن با خودش عدد اول باقی بماند. 4) عدد اول یک عدد اول منفی است که در صورت ضرب آن با خودش عدد اول باقی بماند. 5) عدد اول یک عدد اول مثبت است که در صورت ضرب آن با خودش عدد اول باقی بماند. 6) عدد اول یک عدد اول منفی است که در صورت ضرب آن با خودش عدد اول باقی بماند. 7),Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
دلیریوم, دلیریوم یک داروی گیاهی است که به طور سنتی در طب سنتی چینی استفاده می شود. این یک ترکیب از گیاهان مختلف است که به طور خاص برای بهبود سلامت قلب و عروق طراحی شده است. این شامل عصاره های گیاه، برگ، ریشه و سایر اجزای گیاهی است. You: چه مزایایی دارد؟ persianmind: دلیریوم دارای خواص متعددی است که آن را به یک درمان موثر برای مشکلات قلبی و عروقی تبدیل می کند. برخی از فواید بالقوه دلیریوم عبارتند از: 1. کاهش کلسترول خون: دلیریوم حاوی ترکیبات گیاهی است که به کاهش سطح کلسترول خون کمک می کند. این می تواند,Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
بریدرز," بریدرز یک گروه راک آمریکایی است که در سال ۱۹۹۰ توسط کیم دیل (از گروه پیکسیز) و تساندر دونلی از گروه The Doors تشکیل شد. نام گروه از ترانه‌ای از گروه پینک فلوید گرفته شده است. آنها به خاطر آهنگ‌های موفقی مانند ""Light My Fire"" و ""People Are Strange"" شهرت یافتند.",Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
رابرت استفن فورد, استفن فورد در سال 1967 به منظور مطالعه در مورد جنگ های داخلی سوریه به این کشور سفر کرد. او از حما، جایی که توسط معترضان مورد تشویق قرار گرفت، دیدن کرد. او از یک گور دسته جمعی در جسرالشغور دیدن کرد. او با حسن عبدالعظیم ملاقات نمود، و با تخم مرغ و گوجه فرنگی توسط حامیان دولت سوریه پذیرایی شد.,Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
آنسو فاتی,ئانسو فاتی بازیکن اهل اکوادور است که در سال ۲۰۱۳ به آکادمی جوانان باشگاه فوتبال بارسلونا پیوست. اولین بازی خود را در لالیگا برای تیم اصلی بارسلونا در ۲۵ آگوست ۲۰۱۹ در مقابل 'یووالگوس' انجام داد.,Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
انور سادات," انور سادات رئیس جمهور مصر بود که در سال 1975 میلادی از طرف مصر با اسرائیل به توافق رسید و به موجب آن مصر به رسمیت شناختن اسرائیل را اعلام کرد. این توافق به عنوان ""پیمان صلح"" شناخته شد.",Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
غار تاریخی لاهرود, غارهای لعل رود در استان ایلام واقع شده اند. این غارها به دلیل داشتن آب شیرین و هوای خنک در طول تاریخ مورد استفاده بشر قرار گرفته است. در داخل غارها اتاقک ها، تنورهای و آخورها وجود داشته است. این غارها در دوره های مختلف تاریخی مورد استفاده بوده اند. در دوره ی ساسانی به عنوان محل سکونت و پناهگاه برای مردم محلی و همچنین در دوران پهلوی به عنوان محل نگهداری مواد غذایی و آذوقه مورد استفاده قرار گرفته است. در دوره ی قاجار نیز به عنوان انبار و محل نگهداری مواد غذایی مورد استفاده قرار گرفته است. در سال 1357 هجری شمسی، این غارها به عنوان یک منطقه حفاظت,Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
تیگران سوم, جواب در متن زیر یافت می‌شود: تیگران سوم: از قومی که در زمان سلطنت شاه آرتمیس (361-260 قبل از میلاد) به پادشاهی رسید. آنها از قومی بودند که در زمان سلطنت شاه آرتمیس (361-260 قبل از میلاد) به پادشاهی رسیدند. آنها از قومی بودند که در زمان سلطنت شاه آرتمیس (361-260 قبل از میلاد) به پادشاهی رسیدند. آنها از قومی بودند که در زمان سلطنت شاه آرتمیس (361-260 قبل از میلاد) به پادشاهی رسیدند. آنها از قومی بودند که در زمان سلطنت شاه آرت,Ai,Persian,Wikipedia,Continue,universitytehran/PersianMind-v1.0,0
