title,text,write_by,language,domain,method,LLM_model,label
تومور مغزی, تومور مغزی یا تومور مغزی بزرگ (GBM) توموری است که در مغز رشد می‌کند و از سایر بافت‌های مغز منشا گرفته است. این تومورها اغلب در قسمت مرکزی مغز یافت می‌شوند و به دلیل نزدیکی به ساختارهای حساس مغز مانند نخاع و ساقه مغز، می‌تواند باعث آسیب جدی شود. تومورهای مغزی بزرگ شایع‌ترین نوع تومور مغزی هستند و حدود 50 درصد از تمام تومورهای مغزی را تشکیل می‌دهند. آنها همچنین به عنوان تومورهای مغزی کوچک نیز شناخته می‌شوند. تومورهای مغزی بزرگ معمولاً در افراد بالای 60 سال رخ می‌دهد و احتمال ابتلا به آن با افزایش,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
پیمان فتاحی, پیتر فرنک فرایر (به آلمانی: Peter Frankfurter) متولد 1963 در هامبورگ آلمان، طراح گرافیک و نویسنده آلمانی است. او به خاطر طراحی جلد کتاب‌های مختلف از جمله کتاب‌های هری پاتر شهرت دارد. او همچنین برای شرکت تبلیغاتی «بیمارستان» کار کرده است.,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
گسترش ارتباطات سپنتا, سپنتا یک شخصیت خیالی در مجموعه تلویزیونی آمریکایی The Office است که توسط جیم لوپز بازی می‌کند. او یک کارمند جدید است و به دلیل رفتار عجیب و غریبش توجه زیادی را به خود جلب کرده است. سپنتا با استفاده از زبان بدن و ژست‌های غیرعادی سعی دارد ارتباط برقرار کند. این کار باعث می‌شود دیگران فکر کنند او دچار بیماری روانی یا اوتیسم است.,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
جوزف باربرا, جوزف بارتولدی (به فرانسوی: Joseph بارتولدy) متولد 1809 در پاریس، نویسنده و فیلسوف فرانسوی بود. او از سال 1834 تا 1857 عضو فرهنگستان فرانسه بود. بارتولدی به خاطر آثار فلسفی‌اش شهرت داشت که شامل «درباره‌ی عقل» و «درباره‌ی عشق» می‌شود. او همچنین به خاطر ترجمه‌های خود از آثار نویسندگان یونانی مانند افلاطون و ارسطو شناخته شده است.,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
ورزش در ارمنستان, ورزش در یوان (Yuan) یکی از پنج عنصر اصلی طب سنتی چینی است که شامل تمرینات بدنی و مراقبه می‌شود. ورزش یوان با تمرکز بر حفظ تعادل جسمی و روانی بدن، به تقویت قدرت قلب و ریه کمک می‌کند. این ورزش همچنین به بهبود سلامت کلی بدن و افزایش طول عمر کمک می‌کند.,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
چکش ردیفی, چكرك ريا فيزيک (Charkh Ria Fizik) یا همان چكرك ريا (Charkh Ria) از جمله سازهای کوبه ای است که در موسیقی ایران و آسیای میانه به کار می رود. این ساز از خانواده سازهای کوبه ای است و از نظر شکل و اندازه با طبل و سنج تفاوت دارد. جنس آن از چوب و پوست گاو است و معمولاً در دسته های سه تایی نواخته می شود. در میان نوازندگان ایرانی، استاد محمد معتمدی از هنرمندان شناخته شده یچكرك ريا است.,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
حمید احمدیان, حمید احمدیان متولد 1963 در تهران، بازیگر سینما و تلویزیون ایران است. او فارغ‌التحصیل رشته بازیگری از دانشگاه هنرپیشگی تهران است. حمید احمدیان با بازی در فیلم‌های سینمایی «آواز قو» و «بیمارستان زنان» شهرت زیادی پیدا کرد. حمید احمدیان در سال 1384 برای ایفای نقش در فیلم سینمایی «درخت بید مجنون» برنده سیمرغ بلورین بهترین هنرپیشه مرد شد.,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
مجتبی یاسینی, علی‌رغم اینکه در سال 1357 از ایران خارج شد و هرگز دوباره به ایران برنگردد، اما با وجود این که او در خارج از کشور زندگی می‌کند، هنوز هم به ایران علاقه دارد. او به خاطر فعالیت‌های اجتماعی و سیاسی‌اش شناخته شده است. او به خاطر تلاشش برای ایجاد دموکراسی در ایران و مبارزه علیه رژیم پهلوی مورد تحسین قرار گرفته است. او همچنین به خاطر تلاشش برای ایجاد دموکراسی در ایران و مبارزه علیه رژیم پهلوی مورد تحسین قرار گرفته است. او همچنین به خاطر تلاشش برای ایجاد دموکراسی در ایران و مبارزه علیه رژیم پهلوی مورد تحسین قرار گرفته است. او همچنین به خاطر تلاشش برای ایجاد دموکراسی در ایران,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
زبان لارستانی, لارستانی زبانی است که در استان لارستان و بخش‌های اطراف آن در جنوب ایران صحبت می‌شود. این زبان از شاخه هندواروپایی است و با سایر زبان‌های هندوایرانی مانند فارسی، لری و گیلکی ارتباط دارد. لارستانی یکی از گویش‌های لری است و به دلیل نزدیکی به زبان فارسی، اغلب با آن اشتباه گرفته می‌شود. لارستانی دارای دو لهجه اصلی است: لارستانی جنوبی و لارستانی شمالی. لارستانی جنوبی بیشتر در استان فارس و لارستان صحبت می‌شود و لارستانی شمالی بیشتر در استان کرمان و بخش‌های اطراف آن صحبت می‌شود. لارستانی دارای واژگان غنی و ریشه‌دار است و,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
فرودگاه سوک ویجو, س: در سال 1957 میلادی، چه کسی اولین بار از یک پاراگیور برای پرواز استفاده کرد؟ پادشاه ریچارد سوم از انگلستان,Ai,Persian,Wikipedia,Topic,universitytehran/PersianMind-v1.0,0
