title,text,write_by,language,domain,method,LLM_model,label
راهپیمایی جهانی برای فشار بر برمه,"این رشته تظاهرات که ظهرروز شنبه به وقت محلی از زلاند نو آغاز شده، در آسیا، اروپا و آمریکای شمالی نیز برگزار می شود. گوردون براون نخست وزیر بریتانیا با تظاهرکنندگان در لندن دیدار کرده و قول داده به "" اعمال فشار برای تغییر شرایط برمه"" ادامه دهد و در عین حال پیگیر تحریم های بیشتر برمه در اتحادیه اروپا باشد. این راهپیمایی ها در حالی برگزار می شود که قدرت های غرب در سازمان ملل متحد در پی اعمال فشار بر حکومت نظامیان بر برمه هستند. دیپلمات های غربی",Human,Persian,BBC,,,1
واکنش‌ منفی رسانه‌های اسرائیل به تلاش‌های دیپلماتیک جان کری,"انتقاد دولت اسرائیل از عملکرد جان کری برای اعتبار دیپلماتیک وزیر خارجه آمریکا ضربه سختی بود زمانی که جان کری منتظر شروع مصاحبه با شبکه تلویزیونی فاکس نیوز بود یکی از مشاورانش تازه ترین رقم تلفات در حملات به نوار غزه تا روز ۲۰ ژوئیه را به او اطلاع داد. وزیر خارجه آمریکا که متوجه نبود میکروفون او روشن است در واکنش به رقم جدید تلفات با لحنی طعنه آمیز گفت:""واقعا که خیلی دقیق و هدفمند حمله می‌کنند!"" اشاره او به تهاجم نظامی اسرائیل به نوار غزه بود. این جملات جان کری که ضبط",Human,Persian,BBC,,,1
بازداشت خبرنگار الجزیره در مصر,وزارت کشور مصر با اعلام این خبر گفته است که هویدا طه متولی در حین سفر به قطر بازداشت شده و در چمدان وی 50 نوار ویدئویی پیدا شده است. خانم طه متولی متهم به لکه دار کردن اعتبار مصر و آسیب رساندن به منافع ملی آن شده است. شبکه الجزیره گفته است که آنچه که در این نوارهای ویدئویی وجود دارند به صورت مستند بازسازی شده,Human,Persian,BBC,,,1
انتقاد اردوغان از تحرکات روسیه در شرق اوکراین,اردوغان می گوید ترکیه از اوکراین حمایت می کند آقای اردوغان شنبه در استانبول در دیدار با ولودمیر زلنسکی، رییس جمهوری اوکراین، از آمادگی ترکیه برای کمک به این کشور خبر داد. دیدار آقای اردوغان با آقای زلنسکی هم زمان با بالا گرفتن تنش میان اوکراین و روسیه بر سر منطقه دونباس در شرق اوکراین برگزار شد. اوکراین از افزایش تحرکات نظامی روسیه در روزهای اخیر و اعزام سرباز به مناطق مرزی ابراز نگرانی کرده است. اوکراین همچنین نگران افزایش درگیری ها میان جدایی طلبان مورد حمایت روسیه در دونباس با نظامیان این کشور در خط,Human,Persian,BBC,,,1
گروگانگیری فرزندان افسر ارشد پلیس عراق,روز جمعه، 8 ژوئن، منابع پلیس عراق گزارش کردند که شامگاه پنجشنبه مردان مسلح به خانه سرهنگ علی الجورانی، فرمانده واحد عملیات اضطراری پلیس شهر کنعان در استان دیاله، حمله کردند و پس از کشتن همسر وی و سیزده نفر دیگر، سه فرزند این افسر بلند پایه پلیس را با خود بردند. هویت مهاجمان معلوم نیست و اطلاعی در مورد خواست های احتمالی آنان انتشار نیافته است. سرهنگ الجورانی در مصاحبه ای با خبرگزاری فرانسه گفته است که افراد ناشناس در ساعت ده شب پنجشنبه,Human,Persian,BBC,,,1
اعدام نوید افکاری؛ درخواست برخی چهره‌های حقوقی و ورزشی برای تحریم ورزش ایران,"موافقان و مخالفان تحریم ورزشی ایران حرف حسابشان چیست؟ نوید افکاری کشتی گیر ۲۷ ساله ایرانی روز شنبه ۲۲ شهریور - ۱۲ سپتامبر - علیرغم درخواست های گسترده از سوی ایرانیان و چهره های خارجی اعدام شد. دولت ایران نوید افکاری که بعد از اعتراضات سال ۹۷ شیراز بازداشت شده بود را به قتل متهم کرده بود، اتهامی که آقای افکاری قویا رد می کرد. از زمان اعدام نوید افکاری بسیاری استدلال می کردند باید حضور ایران در میادین ورزشی بین المللی را تحریم کرد و به تازگی کمپین ""اتحاد برای نوید"" این درخواست را پیش",Human,Persian,BBC,,,1
خشونت در اوکراین؛ آمریکا گزینه تحریم را در نظر دارد,میدان استقلال در شهر کیف، محل تجمع معترضان است بحران سیاسی در این کشور ادامه دارد و پلیس در مواردی با معترضان با خشونت رفتار کرده است. موضع‌گیری وزارت خارجه آمریکا پس از آن انجام شد که پلیس ضدشورش در اوکراین، سعی کرد تا معترضان را از محل های تجمعشان براند. رئیس جمهوری اوکراین گفته که دیگر علیه تظاهرات صلح‌آمیز از زور استفاده نمی کنند. رهبران مخالفان هم پیشنهاد گفتگوی رئیس,Human,Persian,BBC,,,1
خشم ايران از ادامه بازداشت خبرنگاران ايرانی,دولت ايران از طريق سفارت سوئيس در تهران که حافظ منافع آمريکا در ايران است، برای واشنگتن شکايتنامه ای رسمی ارسال داشته و خشم خود را در اين زمينه اعلام کرده است. ايران و آمريکا از سال 1979 روابط ديپلماتيک نداشته اند. مقام های ايرانی می گويند آنها همچنين صدور ويزا برای خبرنگاران آمريکايی و بريتانيايی که خواهان بازديد از اين کشور هستند را قطع کرده اند. نيروهای بريتانيايی بخشی از ائتلاف تحت رهبری آمريکا در عراق هستند. دو ايرانی به نام های,Human,Persian,BBC,,,1
شبکه العالم حذف کانال یوتیوب خود را 'غیرحرفه‌ای' خواند,"شرکت گوگل که مالک یوتیوب است روز گذشته گفت حساب‌هایی را که از جانب حکومت ایران مطالب ""نادرست"" در اینترنت منتشر می‌کردند، بسته است. گوگل گفته است کانال‌های ایران دست کم از ژانویه ۲۰۱۷ به انتشار شایعات پرداخته بودند. شبکه خبری عرب زبان العالم که وابسته به صدا و سیمای جمهوری اسلامی ایران است، حدف کانال یوتیوب این شبکه را اقدامی ""غیر حرفه‌ای"" خوانده و گفته است این کانال بدون هشدار قبلی حذف شده است. کنت واکر، معاون گوگل، به دنبال تعطیلی شماری از حساب‌های یوتیوب در بیانیه‌ای گفت که بعضی از این حساب‌های کاربری بدون",Human,Persian,BBC,,,1
پيروزی ايران و شکست سنگین لیورپول,تيم ملی ايران در دومين ديدار خود در تورنمنت امارات در برابر تيم باشگاه اشتوتگارت آلمان با تک گل مهدی رجب زاده به پيروزی رسيد. تيم اشتوتگارت که در پايان نيم فصل بوندس ليگا در رتبه چهارم ايستاده است، در اين بازی با نفرات اصلی اش به ميدان آمده بود اما نتوانست حريف تيم ايران شود. در,Human,Persian,BBC,,,1
"فیلترینگ اینترنت در چین ""نامنظم"" است","نتیجه تحقیقی که توسط محققان آمریکایی در خارج از چین صورت گرفته نشان می دهد، فن آوری های تعبیه شده در اینترنت چین در بسیاری از موارد از مسدودسازی آنچه توسط دولت نامناسب تشخیص داده می شود عاجزند. مسدود سازی اینترنت که با استفاده از نرم افزارهای موسوم به ""دیوار آتشین"" (firewall) صورت می گیرد خصوصا زمانی که کاربران زیادی از اینترنت استفاده کنند، ضعیف تر عمل می کند. این تحقیق می گوید، طرح ایده استفاده از ""دیوار آتشین""، از خود این فن آوری در ترساندن مردم از موضوعات",Human,Persian,BBC,,,1
