title,text,write_by,language,domain,method,LLM_model,label
فهرست بزرگترین شرکت‌های خدمات مالی اروپا بر پایه درآمد,فهرست بزرگترین شرکت‌های خدمات مالی اروپا بر پایه درآمد، به فهرستی از بزرگترین بانک‌ها، موسسات مالی، شرکت‌های بیمه و سایر شرکت‌های فعال در حوزه ارائه خدمات مالی مستقر در اروپا اختصاص دارد، که بر پایه میزان درآمد سالیانه رتبه‌بندی می‌شوند. فهرست زیر متعلق به سال مالی ۲۰۱۲ می‌باشد. اعداد درج شده نیز، بر پایه میلیارد دلار آمریکا برآورد شده‌است.,Human,Persian,Wikipedia,,,1
سالک (بیماری),در مواجهه با این بیماری اخیراً تحقیقات کاملتری توسط پزشکان صورت گرفته‌است و در صورتی که به موقع نسبت به درمان آن اقدام شود ظرف مدت ۲ الی ۳ هفته بهبودی حاصل خواهد شد البته نکته مورد توجه در درمان این بیماری پرتوزوآیی جلوگیری از انتقال آن به دیگر نواحی بدن است. اخیراً داروسازان ایرانی موفق به ساخت نوعی پماد به نام سینا آمفولیش توسط شركت داروسازى اكسير نانو سينا شده‌اند.5.كنترل ميكروبي داروسازى دكتر عليرضا پهلوان,Human,Persian,Wikipedia,,,1
زد۱,ورودی و خروجی با عدد اعشاری بود، با یک نمایان اعشاری و واحدها دارای ماشین آلات ویژه ای برای تبدیل آنها به اعداد دودویی بودند. دستورالعمل ورودی و خروجی به عنوان اعداد شناور خوانده یا نوشته می‌شود. نوار برنامه ۳۵ بود فیلم mm با دستورالعمل‌های رمزگذاری شده در سوراخ‌های سوراخ شده.,Human,Persian,Wikipedia,,,1
دلیریوم,این مداخلات اولین گام برای مدیریت دلیریوم است. علاوه بر درمان دلایل تهدید کننده زندگی (به عنوان مثال O پایین، فشار خون پایین، گلوکز پایین، کمبود آب)، مداخلات شامل بهینه‌سازی محیط بیمارستان با کاهش سر و صدای محیط، تأمین نور مناسب، ارائه تسکین درد، ترویج خواب سالم و چرخه‌های خواب و بیداری مناسب و به حداقل رساندن تغییرات اتاق است.,Human,Persian,Wikipedia,,,1
بریدرز,"بریدرز یک گروه راک آمریکایی است که در سال ۱۹۹۰ توسط کیم دیل (از گروه پیکسیز) و تانیا دونلی از گروه Throwing Muses تأسیس شد. ترکیب اعضای این گروه چندین بار دستخوش تغییر و تحول شده است. کیم دیل تنها عضو گروه است که همیشه عضو آن بوده است. نخستین آلبوم انها تحت عنوان ""Pod"" که در سال ۱۹۹۰ منتشر شد، خیلی از نظر تجاری موفق نبود، اما نظر منتقدین را به خود جلب کرد. موفق‌ترین آلبوم آنها Last Splash بود که در سال ۱۹۹۳ منتشر شد و حاوی تک‌آهنگ موفق به نام ""Cannonball"" بود. تور بریدرز ۲۰۱۴",Human,Persian,Wikipedia,,,1
رابرت استفن فورد,او از حما، جایی که توسط معترضان مورد تشویق قرار گرفت، دیدن کرد. او از یک گور دسته جمعی در جسرالشغور دیدن کرد. او با حسن عبدالعظیم ملاقات نمود، و با تخم مرغ و گوجه فرنگی توسط حامیان دولت سوریه مورد حمله قرار گرفت. طی مصاحبه‌ای با شبکه تلویزیون دولتی روسیه به نام راشا تودی، افسر سابق اطلاعاتی سیا مایکل شوور ادعا کرد که قبل از عزل فورد او به سراسر کشور سفر می‌کرد و گروه‌ها را برای سرنگونی دولت تشویق می‌کرد.,Human,Persian,Wikipedia,,,1
آنسو فاتی,وی در سال ۲۰۱۳ به آکادمی جوانان باشگاه فوتبال بارسلونا پیوست. اولین بازی خود را در لالیگا برای تیم اصلی بارسلونا در ۲۵ اوت ۲۰۱۹ در مقابل رئال بتیس انجام داد. آنسو فاتی در دومین بازی خود برای بارسلونا در مقابل اوساسونا موفق به گلزنی در دقیقه ۵۱ شد تا جوانترین گلزن تاریخ بارسلونا و سومین گلزن جوان تاریخ لا لیگا شد. (۱۶ سال و ۳۰۴ روز),Human,Persian,Wikipedia,,,1
انور سادات,وی اولین حاکم یک کشور عرب بود که پیمان سازش با دولت اسرائیل امضاء نمود و این کشور را به رسمیت شناخت؛ در نتیجه به دلیل همین تلاش‌ها برای برقراری سازش، جایزه صلح نوبل توسط بنیاد نوبل در سال ۱۹۷۸ میلادی به او اعطا گردید. هرچند این پیمان در افکار عمومی غرب و اسرائیل یک موفقیت جدی برای اسرائیل محسوب و انور سادات به عنوان فردی صلح طلب معرفی می‌شد اما افکار عمومی اغلب اعراب مسلمان مخالف این قرارداد بود.,Human,Persian,Wikipedia,,,1
غار تاریخی لاهرود,در درون غار اتاقک‌ها ٫ تنور و آخورهایی نیز وجود داشت که در برهه‌ای از زمان، دزدان غیربومی در داخل آن زندگی می‌کردند. این غار از نوع معماری صخره‌ای بوده و به صورت سه طبقه درست شده که یک طبقه آن به انباری زیر زمینی ختم و دو طبقه دیگر آن محل سکونت انسان‌ها و نگهداری احشام بوده‌است.,Human,Persian,Wikipedia,,,1
تیگران سوم,از آنجایی که ارامنه ایمان خود را به پادشاه خود از دست داده بودند، فرستادگانی را نزد آگوستوس فرستادند و از او خواستند تا آرتاشس دوم را از تاج و تخت برکنار کند و تیگران را به عنوان جانشین او منصوب کند. آگوستوس نیز با درخواست ارامنه موافقت کرد. آگوستوس پسر ناتنی خود تیبریوس را نیز با لشکری بزرگ به همراه تیگران سوم برای خلع آرتاوازد دوم فرستاد اما قبل از ورود تیبریوس و تیگران به ارمنستان، گروهی در داخل کاخ موفق شدند آرتاشس دوم را به قتل برسانند.,Human,Persian,Wikipedia,,,1
