title,text,write_by,language,domain,method,LLM_model,label
تومور مغزی,تومورهای مغزی، تمامی تومورهای داخل جمجمه یا تومورهای درون کانال مرکزی نخاع را دربرمی‌گیرند. این تومورها، از طریق تقسیم سلولی کنترل نشده و غیرطبیعی ایجاد می‌شوند، و به‌طور معمول یا در خود مغز (شامل: نورونها، سلول‌های گلیال (آستروسیتها، اولیگودندروسیتها، سلول‌های اپندیمال، سلولهای تولیدکننده میلین شوان)، بافت لنفاوی، عروق خونی)، یا در اعصاب جمجمه‌ای، پرده مغزی (مننژ)، جمجمه، هیپوفیز و غده صنوبری ایجاد می‌شوند. هم‌چنین این تومورها می‌توانند حاصل گسترش بدخیمی‌هایی باشند که در درجه نخست سایر ارگان‌ها را درگیر کرده بوده‌اند، که در این حالت بدان تومور دارای متاستاز یا متاستاتیک گفته می‌شود.,Human,Persian,Wikipedia,,,1
پیمان فتاحی,«وی بعدها به سمت مطالعه کتب و نوشتارهای مرتبط با علوم متافیزیک روز از جمله سایکو تکنولوژی‌ها، هاله بینی، رویابینی، ماها مدیتیشن، انرژی درمانی و دیگر علوم موسوم به علوم کیهانی رفت و با افراد معروف در این حوزه ملاقات کرد.» هر چند خود وی تسلطش روی علوم باطنی را نتیجه جمع‌بندی و برآیندگیری از مجموعه تحقیقاتش در علوم متافیزیک و فراروانشناسی و نیز مشاهدات و یافته‌های خود می‌داند,Human,Persian,Wikipedia,,,1
گسترش ارتباطات سپنتا,شرکت سپنتا در سال ۱۳۷۸ با نام رسمی شرکت مهرگان دانش‌پژوه و نام تجاری سپنتا به عنوان یکی از از نخستین شرکت‌های ارائه کننده اینترنت در تهران شروع ارائه خدمات اینترنت اینترنت از طریق شماره‌گیری (Dial Up) کرد. در سال ۱۳۸۲ هیئت مدیره شرکت مهرگان دانش‌پژوه، شرکت دیگری با نام رسمی شرکت گسترش ارتباطات سپنتا را در تهران تأسیس کردند. در حال حاضر هر دو شرکت مهرگان دانش‌پژوه و گسترش ارتباطات سپنتا با نام تجاری سپنتا شناخته می‌شوند.,Human,Persian,Wikipedia,,,1
جوزف باربرا,جوزف باربرا در ۲۴ مارس ۱۹۱۱ متولد شد. باربرا در اصل کارمند بانک بود و در این بین داستان‌های مصوری برای مجلات طراحی می‌کرد و چیزی نگذشت که کاری به عنوان طراح انیمیشن (پویانمایی) به دست آورد. هنگامی که طرح‌های جوزف باربرا در جوانی به مجله‌های کارتون راه پیدا کردند او به دنیای سینما و تلویزیون وارد شد.,Human,Persian,Wikipedia,,,1
ورزش در ارمنستان,ارمنستان قبلاً در سطح بین‌المللی به عنوان بخشی از تیم ملی فوتبال شوروی بازی می‌کرد. موفق‌ترین تیم آنها باشگاه فوتبال آرارات ایروان بود که در ۱۹۷۳ عنوان قهرمانی اتحاد جماهیر شوروی را کسب کرده بود و همچنین در جام حذفی ۱۹۷۴–۷۵ به پیروزی خانگی مقابل باشگاه فوتبال بایرن مونیخ رفته بود. تیم ملی فوتبال ارمنستان اولین بازی رسمی خود را مقابل تیم ملی فوتبال مولداوی انجام داد. تیم ملی توسط فدراسیون فوتبال ارمنستان کنترل می‌شود. لیگ برتر ارمنستان برترین رقابت فوتبال ارمنستان است. این لیگ در حال حاضر از هشت تیم تشکیل شده‌است.,Human,Persian,Wikipedia,,,1
چکش ردیفی,از زمان انتشار پل «آی وی»(Ivy Bridge microarchitecture)، پردازنده‌های Xeon از این اصطلاح شبه هدف بازنویسی ردیف(pTRR)پشتیبانی می‌کنند؛ که می‌توان از آن‌ها در ترکیب با DDR3های حافظه میانی دوگانه با قابلیت دوگانه - دوگانه (DIMMs)برای کاهش اثر چکش ردیفی ناشی از ردیف‌های قربانی احتمالی بهینه استفاده کرد. بدون تأثیر منفی بر عملکرد یا مصرف توان. هنگامی که با DIMMs مورد استفاده قرار می‌گیرد، این پردازنده‌ها با استفاده از افت پیش‌فرض، در دو برابر فرکانس معمول، که منجر به تأخیر دسترسی حافظه بالاتر می‌شوند و ممکن است پهنای باند حافظه را تا ۴–۲٪ کاهش دهند، بازسازی می‌کنند.,Human,Persian,Wikipedia,,,1
حمید احمدیان,وی از سال ۱۳۷۵ خورشیدی به عنوان عضو هیئت علمی در دانشکده مهندسی مکانیک دانشگاه علم و صنعت ایران به عنوان استادیار شروع به کار نمود. در سال ۱۳۸۵شمسی به مقام استادی نایل آمد. وی مؤلف صدها مقاله در زمینه ارتعاشات و آنالیز مودال است که برخی از آنها بسیار پر استناد بوده‌اند.,Human,Persian,Wikipedia,,,1
مجتبی یاسینی,مجتبی یاسینی از سال ۱۳۵۸ کار در تلویزیون را به‌طور جدی‌تر پی گرفت و مجموعه‌های «راز باغچه»، «سعید و سارا»، «زنگ بیداری»، «شادزی»، «روزهای تنهایی»، «آقای ساعتچی»، «خانهٔ ما» و «آوای بی‌صدا» را در آن سال‌ها کارگردانی نمود. وی در حال حاضر در مرکز تولید تئاتر حرفه‌ای وزارت فرهنگ وارشاد اسلامی مشغول به کار است.,Human,Persian,Wikipedia,,,1
زبان لارستانی,"همخوان‌های لارستانی همانند فارسی است با این تفاوت که واج /h/ در این زبان وجود ندارد و افزون بر واج /v/، واج /w/ هم در آن یافت می‌شود. زبان لارستانی دارای چندین لهجه است. تفاوت این لهجه‌ها بیشتر در تلفظ واژگان است. برای نمونه «رفتم» در برخی از مناطق ""رفتُم"" و در برخی دیگر ""چِدُم"" تلفظ می‌شود. لاری، گراشی، خنجی، اوزی، بستکی، فداغی، کوخردی، بیدشهری و بیخویه‌ای از مهم‌ترین لهجه‌های لارستانی هستند.",Human,Persian,Wikipedia,,,1
فرودگاه سوک ویجو,فرودگاه سوک ویجو (به زبان بومی: Aeropuerto de Santa Fe - Sauce Viejo) یک فرودگاه همگانی و نظامی با کد یاتا SFN است که یک باند فرود بتن دارد و طول باند آن ۲۳۵۰ متر است. این فرودگاه در شهر سانتا فه (آرژانتین) کشور آرژانتین قرار دارد و در ارتفاع ۱۰ متری از سطح دریا واقع شده است.,Human,Persian,Wikipedia,,,1
پول‌شویی,در قرن بیستم، وقتی که ابزارهای ممانعت از پولشویی به عنوان یک تبهکاری دیده شدند، توقیف و تصرف کردن دارایی‌ها مجدداً بر سر زبان‌ها افتاد. نخستین بار در طول دوران ممنوعیت الکل در ایالات متحدهٔ آمریکا در دههٔ ۱۹۳۰ دیده شده‌است. این مشاهده به عنوان یک تأکید جدید از سوی ایالات متحده و نمایندگی‌های اجرای قوانین برای پیگیری و مصادرهٔ پول‌ها بود.,Human,Persian,Wikipedia,,,1
شهرستان رفسنجان,کماج سهن یکی از شیرینی‌های سنتی می‌باشد که در تهیهٔ آن از خمیر جوانهٔ گندم استفاده می‌شود و همچنین برای تهیهٔ آن از ادویه‌های مشهوری مثل دارچین و زیره و برخی گیاهان دارویی نیز استفاده می‌شود. این شیرینی بسیار مقوی و پرانرژی هست با وجود اینکه این نوع شیرینی هیچ‌گونه مواد نگهدارنده‌ای ندارد می‌تواند برای مدت طولانی و بیرون از یخچال نگهداری کرد.,Human,Persian,Wikipedia,,,1
میکروب,ابن سینا دانشمند ایرانی سده‌های دهم و یازدهم میلادی به این موضوع پی برده بود که موجودهای ریزی موجب بیماری می‌شوند. ابوبکر زکریای رازی، دانشمند دیگر ایرانی نیز پیش از ابن سینا، به وجود این اجرام ریز پی برده بود و از الکل به عنوان ضد عفونی کننده، استفاده می‌کرد. البته کشف دقیق و قطعی میکروب‌ها توسط آنتونی فان لیوونهوک انجام شد. هوک با میکروسکوپ ابتدایی‌اش به مشاهده آب برکه پرداخت و دریافت که موجودهای ریزی در آن وجود دارد. از دیگر افراد مهم این زمینه می‌توان به رابرت کُخ اشاره کرد که باکتری بیماری سل را کشف نمود.,Human,Persian,Wikipedia,,,1
