Model Train On,Test On,Accuracy,Precision,Recall,F1 Score
Cross_Lingual_en_mistral_XLM_RoBERTa,en_mistral,0.978,0.996,0.959,0.977
Cross_Lingual_en_mistral_XLM_RoBERTa,fr_mistral,0.842,0.992,0.69,0.814
Cross_Lingual_en_mistral_XLM_RoBERTa,es_mistral,0.814,0.995,0.632,0.773
Cross_Lingual_en_gemini_XLM_RoBERTa,en_gemini,0.838,0.909,0.75,0.822
Cross_Lingual_en_gemini_XLM_RoBERTa,fr_gemini,0.832,0.896,0.751,0.817
Cross_Lingual_en_gemini_XLM_RoBERTa,es_gemini,0.839,0.924,0.739,0.821
Cross_Lingual_en_gpt_XLM_RoBERTa,en_gpt,0.973,0.997,0.948,0.972
Cross_Lingual_en_gpt_XLM_RoBERTa,fr_gpt,0.952,0.994,0.909,0.95
Cross_Lingual_en_gpt_XLM_RoBERTa,es_gpt,0.931,0.996,0.866,0.926
Cross_Lingual_fr_mistral_XLM_RoBERTa,fr_mistral,0.956,1.0,0.912,0.954
Cross_Lingual_fr_mistral_XLM_RoBERTa,en_mistral,0.564,1.0,0.129,0.229
Cross_Lingual_fr_mistral_XLM_RoBERTa,es_mistral,0.874,0.999,0.749,0.856
Cross_Lingual_fr_gemini_XLM_RoBERTa,fr_gemini,0.909,0.938,0.875,0.906
Cross_Lingual_fr_gemini_XLM_RoBERTa,en_gemini,0.687,0.952,0.394,0.558
Cross_Lingual_fr_gemini_XLM_RoBERTa,es_gemini,0.848,0.967,0.72,0.826
Cross_Lingual_fr_gpt_XLM_RoBERTa,fr_gpt,0.962,0.995,0.929,0.961
Cross_Lingual_fr_gpt_XLM_RoBERTa,en_gpt,0.941,0.989,0.892,0.938
Cross_Lingual_fr_gpt_XLM_RoBERTa,es_gpt,0.949,0.998,0.9,0.946
Cross_Lingual_es_mistral_XLM_RoBERTa,es_mistral,0.983,0.992,0.974,0.983
Cross_Lingual_es_mistral_XLM_RoBERTa,fr_mistral,0.952,0.985,0.917,0.95
Cross_Lingual_es_mistral_XLM_RoBERTa,en_mistral,0.816,0.993,0.636,0.775
Cross_Lingual_es_gemini_XLM_RoBERTa,es_gemini,0.874,0.948,0.791,0.862
Cross_Lingual_es_gemini_XLM_RoBERTa,fr_gemini,0.836,0.944,0.714,0.813
Cross_Lingual_es_gemini_XLM_RoBERTa,en_gemini,0.737,0.957,0.498,0.655
Cross_Lingual_es_gpt_XLM_RoBERTa,es_gpt,0.971,0.991,0.951,0.971
Cross_Lingual_es_gpt_XLM_RoBERTa,fr_gpt,0.982,0.985,0.978,0.982
Cross_Lingual_es_gpt_XLM_RoBERTa,en_gpt,0.959,0.977,0.941,0.959
