Model Train On,Test On,Accuracy,Precision,Recall,F1 Score
Cross_Model_en_mistral_XLM_RoBERTa,en_mistral,0.981,0.989,0.972,0.98
Cross_Model_en_mistral_XLM_RoBERTa,en_gemini,0.747,0.669,0.975,0.794
Cross_Model_en_mistral_XLM_RoBERTa,en_gpt,0.958,0.943,0.975,0.959
Cross_Model_en_gemini_XLM_RoBERTa,en_gemini,0.879,0.917,0.834,0.874
Cross_Model_en_gemini_XLM_RoBERTa,en_mistral,0.898,0.956,0.834,0.891
Cross_Model_en_gemini_XLM_RoBERTa,en_gpt,0.909,0.981,0.834,0.902
Cross_Model_en_gpt_XLM_RoBERTa,en_gpt,0.956,0.997,0.915,0.954
Cross_Model_en_gpt_XLM_RoBERTa,en_gemini,0.807,0.753,0.912,0.825
Cross_Model_en_gpt_XLM_RoBERTa,en_mistral,0.945,0.977,0.912,0.943
Cross_Model_fr_mistral_XLM_RoBERTa,fr_mistral,0.978,0.999,0.956,0.977
Cross_Model_fr_mistral_XLM_RoBERTa,fr_gemini,0.869,0.814,0.956,0.879
Cross_Model_fr_mistral_XLM_RoBERTa,fr_gpt,0.977,0.997,0.956,0.976
Cross_Model_fr_gemini_XLM_RoBERTa,fr_gemini,0.905,0.925,0.881,0.903
Cross_Model_fr_gemini_XLM_RoBERTa,fr_mistral,0.903,0.924,0.879,0.901
Cross_Model_fr_gemini_XLM_RoBERTa,fr_gpt,0.936,0.992,0.879,0.932
Cross_Model_fr_gpt_XLM_RoBERTa,fr_gpt,0.967,0.997,0.936,0.966
Cross_Model_fr_gpt_XLM_RoBERTa,fr_gemini,0.858,0.813,0.93,0.867
Cross_Model_fr_gpt_XLM_RoBERTa,fr_mistral,0.955,0.978,0.93,0.953
Cross_Model_es_mistral_XLM_RoBERTa,es_mistral,0.978,0.986,0.969,0.977
Cross_Model_es_mistral_XLM_RoBERTa,es_gemini,0.752,0.674,0.973,0.797
Cross_Model_es_mistral_XLM_RoBERTa,es_gpt,0.968,0.964,0.973,0.968
Cross_Model_es_gemini_XLM_RoBERTa,es_gemini,0.864,0.956,0.762,0.848
Cross_Model_es_gemini_XLM_RoBERTa,es_mistral,0.87,0.951,0.781,0.858
Cross_Model_es_gemini_XLM_RoBERTa,es_gpt,0.888,0.993,0.781,0.874
Cross_Model_es_gpt_XLM_RoBERTa,es_gpt,0.982,0.996,0.968,0.982
Cross_Model_es_gpt_XLM_RoBERTa,es_gemini,0.801,0.726,0.967,0.829
Cross_Model_es_gpt_XLM_RoBERTa,es_mistral,0.968,0.97,0.967,0.968
